English	Indonesian
Monday	Senin [sə•nin] 
Tuesday	Selasa [sə•la•sa] 
Wednesday	Rabu [ra•bu] 
Thursday	Kamis [ka•mis] 
Friday	Jumat [dʒum•at] 
Saturday	Sabtu [sab•tu] 
Sunday	Minggu [miŋ•gu] 
