id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1403279503669948419	1403233001996120064	2021-06-11 16:14:40 +07	2021-06-11	16:14:40	+0700	17828969	aidabhumi	🐨💜ShadowMoonchild⁷ BTS BUTTERLICIOUS 🧈		@BVSUTeam @BTS_twt Serendipity   #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANDOMARMY	in	[]	[]	[]	0	0	0	['premiosmtvmiaw', 'mtvlakpopbts', 'mtvlafandomarmy']	[]	https://twitter.com/aidabhumi/status/1403279503669948419	False		0		Kuala Lumpur						[{'screen_name': 'BVSUTeam', 'name': 'BVSUTeam⁷🧈', 'id': '1148761942334402561'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}]				
1403279502961123330	1403279502961123330	2021-06-11 16:14:39 +07	2021-06-11	16:14:39	+0700	726979903250276356	pray4ainii	Nini 🇵🇸		habis je final da bole have fun balik ainii, chill 💪✨	in	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/pray4ainii/status/1403279502961123330	False		0		Kuala Lumpur						[]				
1403279502105485312	1403277019211657216	2021-06-11 16:14:39 +07	2021-06-11	16:14:39	+0700	3649032733	kaneshbruno	BRUNO-KK		@ReDevilSasi Belgium and France  RED DEVILS and LES BLUES	en	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/KaneshBruno/status/1403279502105485312	False		0		Kuala Lumpur						[{'screen_name': 'ReDevilSasi', 'name': 'S A S I 🛡️', 'id': '476585672'}]				
1403279492911538183	1403279492911538183	2021-06-11 16:14:37 +07	2021-06-11	16:14:37	+0700	2810903930	yasminmahmood88	Yasmin Mahmood		Inequality and wealth-divide made glaringly obvious. This is unsustainable. Perhaps the world needs a reset.  Ps : happy that Msia is leading the pack in Asia. Let’s vaccinate ourselves, my fellow Malaysians, to take care of each other.	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/YasminMahmood88/status/1403279492911538183	False	https://twitter.com/dimishtra/status/1402818943371431938	0		Kuala Lumpur						[]				
1403279492420755459	1403267897544241156	2021-06-11 16:14:37 +07	2021-06-11	16:14:37	+0700	300766699	adirafitrah	Nurul Adira Fitrah		@QistinaAnis Bb kene kecam kenapaaa	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/AdiraFitrah/status/1403279492420755459	False		0		Kuala Lumpur						[{'screen_name': 'QistinaAnis', 'name': 'Qistina Anis', 'id': '301910286'}]				
1403279490478862340	1403279490478862340	2021-06-11 16:14:36 +07	2021-06-11	16:14:36	+0700	1242290074445701121	shesawildbaby	Jenab Cantik ❤		Customer nak pukul 4, pukul 3 baru bagitahu. Haaaa baguih. Memang pc tu processor i7 pun 🙄	in	[]	[]	[]	0	0	2	[]	[]	https://twitter.com/shesawildbaby/status/1403279490478862340	False		0		Kuala Lumpur						[]				
1403279488528564225	1403279488528564225	2021-06-11 16:14:36 +07	2021-06-11	16:14:36	+0700	978466046385430528	mustikaratumsia	MustikaRatuMalaysia	{'type': 'Point', 'coordinates': [3.1588, 101.7105]}	Just posted a photo @ Kuala Lumpur, Malaysia  https://t.co/I91XiJmmau	en	[]	['https://www.instagram.com/p/CP-XfR9Nbiv/?utm_medium=twitter']	[]	0	0	0	[]	[]	https://twitter.com/MustikaRatuMsia/status/1403279488528564225	False		0		Kuala Lumpur						[]				
1403279476536975364	1403266316459417604	2021-06-11 16:14:33 +07	2021-06-11	16:14:33	+0700	2209257404	nish_aimann	DAN		@_hilmislm Yup	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/nish_aimann/status/1403279476536975364	False		0		Kuala Lumpur						[{'screen_name': '_hilmislm', 'name': 'Emi', 'id': '1012597822523183104'}]				
1403279475173838851	1403279475173838851	2021-06-11 16:14:33 +07	2021-06-11	16:14:33	+0700	1359706255212728322	kljerung11	KLjerung11		Beauty babe😍	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KLjerung11/status/1403279475173838851	False	https://twitter.com/donnajourneyx/status/1403205737917009920	0		Kuala Lumpur						[]				
1403279475052212226	1403279475052212226	2021-06-11 16:14:33 +07	2021-06-11	16:14:33	+0700	1141565465963069440	msosh9	Malaysian Society for Occupational Safety & Health		Segmen OSH Tonight malam ini bersama Dr Inaz untuk topik: *MCO 3.O : Elak krisis kewangan. Know your Do's &amp; Dont's* Masa: 9 malam - 10 malam Tarikh: 11 Jun 2021 (Jumaat) Platform: FB Live MSOSH Academy Like dan follow  https://t.co/ip4XRqm00e  https://t.co/cyPL1F8I7K	in	[]	['https://www.facebook.com/osheducation']	['https://pbs.twimg.com/media/E3lzPuwUUAIG0zM.jpg']	0	1	1	[]	[]	https://twitter.com/MSOSH9/status/1403279475052212226	False		1	https://pbs.twimg.com/media/E3lzPuwUUAIG0zM.jpg	Kuala Lumpur						[]				
1403279467535945731	1403233001996120064	2021-06-11 16:14:31 +07	2021-06-11	16:14:31	+0700	17828969	aidabhumi	🐨💜ShadowMoonchild⁷ BTS BUTTERLICIOUS 🧈		@BVSUTeam @BTS_twt So what  #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANDOMARMY	en	[]	[]	[]	0	0	0	['premiosmtvmiaw', 'mtvlakpopbts', 'mtvlafandomarmy']	[]	https://twitter.com/aidabhumi/status/1403279467535945731	False		0		Kuala Lumpur						[{'screen_name': 'BVSUTeam', 'name': 'BVSUTeam⁷🧈', 'id': '1148761942334402561'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}]				
1403279462158848002	1403279462158848002	2021-06-11 16:14:30 +07	2021-06-11	16:14:30	+0700	315685942	syazerinaafandi	Lokal Munchies|Mouthgasm|Mellow Crunch|Aducktive		Hi @ShopeeMY  Payment from customer does not reflect in my seller wallet. Several order already completed. I need money to roll. Can u pls help regarding this?	en	[{'screen_name': 'shopeemy', 'name': 'shopee malaysia', 'id': '2989403819'}]	[]	[]	1	0	1	[]	[]	https://twitter.com/syazerinaafandi/status/1403279462158848002	False		0		Kuala Lumpur						[]				
1403279460149784579	1402981033079762955	2021-06-11 16:14:29 +07	2021-06-11	16:14:29	+0700	2497922215	umiariff_	Umi #standwith🇵🇸		@ZulHilmi84 Tqq.. Alhamdulillah dah apply JPA &amp; Petronas scholarship	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/umiariff_/status/1403279460149784579	False		0		Kuala Lumpur						[{'screen_name': 'ZulHilmi84', 'name': 'z', 'id': '371537337'}]				
1403279456223911936	1403279456223911936	2021-06-11 16:14:28 +07	2021-06-11	16:14:28	+0700	254655895	snckerdoodles	Sarah, the tired potata		Omg. Same	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/snckerdoodles/status/1403279456223911936	False	https://twitter.com/AimanPsikologi/status/1403278976659820545	0		Kuala Lumpur						[]				
