id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1403300532362514432	1403297919013253121	2021-06-11 17:38:13 +07	2021-06-11	17:38:13	+0700	2824137104	milktuann	โอยอนจูนิม⛅️ (open10am-11pm)✨		@Jinnie0704 @AOMGOFFICIAL @yugyeom #YUGYEOM_IWantUAround #유겸_아이원트유어라운드  #IWantUAround  #AOMG #Yugyeom #유겸 @yugyeom  #GOT7 @GOT7Official	und	[{'screen_name': 'yugyeom', 'name': '김유겸', 'id': '1017922815255875584'}, {'screen_name': 'got7official', 'name': 'got7', 'id': '573299587'}]	[]	[]	0	0	0	['yugyeom_iwantuaround', '유겸_아이원트유어라운드', 'iwantuaround', 'aomg', 'yugyeom', '유겸', 'got7']	[]	https://twitter.com/milktuann/status/1403300532362514432	False		0		Bangkok						[{'screen_name': 'Jinnie0704', 'name': 'JinnieTicket 💚', 'id': '1069251367426899969'}, {'screen_name': 'AOMGOFFICIAL', 'name': 'aomgofficial', 'id': '1559687305'}, {'screen_name': 'yugyeom', 'name': '김유겸', 'id': '1017922815255875584'}]				
1403300530349244418	1403300530349244418	2021-06-11 17:38:13 +07	2021-06-11	17:38:13	+0700	1214989466	pikultonao	tonaoao		110621สาวฮโยคนสวยlive igครั้งแรก🥰 ดีใจสุดๆ😍 🎉🎉🎉  🎊🎊🎊🎊 #한효주 #hanhyojoo  https://t.co/beOpnbjqfT	th	[]	[]	['https://pbs.twimg.com/media/E3mGYR7UcAIAxyC.jpg', 'https://pbs.twimg.com/media/E3mGYmGUcAgrKPT.jpg', 'https://pbs.twimg.com/media/E3mGY-eVUAMIBep.jpg', 'https://pbs.twimg.com/media/E3mGZQUVkAA11zv.jpg']	0	0	0	['한효주', 'hanhyojoo']	[]	https://twitter.com/pikultonao/status/1403300530349244418	False		1	https://pbs.twimg.com/media/E3mGYR7UcAIAxyC.jpg	Bangkok						[]				
1403300528793083908	1403230827849281540	2021-06-11 17:38:12 +07	2021-06-11	17:38:12	+0700	1268217898234818560	dannapaphat	Dan2127BW ft.ลงมารับดิ้ 🥰		@Preya8846 ปังนะ	th	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/dannapaphat/status/1403300528793083908	False		0		Bangkok						[{'screen_name': 'Preya8846', 'name': 'ᥫᩣ𝔹𝔹𝕟𝕦𝕟𝕘ツ🌈🍀', 'id': '1117400299289759745'}]				
1403300528180760582	1403291272547168257	2021-06-11 17:38:12 +07	2021-06-11	17:38:12	+0700	271821313	wendyguans	wendyguans		@hybridknight ไม่อยากจ่ายต้องทำไง 🤔	th	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/wendyguans/status/1403300528180760582	False		0		Bangkok						[{'screen_name': 'hybridknight', 'name': 'Book \uf8ff', 'id': '12991632'}]				
1403300527379664899	1403300527379664899	2021-06-11 17:38:12 +07	2021-06-11	17:38:12	+0700	948463340958789632	kyum_9717	คยอมมี่🐜~~~		ไปฟังเพลงพระเจ้าให้เป็นบุญหูนะคะ  https://t.co/Ri9pSfFFPa	th	[]	['https://youtube.com/watch?v=MSAN-2CNMVo&feature=share']	[]	0	0	0	[]	[]	https://twitter.com/KYUM_9717/status/1403300527379664899	False		0		Bangkok						[]				
1403300524833742854	1403300524833742854	2021-06-11 17:38:11 +07	2021-06-11	17:38:11	+0700	782181697945153536	phichybts	Punpun		คุณมีวันที่14                           } เรามาแชร์กันดูดีมั้ยคะ เรามีวันที่13   เพิ่งรู้ว่าวันที่14เป็นแบบเวิลทัวร์ เลยอยากดู  ช่วงนี้ไม่มีตังค์ค่ะ  #SOWOOZOO  https://t.co/5pPFWcf45Y	th	[]	[]	['https://pbs.twimg.com/media/E3mGYpyVEAAz-Zs.jpg']	0	0	0	['sowoozoo']	[]	https://twitter.com/PhichyBTS/status/1403300524833742854	False		1	https://pbs.twimg.com/media/E3mGYpyVEAAz-Zs.jpg	Bangkok						[]				
1403300522690416643	1403298476650233861	2021-06-11 17:38:11 +07	2021-06-11	17:38:11	+0700	2937964344	zri_riya	⋆ ˚｡ ୨zri 🍁 ୧ ⋆｡˚		@mntypp ขอบคุณนะคะ🙇‍♀	th	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/zri_riya/status/1403300522690416643	False		0		Bangkok						[{'screen_name': 'mntypp', 'name': 'ɪᴡᴏᴏᴅᴢʏᴏᴜ 🏜ซึงอูคัมแบค28มิถุนายน', 'id': '822440798880866308'}]				
1403300522342313985	1403257471792082947	2021-06-11 17:38:11 +07	2021-06-11	17:38:11	+0700	1268110437108707330	longmareview	หลงมารีวิว		@ManussananU น่าลองมากค่าา	th	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Longmareview/status/1403300522342313985	False		0		Bangkok						[{'screen_name': 'ManussananU', 'name': 'Miim.🐝', 'id': '1162289311972122625'}]				
1403300521990000644	1403300521990000644	2021-06-11 17:38:11 +07	2021-06-11	17:38:11	+0700	1069394310284500992	everthing_y	เจ่เจ้ ~ b a b i e s’ s i s t e r ~ 😜		แหมมมมม อยากซื้อให้ ทำมาเป็นมีข้ออ้างนั่นนี่ โอ้ยยยย ป๋ามีนว่ะ #2wish	th	[]	[]	[]	0	2	1	['2wish']	[]	https://twitter.com/everthing_y/status/1403300521990000644	False		0		Bangkok						[]				
1403300521822154755	1403298987910656000	2021-06-11 17:38:11 +07	2021-06-11	17:38:11	+0700	1382983527189204994	pacarsiwi_	third | 📌		@atpjumpool jodoh aku	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/pacarsiwi_/status/1403300521822154755	False		0		Bangkok						[{'screen_name': 'atpjumpool', 'name': 'fira pcr j • TSD📌', 'id': '1295077781672361984'}]				
