user_id	username	name	tweet	language
903665170802548737	yusoff_izuan	izuan	@ns_shrzhn @nadiasani_ Haruskah aku berpuisi? 😁😁	in
1247865561746268160	feezayusoff	Feeza	Dekat Twitter ni aku jarang update pasal kerja, tapi to those yang ccris kosong tu, takde komitmen pape, tahukah anda, without komitmen, kau payah nak buat loan lain in the future? So having a credit card is one of the ways yang aku suggest.  https://t.co/HuapcEMf2l	in
4897046773	naejiyhah_	gee	Only maa saw how struggle i am to maintain my cgpa. Nak dean list tu kalau aku yang tak berapa pandai ni kena menangis air mata sampai kering, stay up sampai demam baru la dapat merasa😭😭😭😭	in
2209185986	syedfakhrul12	»KacaMata«🇲🇾🇲🇾🇲🇾	Cuba tenang. Dengar dan biarkan benda tu berlalu.	in
32339351	apeng08	Shaiful Apeng	@f4izalhassan @adibkhld Rah, rah-ah-ah-ah Roma, roma-ma Gaga, ooh-la-la Want your bad romance!!!  hahahaah	in
426562349	sijasad	sijasad bersiong 👓 🇲🇾	@Oneofakind_5 Kalau kucing kau manja-manja dengan kau, maksudnya kucing kau bodoh-bodoh laaa. Gitu	in
2325745202	icapcapcap	Luck Voltia	Tahniah semuanya! Semoga maju jaya di masa depan! Make the right choice nanti!	in
275057058	media_selangor	Media Selangor	SelangorKini |  Kapasiti pusat kuarantin seluruh negara kini pada tahap 60 peratus  https://t.co/tf2EVsnj5U  https://t.co/C0uchbm5qt	in
544298964	syeerayahaya	ceah | Tokey Popcorn Karamel Selambak	Puas cari popcorn yg sedap tapi tak jumpa jumpa. Harini popcorn ceah sampai, dia inform yang dia tak salah pilih popcorn 😭 Allahu 🥺  https://t.co/AWeltUBHNj	in
436525638	syeelasaberi	Syeela Saberi	@zombilla The truth is... Ajal maut, jodoh &amp; rezeki semuanya ditangan Tuhan. Nobody knows when and what	in
936103297	meibraheem	Siti Pukimawati	@epuljais @foodpanda_my Aduh.. dh la ada order yg buat payment online td.. status tkde apa2.. kang tau2 nnti kul 7 baru sampai.. nk cancel tk boleh.. adehh.. kesian kt rider tu nnti... susahkan org la FP apps ni.. 🤦🏽	in
1342003214065922049	utusantv	Utusan TV	Tiga ditahan, umur baru 20 hingga 31 tahun. Tahniah Polis KL.   https://t.co/Uko7hdexQS	in
48331460	gialimario	Aji Kamprett 🇵🇸🇵🇸🇵🇸	@akukeadilan_ Din Vape Aku pun Vaping tapi aku tak nak dia as a ketua #Lembik	in
587501551	syahmirezali94	Шахми Резали	Ujian untuk orang berjaya adalah sombong.	in
1159132659504701440	fatboycanrun	#kerajaangagal #missubaby فتبويچنرون	Aku kalau makan ni jap gi gula hit the roof ler	in
2966859133	rubyskyb	ruby | cod shah alam	✨ ZarZou HSM RM34 ✨ ZarZou BHS / RSS RM59  ✨ Alluskin ➡️ Cleanser RM30 / RM59 ➡️ Toner RM35 / RM69 ➡️ Serum RM69 ➡️ Barrier Cream RM59  COD Shah Alam  📍 Taman Sri Muda 📍 Kota Kemuning 📍 Jalan Kebun 📍 Bukit Naga 📍 Sek 2 -25 📍 MSU, UiTM  Order here   https://t.co/iTDQZzQvcm	in
1346353472183013376	mnownews	MalaysiaNow	Daripada kenyataan palsu sehingga barisan Kabinet 'baru', spekulasi dan berita palsu beredar memenuhi media sosial dan ruangan bual digital.  #MNow #Jenaka #BeritaPalsu #Politik  https://t.co/QEehn9i7HI	in
1311334547322273794	kitakasipecah	Andres	@sabbyforsb tak sangka	in
1256840126606409732	amnsyhr	Amin🇲🇾	@dvniesh emmmm 2 ringgit ajar	in
1264398727	ameraazmannnnnn	Ameraazman	@shukfaa masuk 7bulan dah, open habaq mai. cepatla pkp habis	in
796509553	ayulhasriq	Don Ayul	i kenot ah kalau borak dengan harith ni . haha	in
43856742	bernamaradio	BERNAMA Radio🇲🇾	Ketua Polis Daerah Seberang Perai Tengah SPT ACP Shafee Abd Samad berkata, kertas siasatan kes itu dirujuk kepada Unit Siasatan Jenayah Terkelas (USJT) Bukit Aman untuk diteliti sebelum tindakan seterusnya dibuat  https://t.co/m8EuUSUqIQ	in
1182952276723298304	pali7x	Pali ✈️	Boleh tahan mousepad ni.  https://t.co/yJ29cJU70v	in
424185883	gradvr	Mia	macam ni jela, yang lelaki kalau takut nak approach perempuan educated, korang approach la perempuan bimbo. sebab perempuan educated pun tak nak di approach oleh lelaki yang penakut. kan senang. win win situation.	in
924862599895773186	notpong4321	Abazah🇵🇸🇵🇸🇵🇸	Ajak aku lepak petang2 kat kedai mamak mmg aku off la kahkahkah	in
1014057168960565248	tvpertiwi	TV Pertiwi🇲🇾	DBKL dalam satu kenyataan berkata, ruang niaga harian berkenaan bukan berkonsepkan bazar Ramadan dan tidak akan beroperasi sepanjang tempoh Perintah Kawalan Pergerakan (PKP) 3.0.	in
1014057168960565248	tvpertiwi	TV Pertiwi🇲🇾	Dewan Bandaraya Kuala Lumpur (DBKL) maklumkan pendaftaran ruang niaga harian di Jalan Tunku Abdul Rahman (TAR) akan ditutup Selasa ini.  https://t.co/FQF8V3LZPE	in
321885460	akeemashrawi_	•	Kah kah kah	in
1058660533392404482	asyrafazhman	Farysa🇲🇾	Adoi pisang mat, jumaat je mesti jem. Anjingg	in
132150404	tierra_mt	tierra	So mintak lockdown bersungguh -sungguh sbb nak moratorium ye .Bukan sebb nak kes Covid turun .Hidup penuh penipuan di media sosial	in
706449536	nsmg__	Shahirah εїз	So PKP ni extend ke tak ke apa cerita, malam ahad or isnin depan baru nak update ke?	in
112581155	official_aman	عبدالرحمن🇲🇾	@AdilSyahi Kebaikan wfh. Haha	in
430571449	rvzlee	rz🇵🇸	@ShafiqShahril25 @DenZelKari555 Hahahaha aku tgok pehh hareyy mahal nak mampuih, aku rasa dia kot antara yg fzhd sound kt channel yt diaa	in
