index	sequence_index	section	thai	phonetic	register	definition	note	custom-note
1	1	1	ถูกเผงเลย	tùuk pěng ləəi		Spot on!; Exactly!; You hit the nail on the head!	-ถูกต้อง(เลย) (tùuk dtɔ̂ng; tùuk dtɔ̂ng ləəi) — has a similar meaning but is a bit less emphatic.	
2	2	1	นั่นแหละ	nân-lɛ̀		Exactly.; That’s it/right.; There you are then.; That’s… (or emphasizes preceding part of sentence).		
3	3	1	(ก็)นั่นน่ะสิ	nân-nâ-sì; gɔ̂ɔ nân-nâ-sì		Quite right!; Yes…; Exactly!; That’s just it!		
4	4	1	จะไปแล้ว	jà bpai lɛ́ɛo		(I) gotta get going; I’m gonna go now.; I gotta run.		
5	5	1	ไปไหน	bpai nǎi		Where are you going?		
6	6	1	พูดเล่น	pûut-lên		Just joking!; I’m kidding.		
7	7	1	อย่าพูดเล่น	yàa pûut-lên		Don’t joke around.		
8	8	1	โอ้โฮ	ôo-hǒo		 Wow!; Oh!; Gee!; Holy Cow!; Whoa! (shows surprise in a kind of cute, comical way)		
9	9	1	ตายแล้ว	dtaai-lɛ́ɛo		Goodness!; Shoot!; Shit! Oh my!		
