term	Meaning
说话不算数 (他不是那种-的人; 不开玩笑(正经地说)，我是-的; 罗勃特耍了我，他-)	One's words do not count
说了算 (在这家里她- She calls the shots in this house; 听你的！你-！You are the boss; 个人- one person alone having the final say (in a leading body)	(Someone) has the final say
想到哪儿去了	Someone's thinking is wrong.
好说歹说 (我-，他总算答应了; -,他才同意来)	Try every possible way to persuade somebody
可也是	The speaker agrees with the other's words or action which is different from his/hers.
一口气 (憋- hold one's breath; 透- catch a breath; 舒了- heave a sigh of relief)	In one breath; without a break
只当 (他们建议我们把那件事-倒霉算了; 谈论他们时，就-他们在场 talk about others as if they were there)	Treat as; regards as.
一个劲儿 (他只是-地抱怨; 我想要妈妈不说话，可她却-地讲)	Continously or persistantly engage in an activity
落个不是	Be criticized; be blamed.
到头来 (-一切都会好的; Everything will turn out for the best; 整个计划-完全失败了 The whole plan turned out to be a dud; 他的财富-害了他 His wealth proved a curse to him)	In the end; finally (usually with a bad or unsatisfactory result)
赔不是 我必须向他-	Apologize to somebody
不是东西	Used to curse someone or swear at someone.
也别说	The speaker acknowledges the truth.
不在话下 (两个月拿下这项任务，- It will be a cinch to get the job done in two months; 他认为我们这些人全- He thinks the rest of us are beneath his notice; 几个月前，我慢跑根本- A few months ago, I could jog without any problem)	There is nothing difficult about it or it's very easy
连锅端	Remove or destroy lock, stock and barrel.
时不常	Often.
在气头上 (-，他用难听的话骂我们)	In a fit of anger
该+A+还是+A	The situation A has not changed or can not change
形容词+得不能再+形容词 (好极了。好-好了 Wonderful. Thinking can not be better)	In the extreme; to the highest or lowest degree
形容词+到家	Extremely; reach a very high level
看不下去 (他那个公共财政体系实在是笨拙不堪，就连他自己也有点-。 The public-finance system Mr McCain helped design is so unwieldy that even the man who invented it finds it a nightmare.)	One cannot tolerate or stand to see
A也不是，不A也不是	Feel embarrassed both to do and to not do something
睁一只眼闭一只眼 (对他们做的事情你怎么可以-呢？ How can you wink at what they are doing?)	Turn a blind eye to something; pretend not to see
没有什么大不了 (她不停地对自己说，不管怎样，很可能是一声误会，肯定-的 And in any case, as the kept telling herself, it was all probably a misunderstanding, there was surely nothing to it)	Not so important
说不出口 (他心里的话他-; 有些战争期间的犯罪行为让人简直-)	Feel embarrassed to say
咱们俩是谁跟谁呀	Two persons have intimate relations
太那个	X is here used to replace a descriptive word or phrase with negative implications that the speaker does not want to say directly
掏腰包 (他自己-出版了那本书 He published the book at his own expense)	Pay out of one's own pocket
谁让（）呢	This is a fact, so one has no choice
一来二去 (他们常在一起踢足球，-地也就熟了)	Gradually
跟没事人似的	A person who is not affetced or influenced by something
伤脑筋 (这事真-; 我对未来大-)	Troublesome; bothersome
硬钉子碰碰	Be refused or rebuffed
是苦头	Suffer; go through hardship
一而再，再而三 (我可以-的去日本 I could go to Japan again and again)	Again and again; repeatedly
没有市场 (目前这种产品-)	Not be well received or welcomed
