term	description
沙发	1) Sofa 2) Sofa grabbing, originating from the pronunaciation of "so fast", a term used in network referring to the first one who sends a message in reply to a host blog
晒工资	To put one's salary amount on the net
煽情 shān qíng	to stir up emotion 我弟弟给我讲了个十分-的故事，所以我借给他10美元 My brother told me a real sob story. So I lend him $10; 别这样子，别只凭书的封面判断它，封面可能看来-的，但故事并非如此，我已经看过了 Come on, dont judge a book by its cover. The jacket may look sexy but the story isnt, Ive read it
闪	1) Dodge, get out of the way 2) Trick fool
闪存 shǎn cún	Flash memory
闪婚	Lightning marriage, instant marriage; refers to people who get married as quickly as lightning after knowing each other for a very short time
闪局	Cohabit with an unfamiliar person shortly after meeting him or her
商海	Business field, commercial circle
商品房	Commercial residential building
商业贿赂 huì lù	Commercial bribery
商战	Trade war, price war
上火	1) Suffer from excessive internal heat (with such symptoms as constipation, conjunctivits, and inflammation of the nasal and oral cavities) 2) get angry
上扬	Rise, go up 股票价格今日-
上座率	Box-office rate
烧钱 shāo	Burn money, a metaphor for spending money quickly 经理人们还有可能是在上世纪90年代投资-热中学到了教训 Managers may also have learned a lesson from the investment splurge of the 1990s
蛇头 shé tóu	Snakehead; refers to the heads or key figures in organizations that smuggle immigrants
神	Supernatural, magical, amazing
神六	Shenzhou-6 spacecraft
审美疲劳 shěn	Aesthetic tiredness, tiredness in aesthetics (很多娱乐节目都是一个模子，会造成给观众-)
生态旅游	Eco-turism
十一五规划	The 11th five-year plan 2006-2010
食品安全	Food security (safety)
事儿	1) Way, means, measure 2) Meddlesome, troublesome, overly concerned
视觉污染	Visual pollution
视频聊天	Video chat
试婚	Trial marriage
瘦身 shòu shēn	1) Get one's body thinner; slim down 2) Metaphor for streamlining administration or downsizing an organization
梳理 shū lǐ	Put something in order; disentangle (a confused situation), readjust
数字化	Digitalized (将（例如数据）- To put(data, for example) into digital form)
数字家庭	Digital home, digital household; this means a fully automated residence. China is trying to help more and more families access to Internet servicess and other home appliances powered by digital technology
刷卡	Pay by credit card
刷大牌	Put on air, make a show of authority, throw one's weight about
衰 shuāi	Bad luck, be down on one's luck
帅呆 shuài	(of males' appearance) very handsome, outstanding
	Trick, fool, deceive
双轨 shuāng guǐ	Double-designation; this term means a special investigation scheme of the CCP when a member of official of the Party os ordered to make an explanation of his/her alleged involvement in a discipline-violation or corruption case at a designated time and in a designated place
双开	Double expulsion; expel someone from the Party and from their adminstrative post as a punishment for corruption
双赢 shuāng yíng	Win-win
爽 shuǎng	1) (of someone's nature) straightforward, frank, fortright, effecient; do something quickly 2) To feel well, comfortable
顺	1) Walk off with something, pick up something on yhe sly; shoplift, steal 2) Hany, convient and easy to use; smoothly; without difficulty
死定了	1) Be doomed to die or fail to lose 2) Be doomed to be criticized or punished
死扛 (káng)	1) Go all out to support or shoulder responsibilites 2) Refuse to confess or reveal information
死性	Stubborn, obstinate, inlfexible, stiff; having a one-track mind
素质	inner quality, tact 教育泛滥，-低下
素质教育	Education of all-round development
速配	Speed dating
塑身 sù shēn	body sculpting (weight loss and exercise)
酸雨 suān yǔ	acid rain
随便	As you wish, to suit oneself
锁定 suǒ dìng	1) Lock, stay tuned 2) Be interested in something, be in favor of
抬杠 tái gàng	to bicker (你为什麽老是喜欢-? Why do you always like to have the last word?)
太有才了	So talented, too talented 你真是~！
探班 tàn	Visit an actor or actress at the filming site
探地 tàn	Touch the bottom, down to the bottom 美股~反单。
陶吧 táo	Pottery bar
套瓷 tào cí	Cotton up to; try to establish a relationship with someone 他见到一个人就上去跟人家~，也不管人家愿意不愿意。
套近乎 tào jìn hu	Try to get in favor with someone 他有求于我，所以他才跟我~。
套牢 tào láo	to immobilize with a lasso; be tied up, consumed by 被股票~并不是什么怪事
踢皮球 tī pí qiú	Kick a ball; a metaphor for kicking something back and forth like a ball; passing the buck 政府部门遇事不再~，大大提高了办事效率。
提速 tí sù	Raise speed, lift speed
添堵 tiān dǔ	Increase someone's vexations; be a bother 见到她你可千万别提这伤心事，免得给她~。
添乱 tiān luàn	Increase the confusion or chaos; add to the trouble 你快走吧，别给我在这儿~，我都忙死了。
调侃 tiáo kǎn	Joke, ridicule 他是一个幽默的人，喜欢~。
挑染 tiāo rǎn	Highlight (hair)
跳槽 tiào cáo	to change jobs 听说他~去了一家外企。
跳楼价 tiào lóu jià	Distress price, sale at breakdown price; it refers to selling something at an extremely low price
跳水	Nose dive; a rapid fall in the stock market
跳水价	Cheap price, discount price
铁杆 tiě gān	Loyal 他是个~儿球迷。
帖子 tiě zi	1) Messages posted on BBS 2) Invitation card
土	1) Unsophisticated 你可真~ 2) Old-fashioned 这件衣服太~了
脱贫致富 tuō pín zhì fù	Cast off poverty and set out on a road to prosperity
外出务工人员	Migrant workers
外援	1) Foreign player 2) Foreign aid
外资银行	Foreign bank
完菜	Over, finish with disappointing results 这件事看来要~
网吧	Internet café
网虫	Web norm; a metaphor for Internet geek, Internet buff
网考	Internet-based test
网恋	Online love affair, online dating
网络暴民	Internet mob
网络空间	Cyber space
网民	Netizen
网校	Net school
网友	Net friend
腕儿 wàn	Celebrity 他如今可是歌坛上一个不小的~了
维和	Peace keeping (abbr.)
维权	Human rights defence (abbr.)
温室效应	Greenhouse effect 二氧化碳形成-
文博会	Intl' Cultural Industry Fair (abbr.)
文化创意产业	Cultural and creative industry
乌鸦嘴 wū yā zuǐ	Crow's mouth (Chinese believe the crow cawing could bring an unlucky spell on people. This term is a metaphor for someone who often speaks bad things or inauspicious words.)
物权法	Property law
夕阳红 xī yáng hóng	Sunset glow; it refers to happiness or joyful and glorious time of the elderly
希望工程	Project Hope (a project to enlist popular support to help children of poor families recieve schooling)
西部大开发	Development of China's Western Regions
嬉哈族 xī hā zú	Hip-hop fans
洗牌 xǐ pái	Shuffle; a metaphor for restructuring an industry 发牌者正在-
瞎菜 xiā cài	Have no way out; be finished, be at the end of one's hope
瞎咧咧 xiā liē liē	Make irresponsible remarks; speak groundlessly, talk nonsense 别听他-
下岗职工	Laid-off workers
下网	to go offline 我要~了，有事给我发短信
相当 xiāng dāng	Quite, fairly, rather 这不新片可是~的好看
香车美女	Fragrant cars and beautiful women
消费税	Consumption tax
小贝	The nickname for David Beckham
小罗 luó	The nickname for Ronaldinho
小品	skit, sketch 这台晚会太难看了，唯一令人看得上的也就是那个-了。
小强	cockroach (slang)
小升初	students going from primary school to middle school
小资	1) Petty Bourgeois 2) Emotional appeal; taste
笑星	well known comedians or cross-talkers
歇菜 xiē cài	stop it! (recent Beijing and internet slang)
邪 xié	irregular, abnormal, strange
邪门 xié	abnormal, weird, strange, odd 他的情绪真-儿，一会儿哭，一会儿笑。
新新人类	New generation; people born during the 1980s and 1990s
信息高速路	Information superhighway
信息化	Information-based, informationization 没有~，便没有经济的腾飞
形象大使	Image ambassador
形象工程	Image improvement project
熊	Timid, faint-hearted
熊市	Bear market; (stock) market with falling prices
悬	1) Dangerous, precarious, perilous 2) Almost impossible
悬的乎	Dangerous, perilous, unsafe
选秀	Beauty contest show, talent show 许多大学篮球选手都可能会宣布参加NBA-。Many college basketball players are likely to declare for the NBA draft.
循环经济	Circular economy, cyclic economy
亚健康	Sub health, sub-state of mental health 血细胞低是-状态，你要注意点。
洋	1) Foreign flavor, Western style 2) Foreign, outlandish, stylish
养犬 yǎng quǎn	Dog raising, dog breeding
养眼 yǎng yǎn	Pleasing to the eyes, eye candy 胡萝卜是-蔬菜。
氧吧	Oxygen bar (for oxygen therapy), fresh
幺蛾子 yāo é zi	Crafty plot, wicked idea or thing, a trick
摇头丸 yáo tóu wán	Ecstasy (a narcotic)
野蛮女友 yě mán	Wild girlfriend; this term originates from a Korean movie, My Sassy Girl. It refers to girls who like to ill-treat their boyfriends
夜猫子	Night owl; a metaphor for a person who stays up late at night
一把手	1) Leading official in a unit; number one, first-in-command 2) Good hand, able person
一步到位	To reach one's goal in one step 装修就该-，省得以后麻烦。
一卡通	Smart card, all-purpose card
伊妹儿 yī mèi er	E-mail
以人为本 yǐ rén wéi běn	People-oriented, people foremost, human-oriented 我们应认真做好-。
异类 yì lèi	1) Alien species (of birds， animals, grass, ghosts, etc.) different form humans 2) Alien; different from others; strange, odd
应急预案 yìng jí yù àn	Emergency planning, contingency plan
应试教育 yìng shì jiào yù	Exam-oriented education
影响市容 yǐng xiǎng shì róng	Affect (impair or harm) a cities image, negatively affect the image of a city
优化重组 yōu huà chóng zǔ	Optimize and reorganize
悠着点 yōu zhe diǎn	Take it easy 年纪大了，干活儿要-。
油	Oily, slick, glib
油耗子 yóu hào zi	1) Gas mouse; a metaphor foe someone who steals gas from others' vehicles 2) Illegal dealer in petrol and diesl oil
游商 yóu shāng	Wandering dealer, one who doesn't have a booth to sell goods, but sell them on the streets or anywhere he goes
有偿新闻 cháng	Paid news
有门	Have a way out, be hopeful 我看李杨找工作的事-儿。
有戏	Hopeful, possible, likely 出国旅游的事儿-吗？
有氧运动	Aerobic exercise
预计 yú jì	Entartainment reporter; reporter who reports on entertainment news
舆论导向 yú lùn dǎo xiàng	Direction of public opinion
郁闷 yù mèn	Bored, depressed; a phrase used by the young to express a fretful bad mood 每当他-时，总是靠酒来排忧，这样很不好。
原生态	Original ecology, primitive
月光族	Moonlight clan, refers to people who spend all their salary every month
晕 yūn	No way out; incredible; out of expectation
晕菜	Feel dizzy, get confused, be muddleheaded
造势 zào shì	Create an atmosphere; promote
噪音污染 zào	Noise pollution
增值服务 zēng	Value-added service
扎堆 zhā duī	Get together, gather around 下课后，同学喜欢-做游戏。
摘牌 zhāi pái	Delist 那家律师事务所严重违规，已被-。
涨停 zhǎng tíng	Harden, rise to become stable
朝阳行业 cháo yáng	Sunrise industry
招商引资 zhāo shāng yǐn zī	investment promotion
找不着北 zhǎo bu zháo bě	to be confused and disoriented
找辙 zhǎo zhé	to look for a pretext
真格的	Serious, real, true, to mean what one says 看来你还真和我动-了。So you really are going to oppose me.
整改	Reform and consolidate 抓住这两个问题作为-的突破口。
整合	Integrate, consolidate, unify, unite 我们小一点的部门正在被-成一个中央部门。
知本家	Knowledge capitalist; it refers to intellectuals who have become rich by using their knowledge
执政能力	Ruling or governing ability
直销 zhí xiāo	Direct sale
治理整顿 zhì lǐzhěng dùn	Imporve the economic environment a rectify economic order
智商 zhì shāng	Intelligence quotient, IQ 大量的考试不是测试-的好办法。
智障 zhì zhàng	Mentally handicapped
中超	Abbrevation for Chinese Super League, CSL
钟点工	Hourly worker usually referring to housekeepers who are paid by the hour, also called XIAOSHIGONG
钟点养老	Care-service for senior citizens charged on an hourly basis
主打产品	Dominant product, main product
主打歌	Key song, theme song
主旋律 zhǔ xuán lǜ	1) Theme, principal melody 2) Theme, main idea, basic concept
注水 zhù shuǐ	Infuse water into something unreal, untrue; a metaphor for adding unreal things to something
抓瞎 zhuā xiā	Find oneself at a loss
专卖店	Exclusive agency, franchised store
转轨 zhuǎn guǐ	Change tracks, change (the existing structure, etc.) 由计划经济向市场经济-。
转会	Transfer to another club 彼得五年中-三次。
转基因 zhuǎn jī yīn	genetic modification
转制	System transformation
装嫩 zhuāng nèn	Pretend to be childish, lovely or young; it refers to one who speaks, dresses, or acts like a young girl or boy
装样蒜 zhuāng yàng suàn	Pretend
撞大运	Try one's luck, blind luck 他们的雇佣制度似乎是一种-的事情。
追尾	Bump into the rear of the car in front, tailgate 大雾使高速公路上已经发生了几起-事故。
追星族	Fans, groupies, star chaser
准房奴	Quasi-house slave, house slave-to-be; a term referring to someone working exceptionally hard to earn money to buy a house
准妈妈	Mother-to-be
自驾游	Self-drive trip; this term refers to people driving themselves to holiday or leisure destinations
自主创新	Innovation, indigenous innovation
自主品牌	Self-owned brand
自助游	Self-help trip, self-help travel; this term refers to people who plan their own trips rather than engaging the services of a travel agency
综合国力	Comprehensive national strength
综合治理	Comprehensive treatment or administration
走出去	"Going abroad" Strategy
走人	Go, leave 如果你不想在这儿干，就-。
足球流氓	Football hooligan
组合	Combination, group 参加这次声乐比赛的选手中有六个多人-。
钻石王老五 zuàn	Very wealth bachelor
醉驾 zuì jià	Drunk driving
做大做强	Be big and strong 发展绿色食品是食品企业-的必由之路。
做局	Lay a trap 股市里有那么多特别聪明的人为股票价值-。
做人要厚道	Be honest and kind (a phrase from a famous movie) 你做事情不要太过分，-。这样，以后遇到困难难时才会有人帮你。
做秀 xiù	Show 湖南卫视善于-，超级女生节目成功后，催生了一大批的跟风者
high	Excited, do something to one's heart's content 你听听这段音乐，肯定让你感觉特别-
F1	Integrated circuit card
IC卡	Trendy, fashionable
IP卡	Internet phone card
N多	A lot of, many times 这道教学太难了，我多做了-，也没有结果
