description	term
to know; to be aware of	知道 zhī dào
check (bank); cheque; CL:本[běn]	支票 zhī piào
straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters	直 zhí
implement; carry out; to execute; to run	执行 zhí xíng
a license; a permit	执照 zhí zhào
to guide; to give directions; to direct; to coach; guidance; tuition; CL:個|个[gè]	指导 zhǐ dǎo
to conduct; to command; to direct; conductor (of an orchestra); CL:個|个[gè]	指挥 zhǐ huī
to draw up; to formulate	制定 zhì dìng
system (e.g. political, adminstrative etc); institution; CL:個|个[gè]	制度 zhì dù
wisdom; knowledge; intelligent; intelligence	智慧 zhì huì
until now	至今 zhì jīn
to treat; to cure; medical treatment; cure	治疗 zhì liáo
order (orderly); order (sequence); social order; the state (of society); CL:個|个[gè]	秩序 zhì xù
as for; as to; to go so far as to	至于 zhì yú
volunteer	志愿者 zhì yuàn zhě
make; manufacture	制作 zhì zuò
clock; o'clock; time as measured in hours and minutes; bell; CL:架[jià],座[zuò]	钟 zhōng
to act as intermediary; to link; intermediate; inter-; agency; agent	中介 zhōng jiè
center; heart; core; CL:個|个[gè]	中心 zhōng xīn
middle third of a month	中旬 zhōng xún
heavy; serious	重 zhòng
weight; CL:個|个[gè]	重量 zhòng liàng
thoughtful; considerate; attentive; thorough	周到 zhōu dao
progressively; step by step	逐步 zhú bù
bamboo; CL:棵[kē],支[zhī],根[gēn]	竹子 zhú zi
to cook; to boil	煮 zhǔ
to take charge of; to manage or direct; to preside over; to uphold; to stand for (eg justice); to host (a TV or radio program etc)	主持 zhǔ chí
to tell; to exhort; injunction	嘱咐 zhǔ fù
subjective	主观 zhǔ guān
master; host; CL:個|个[gè]	主人 zhǔ rén
chairperson; premier; chairman; CL:個|个[gè],位[wèi]	主席 zhǔ xí
to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:個|个[gè]	主张 zhǔ zhāng
to register; to enroll	注册 zhù cè
blessings; wish well	祝福 zhù fú
to grasp firmly; to pay special attention to; to rush in; to make the most of	抓紧 zhuā jǐn
expert; specialist; CL:個|个[gè]	专家 zhuān jiā
to concentrate; absorption; concentration; engrossed	专心 zhuān xīn
change; transform; CL:個|个[gè]	转变 zhuǎn biàn
to pass on; to communicate; to transmit	转告 zhuǎn gào
adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack	装 zhuāng
to decorate; decoration; decorative; ornamental	装饰 zhuāng shì
condition; state; situation; CL:個|个[gè]	状况 zhuàng kuàng
state of affairs; state; mode; situation; CL:個|个[gè]	状态 zhuàng tài
to pursue (a goal etc) stubbornly; to seek after; to woo	追求 zhuī qiú
qualifications	资格 zī gé
funds; funding; capital	资金 zī jīn
material; resources; data; information; profile (Internet); CL:份[fèn],個|个[gè]	资料 zī liào
posture; position	姿势 zī shì
to consult; to seek advice; consultation; (sales) inquiry (formal)	咨询 zī xún
natural resource (such as water or minerals); resource (such as manpower or tourism)	资源 zī yuán
purple; violet; amethyst; Lithospermum erythrorhizon (flowering plant whose root provides red purple dye); Japanese: murasaki	紫 zǐ
since (a time); ever since	自从 zì cóng
automatic; voluntarily	自动 zì dòng
(feel a sense of) pride; to be proud of sth (in a good way)	自豪 zì háo
conscious; aware; on one's own initiative; conscientious	自觉 zì jué
caption; subtitle	字幕 zì mù
selfish; selfishness	自私 zì sī
confidence; self-confidence	自信 zì xìn
freedom; free; liberty; CL:個|个[gè]	自由 zì yóu
voluntary	自愿 zì yuàn
comprehensive; composite; synthesized; to sum up; to integrate; to synthesize	综合 zōng hé
religion	宗教 zōng jiào
chairman; director-general (of a company etc)	总裁 zǒng cái
altogether; in sum; in all; in total	总共 zǒng gòng
premier; prime minister; CL:個|个[gè],位[wèi],名[míng]	总理 zǒng lǐ
at long last; finally; on the whole	总算 zǒng suàn
president (of a country); CL:個|个[gè],位[wèi],名[míng],屆|届[jiè]	总统 zǒng tǒng
in a word; in short; in brief	总之 zǒng zhī
ancestral land CL:個|个[gè]; homeland; used for PRC	祖国 zǔ guó
to assemble; combination; combinatorial	组合 zǔ hé
ancestor; forebears	祖先 zǔ xiān
to prevent; to block	阻止 zǔ zhǐ
intoxicated	醉 zuì
first; primary; initial	最初 zuì chū
criminal	罪犯 zuì fàn
respect; to revere	尊敬 zūn jìng
to comply with; to abide by; to respect (an agreement)	遵守 zūn shǒu
work (of art); opus; CL:部[bù],篇[piān]	作品 zuò pǐn
one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be	作为 zuò wéi
to write an essay; composition (student essay); CL:篇[piān]	作文 zuò wén
hey; ow; ouch; interjection of pain or surprise	哎哟 āi yō
to suffer from; to endure; to tide over (a difficult period); to delay	挨 ái
cancer	癌症 ái zhèng
to love sth too much to part with it (idiom); to fondle admiringly	爱不释手 ài bù shì shǒu
to love and respect; love and respect	爱戴 ài dài
vague; ambiguous; equivocal; dubious	暧昧 ài mèi
live in peace and work happily (idiom)	安居乐业 ān jū lè yè
peaceful; tranquil; calm; composed	安宁 ān níng
serene	安详 ān xiáng
find a place for; help settle down; arrange for; to get into bed; placement	安置 ān zhì
law case; legal case; judicial case; CL:宗[zōng],樁|桩[zhuāng],起[qǐ]	案件 àn jiàn
case (law); CL:個|个[gè]	案例 àn lì
massage	按摩 àn mó
to hint; to suggest; suggestion; a hint	暗示 àn shì
expensive; costly	昂贵 áng guì
bumpy; uneven; slotted and tabbed joint; crenelation	凹凸 āo tū
(of cooking) to boil for a long time; to endure; to suffer	熬 áo
profound; deep; a mystery	奥秘 ào mì
to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off	扒 bā
scar	疤 bā
to be eager for; to long for; to look forward to	巴不得 bā bù dé
to fawn on; to curry favor with; to make up to	巴结 bā jie
to spoil things through excessive enthusiasm (idiom)	拔苗助长 bá miáo zhù zhǎng
to guard a pass; to check on sth	把关 bǎ guān
handle; grip; knob	把手 bǎ shǒu
acrobatics; jugglery; cheap trick; game	把戏 bǎ xì
the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent	霸道 bà dào
a strike; to go on strike	罢工 bà gōng
to break with both hands	掰 bāi
percentage point	百分点 bǎi fēn diǎn
to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself	摆脱 bǎi tuō
pay a visit; call on	拜访 bài fǎng
to ruin; to corrupt; to undermine	败坏 bài huài
pay a New Year call; wish sb a Happy New Year	拜年 bài nián
request sb to do sth; please!	拜托 bài tuō
to issue; to proclaim; to enact (laws, decrees etc)	颁布 bān bù
issue; promulgate; award	颁发 bān fā
stripe; streak	斑纹 bān wén
version; edition; release	版本 bǎn běn
companion; mate; partner	伴侣 bàn lǚ
to accompany; to follow; to occur together with; attendant	伴随 bàn suí
to give up halfway (idiom); leave sth unfinished	半途而废 bàn tú ér fèi
play the part of; act	扮演 bàn yǎn
to kidnap; to abduct; to hijack; a kidnapping; abduction; staking	绑架 bǎng jià
example; model; CL:個|个[gè]	榜样 bǎng yàng
see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)	磅 bàng
shield; harbor; cover up	包庇 bāo bì
cloth-wrapper; a bundle wrapped in cloth; load; weight; burden	包袱 bāo fu
to surround; to encircle; to hem in	包围 bāo wéi
pack; package	包装 bāo zhuāng
to assure; to guarantee; to take care of; to safeguard; certainly; surely	保管 bǎo guǎn
saturation	饱和 bǎo hé
having lived through many changes	饱经沧桑 bǎo jīng cāng sāng
to keep sth confidential; to maintain secrecy	保密 bǎo mì
nanny; housekeeper	保姆 bǎo mǔ
(politically) conservative; to guard; to keep	保守 bǎo shǒu
to defend; to safeguard	保卫 bǎo wèi
to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance	保养 bǎo yǎng
to ensure; to guarantee; to safeguard	保障 bǎo zhàng
take care of oneself	保重 bǎo zhòng
to revenge (oneself); to avenge	报仇 bào chóu
reward; remuneration	报酬 bào chou
to repay; to requite	报答 bào dá
report for duty; check in; register	报到 bào dào
to break out; to erupt; to explode; to burst out	爆发 bào fā
to make reprisals; to retaliate; revenge; retaliation	报复 bào fù
