description	term
passion; fervor; enthusiasm; strong emotion	激情 jī qíng
to sneer	讥笑 jī xiào
machine; machinery; mechanical	机械 jī xiè
gene (loanword)	基因 jī yīn
opportunity; favorable circumstance; stroke of luck	机遇 jī yù
quick-witted; tact; witty; resourceful	机智 jī zhì
even if; even though; right away; immediately	即便 jí biàn
(military) rank; level; grade	级别 jí bié
disease; sickness; ailment	疾病 jí bìng
to be jealous; to envy; to hate	嫉妒 jí dù
extreme	极端 jí duān
seeking instant benefit (idiom); shortsighted vision, looking only for fast return	急功近利 jí gōng jìn lì
one's native place; place of ancestry; registered birthplace	籍贯 jí guàn
on the eve of; to be about to; to be on the verge of	即将 jí jiāng
rapid; sudden	急剧 jí jù
eager; impatient	急切 jí qiè
group; bloc; corporation; conglomerate	集团 jí tuán
limit; extreme boundary	极限 jí xiàn
lucky; auspicious; propitious	吉祥 jí xiáng
anxious for quick results (idiom); to demand instant success; impatient for result; impetuous	急于求成 jí yú qiú chéng
at the earliest possible time; as soon as possible	及早 jí zǎo
irritable; irascible; impetuous	急躁 jí zào
to accord; to give; to show (respect)	给予 jǐ yǔ
to inherit; to carry on; to succeed	继承 jì chéng
quarter (finance, publishing, schools etc); season (sports); period of three months	季度 jì dù
taboo; to avoid as taboo; to abstain from	忌讳 jì huì
to haggle; to bicker; to argue	计较 jì jiào
quiet	寂静 jì jìng
third in a race; bronze medalist	季军 jì jūn
technical ability; skill	技能 jì néng
skill; technique	技巧 jì qiǎo
to have sb look after sb; to entrust the care of sb; to place (hope etc) on	寄托 jì tuō
to follow the past and herald the future (idiom); part of a historical transition; forming a bridge between earlier and later stages	继往开来 jì wǎng kāi lái
mark; indication; sign; indicator	迹象 jì xiàng
memory; recall	记性 jì xing
minutes; written summary of a meeting	纪要 jì yào
write down; record; written account	记载 jì zǎi
the daily life of a family	家常 jiā cháng
to process; processing; working (of machinery)	加工 jiā gōng
household dish, implement or furniture; domestic animal; guy (slang); chap	家伙 jiā huo
to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter	加剧 jiā jù
family member; (family) dependent	家属 jiā shǔ
fine food; delicacies; delicious food	佳肴 jiā yáo
understood by everyone (idiom); well known; a household name	家喻户晓 jiā yù hù xiǎo
to mix together (disparate substances); to mingle; a mix; to be tangled up with	夹杂 jiā zá
suppose that...; hypothesis; conjecture	假设 jiǎ shè
if; in case; suppose; given ...	假使 jiǎ shǐ
firm; steady; staunch; resolute	坚定 jiān dìng
to control; to supervise; to inspect	监督 jiān dū
sharp pointed end; the tip; the cusp; tip-top; most advanced and sophisticated; highest peak; the best	尖端 jiān duān
firm; firmly; hard; stable	坚固 jiān gù
difficult; hard; challenging	艰难 jiān nán
tough and durable; tenacious	坚韧 jiān rèn
firm and substantial; solid	坚实 jiān shí
to monitor; to oversee; to keep a close watch over; to spy on	监视 jiān shì
hard; solid	坚硬 jiān yìng
prison	监狱 jiān yù
to hold concurrent posts; part-time; concurrent job; moonlighting	兼职 jiān zhí
to choose; to pick; to sort out; to pick up	拣 jiǎn
to cut the ribbon (at a launching or opening ceremony)	剪彩 jiǎn cǎi
simplify	简化 jiǎn huà
simple and crude (of a room or building)	简陋 jiǎn lòu
to examine or inspect; self-criticism; review	检讨 jiǎn tǎo
simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fán tǐ zì]	简体字 jiǎn tǐ zì
to inspect; to examine; to test	检验 jiǎn yàn
concise; brief	简要 jiǎn yào
splash	溅 jiàn
to differentiate; to distinguish	鉴别 jiàn bié
spy	间谍 jiàn dié
to appraise; to identify; to evaluate	鉴定 jiàn dìng
experienced and knowledgeable (idiom)	见多识广 jiàn duō shí guǎng
compartment; gap; interval; to divide	间隔 jiàn gé
indirect	间接 jiàn jiē
opinion; view; understanding	见解 jiàn jiě
robust; strong	健全 jiàn quán
to trample	践踏 jiàn tà
warship; naval vessel	舰艇 jiàn tǐng
what one sees and hears; knowledge; information	见闻 jiàn wén
to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause	见义勇为 jiàn yì yǒng wéi
in view of; seeing that; considering; whereas	鉴于 jiàn yú
almost; nearly; close to	将近 jiāng jìn
(Military) admiral; (chess) to check; to embarrass	将军 jiāng jūn
stark; stiff	僵硬 jiāng yìng
oar; paddle	桨 jiǎng
reward (as encouragement)	奖励 jiǎng lì
reward; prize; an award	奖赏 jiǎng shǎng
to descend to	降临 jiàng lín
to cross; to intersect	交叉 jiāo chā
to hand over; to explain; to make clear; to brief (sb); to account for; to justify oneself; to confess; to finish (colloquial)	交代 jiāo dài
focus; focal point	焦点 jiāo diǎn
anxiety; anxious	焦急 jiāo jí
delicate; squeamish; finicky	娇气 jiāo qì
to negotiate; relating to	交涉 jiāo shè
to associate; to contact; association; contact	交往 jiāo wǎng
(business) transaction; business deal; CL:筆|笔[bǐ]	交易 jiāo yì
to stir; to agitate	搅拌 jiǎo bàn
nook; corner	角落 jiǎo luò
to pay (taxes etc)	缴纳 jiǎo nà
to have a contest with sb; to cross swords; to measure up against; to compete with; to haggle; to quibble	较量 jiào liàng
to train; to educate; to bring up; to nurture; education; culture; upbringing; early conditioning	教养 jiào yǎng
all; each and every; in all cases	皆 jiē
hierarchy; stratum	阶层 jiē céng
to expose; to bring to light; to disclose; revelation	揭发 jiē fā
on end; in a row; in succession	接连 jiē lián
to expose; to unmask; to ferret out; to disclose; disclosure	揭露 jiē lù
outstanding; distinguished; remarkable; prominent; illustrious	杰出 jié chū
result; outcome; effect; in the event; so that	结果 jié guǒ
to spare no effort (idiom); to do one's utmost	竭尽全力 jié jìn quán lì
crystallization; crystalline; crystal	结晶 jié jīng
conclusion; ending	结局 jié jú
to settle a bill; to close an account	结算 jié suàn
up to (a time); by (a time)	截至 jié zhì
rhythm; tempo; musical pulse; cadence; beat	节奏 jié zòu
to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement)	解除 jiě chú
to fire; to sack; to dismiss	解雇 jiě gù
to dissect (an animal); to analyze; anatomy	解剖 jiě pōu
dissolve; disband	解散 jiě sàn
to break up into components; to disintegrate; to collapse; to crumble	解体 jiě tǐ
to take precautions; to guard against (emergency)	戒备 jiè bèi
to use other people's experience; to borrow from a source; to use as reference	借鉴 jiè jiàn
boundary; marginal	界限 jiè xiàn
to draw support from; with the help of	借助 jiè zhù
with keen interest pleasure (idiom); with gusto; to relish; eagerly; with great interest	津津有味 jīn jīn yǒu wèi
banking; finance; financial	金融 jīn róng
as quickly as possible; as soon as possible; with all speed; also written 盡快|尽快	尽快 jǐn kuài
as much as possible; to the greatest extent	尽量 jǐn liàng
inseparably close	紧密 jǐn mì
pressing; urgent	紧迫 jǐn pò
a bright future; a rosy future; brilliant prospects	锦绣前程 jǐn xiù qián chéng
and then (what follows next)	进而 jìn ér
to attack; to assault; to go on the offensive; attack; assault; offense (sports)	进攻 jìn gōng
evolution; CL:個|个[gè]	进化 jìn huà
recently; lately	近来 jìn lái
to steep; to soak; to immerse	浸泡 jìn pào
to promote to a higher position	晋升 jìn shēng
shortsighted; nearsighted; myopia	近视 jìn shì
enthusiasm; zeal; vigor; strength	劲头 jìn tóu
to make headway; to make progress	进展 jìn zhǎn
stalk; stem; CL:條|条[tiáo]	茎 jīng
(saying) meticulous planning and careful accounting	精打细算 jīng dǎ xì suàn
alarm; alert; disturb	惊动 jīng dòng
funds; expenditure; CL:筆|笔[bǐ]	经费 jīng fèi
best feature; most important part of an object; quintessence; essence; soul	精华 jīng huá
to simplify; to reduce	精简 jīng jiǎn
cautious and conscientious	兢兢业业 jīng jīng yè yè
accuracy; exact; precise; refined	精密 jīng mì
to be amazed; to be surprised; to wonder	惊奇 jīng qí
accurate; precise	精确 jīng què
to trade; to carry out commercial activities; in business	经商 jīng shāng
proficient	精通 jīng tōng
warp and woof; longitude and latitude; main points	经纬 jīng wěi
with utmost care; fine; meticulous; detailed	精心 jīng xīn
amazed; astonished; to surprise; amazing; astonishment; awe	惊讶 jīng yà
to perfect sth that is already outstanding (idiom); constantly improving	精益求精 jīng yì qiú jīng
delicate; fine; exquisite; refined	精致 jīng zhì
warn; well; surname Jing; CL:口[kǒu]	井 jǐng
to warn; to admonish	警告 jǐng gào
to be on the alert; vigilant; alert; on guard; to warn	警惕 jǐng tì
cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals	颈椎 jǐng zhuī
boundary; state; realm	境界 jìng jiè
salute	敬礼 jìng lǐ
race; competition; CL:個|个[gè]	竞赛 jìng sài
camera shot (in a movie etc); scene	镜头 jìng tóu
to take part in an election; to run for office	竞选 jìng xuǎn
a dispute; entanglement (law)	纠纷 jiū fēn
to correct; to make right	纠正 jiū zhèng
alcohol; ethanol CH3CH2OH; ethyl alcohol; also written 乙醇; grain alcohol	酒精 jiǔ jīng
emergency relief; to help the needy with cash or goods	救济 jiù jì
nearby; in a close neighborhood	就近 jiù jìn
looking for employment; getting a job; to start a career	就业 jiù yè
take office; assume a post	就职 jiù zhí
to bow	鞠躬 jū gōng
to detain (a prisoner); to keep sb in custody	拘留 jū liú
to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent	拘束 jū shù
to reside; to dwell; to live in a place; resident in	居住 jū zhù
part; local	局部 jú bù
aspect; phase; situation	局面 jú miàn
situation; state (of affairs)	局势 jú shì
limit	局限 jú xiàn
act; action; activity; move; movement	举动 jǔ dòng
to chew	咀嚼 jǔ jué
dispirited; dejected; dismayed	沮丧 jǔ sàng
(saying) world famous	举世闻名 jǔ shì wén míng
attract worldwide attention	举世瞩目 jǔ shì zhǔ mù
a foot's move sways the balance (idiom); to hold the balance of power; to play the decisive role	举足轻重 jǔ zú qīng zhòng
script for play, opera, movie etc; screenplay	剧本 jù běn
to concentrate one's attention (idiom)	聚精会神 jù jīng huì shén
violent; acute; severe; fierce	剧烈 jù liè
according to reports; it is reported (that)	据悉 jù xī
strategic decision; decision-making; policy decision; to determine policy	决策 jué cè
desperation; forlorn; hopeless	绝望 jué wàng
consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)	觉悟 jué wù
to awaken; to come to realize; awakened to the truth; the truth dawns upon one; scales fall from the eyes; to become aware	觉醒 jué xǐng
army troops; CL:支[zhī],個|个[gè]	军队 jūn duì
cartoon	卡通 kǎ tōng
to extract (ore or other resource from a mine); to exploit; to mine	开采 kāi cǎi
to expel	开除 kāi chú
wide; open (spaces); to open up	开阔 kāi kuò
spacious and well-lit; open and clear; to open out (onto a wider vista); optimistic; cheerful; carefree; easy-going; open-minded	开朗 kāi lǎng
enlightened; open-minded; enlightenment	开明 kāi míng
to open up; to set up; to start; to build	开辟 kāi pì
boiled water; boiling water	开水 kāi shuǐ
to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons)	开拓 kāi tuò
(begin to) develop; unfold; to start; to launch; to open; to carry out	开展 kāi zhǎn
expenditures; pay; expenses; CL:筆|笔[bǐ]	开支 kāi zhī
to carry a story; to publish (in a newspaper or magazine)	刊登 kān dēng
exploration	勘探 kān tàn
publication	刊物 kān wù
to look upon; to regard	看待 kàn dài
apparently; it seems that; it appears; it seems	看来 kàn lái
to visit; to pay a call to	看望 kàn wàng
vehement; fervent; generous; giving; liberal	慷慨 kāng kǎi
to inspect; to observe and study; on-the-spot investigation	考察 kǎo chá
archaeology	考古 kǎo gǔ
to examine; to check up on; to assess; to review; appraisal; review; evaluation	考核 kǎo hé
to test; to put to the test	考验 kǎo yàn
to draw close to	靠拢 kào lǒng
to tap; knock	磕 kē
kernel; granule; granulated (sugar, chemical product)	颗粒 kē lì
subject	科目 kē mù
considerable	可观 kě guān
tasty; to taste good	可口 kě kǒu
to thirst for; to long for	渴望 kě wàng
repulsive; vile; hateful; abominable	可恶 kě wù
funny; ridiculous	可笑 kě xiào
feasible	可行 kě xíng
to brook no delay; to demand immediate action	刻不容缓 kè bù róng huǎn
client; customer	客户 kè hù
task; problem; issue	课题 kè tí
to gnaw; to nibble; to bite	啃 kěn
earnest; sincere	恳切 kěn qiè
pit; to defraud	坑 kēng
cavity; empty; vacuous	空洞 kōng dòng
unprecedented and never to be duplicated; the first and the last; unmatched; unique	空前绝后 kōng qián jué hòu
daydream; fantasy; to fantasize	空想 kōng xiǎng
hollow; emptiness; meaningless	空虚 kōng xū
aperture; opening; hole	孔 kǒng
to threaten; to menace	恐吓 kǒng hè
fear; dread; phobia	恐惧 kǒng jù
blank space	空白 kòng bái
crack; gap between two objects; gap in time between two events	空隙 kòng xì
tone of voice; the way one speaks; manner of expression; tone	口气 kǒu qì
oral cavity	口腔 kǒu qiāng
oral; verbal	口头 kǒu tóu
accent	口音 kǒu yīn
used up; dried up; exhausted (of resources)	枯竭 kū jié
dry and dull; uninteresting; dry-as-dust	枯燥 kū zào
bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning	苦尽甘来 kǔ jìn gān lái
to carry (esp. slung over the arm, shoulder or side)	挎 kuà
to step across; to stride over; to straddle; to span	跨 kuà
happy; cheerful	快活 kuài huo
spacious; wide	宽敞 kuān chang
entertain	款待 kuǎn dài
pattern; style; design; CL:種|种[zhǒng]	款式 kuǎn shì
basket; CL:隻|只[zhī]	筐 kuāng
frame; framework; fig. pattern; outline; organizing plan	框架 kuàng jià
to play truant; to cut classes	旷课 kuàng kè
moreover; besides; in addition; furthermore	况且 kuàng qiě
to treat sb unfairly	亏待 kuī dài
deficit; (financial) loss	亏损 kuī sǔn
insect; CL:隻|只[zhī],群[qún],堆[duī]	昆虫 kūn chóng
to bind	捆绑 kǔn bǎng
to expand	扩充 kuò chōng
to spread; to proliferate; to diffuse; spread; proliferation; diffusion	扩散 kuò sàn
expansion; dilation; to expand (e.g. one's power or influence); to broaden	扩张 kuò zhāng
a phrase-final particle	啦 lā
horn (automobile, alarm siren, musical etc) which produces a sound; loudspeaker; brass wind instrument; trumpet; suona 鎖吶|锁呐[suǒ nà]	喇叭 lǎ ba
history; antecedents; origin	来历 lái lì
source (of information etc); origin	来源 lái yuán
a column (in a newspaper or on a news website)	栏目 lán mù
idle; lazy	懒惰 lǎn duò
in a difficult situation; to cut a sorry figure; scoundrel! (derogatory)	狼狈 láng bèi
read aloud; read loudly and clearly	朗读 lǎng dú
to fish up; to dredge up	捞 lāo
to prattle; to chatter; talkative; garrulous; to nag	唠叨 láo dao
firm; secure	牢固 láo gù
discontent; complaint	牢骚 láo sāo
delight; pleasure; joy	乐趣 lè qù
to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied	乐意 lè yì
radar (loanword)	雷达 léi dá
similar; analogous	类似 lèi sì
cold; indifferent	冷淡 lěng dàn
grim; unfeeling; callous	冷酷 lěng kù
to cool off; cooling	冷却 lěng què
to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly	愣 lèng
dawn; daybreak	黎明 lí míng
to heed; to pay attention to	理睬 lǐ cǎi
milestone	里程碑 lǐ chéng bēi
etiquette	礼节 lǐ jié
as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right	理所当然 lǐ suǒ dāng rán
in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage of one's convictions; just and forceful	理直气壮 lǐ zhí qì zhuàng
reason; intellect; rationality	理智 lǐ zhì
position; standpoint; CL:個|个[gè]	立场 lì chǎng
successive generations; successive dynasties; past dynasties	历代 lì dài
pros and cons; advantages and disadvantages; gains and losses	利害 lì hài
overpass; flyover	立交桥 lì jiāo qiáo
always; throughout (a period of time); (of) all-time	历来 lì lái
interest rates	利率 lì lǜ
as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers	力所能及 lì suǒ néng jí
three-dimensional; solid; stereoscopic	立体 lì tǐ
try hard to; strive to	力图 lì tú
(make an) exception	例外 lì wài
to work hard for; to do all one can; to contend strongly	力争 lì zhēng
to stand; to have a footing; to be established; to base oneself on	立足 lì zú
have a get-together	联欢 lián huān
honest; not coercive; honesty; integrity; incorruptible	廉洁 lián jié
communication; to get in touch with; to contact; connection (math.)	联络 lián luò
alliance; union; coalition	联盟 lián méng
successive years; over many years	连年 lián nián
chain	连锁 lián suǒ
together with; along with	连同 lián tóng
to associate with something in thinking; abbr. for 聯想集團|联想集团[Lián xiǎng Jí tuán]	联想 lián xiǎng
conscience	良心 liáng xīn
to dry in the air	晾 liàng
(reach) an understanding	谅解 liàng jiě
vast; extensive	辽阔 liáo kuò
a list; to list; to enumerate	列举 liè jǔ
to drain; to drench; to drip; diseases of the bladder	淋 lín
clinical	临床 lín chuáng
stingy; mean; miserly	吝啬 lìn sè
early in the morning	凌晨 líng chén
inspiration; insight; a burst of creativity in scientific or artistic endeavor	灵感 líng gǎn
soul; spirit	灵魂 líng hún
clever; witty; intelligent	伶俐 líng lì
smart; clever; sensitive; keen; quick; sharp	灵敏 líng mǐn
fragmentary; random; bits and pieces; sporadic	零星 líng xīng
to understand; to comprehend; to grasp	领会 lǐng huì
consulate	领事馆 lǐng shì guǎn
territory	领土 lǐng tǔ
to understand; to comprehend	领悟 lǐng wù
to lead; to be in front	领先 lǐng xiān
leader; CL:個|个[gè],位[wèi],名[míng]	领袖 lǐng xiù
to slip away; to escape in stealth; to skate	溜 liū
to drift about; to wander; to roam; nomadic; homeless; unsettled (e.g. population); vagrant	流浪 liú làng
reluctant to leave; to hate to have to go; to recall fondly	留恋 liú liàn
to express; to reveal (one's thoughts or feelings)	流露 liú lù
rogue; hoodlum; gangster; immoral behavior	流氓 liú máng
to keep as a souvenir; to recall fondly	留念 liú niàn
to take care; to be careful	留神 liú shén
to circulate	流通 liú tōng
deaf and dumb; deaf-mute; surdimutism	聋哑 lóng yǎ
grand; prosperous; ceremonious; solemn	隆重 lóng zhòng
enjoy market dominance; monopolize	垄断 lǒng duàn
to envelop; to shroud	笼罩 lǒng zhào
to hold or embrace in one's arms	搂 lǒu
stove	炉灶 lú zào
steamship; CL:艘[sōu]	轮船 lún chuán
an outline; silhouette	轮廓 lún kuò
tire; pneumatic tire	轮胎 lún tāi
forum (for discussion)	论坛 lùn tán
to prove a point; proof; to expound on; demonstrate or prove (through argument)	论证 lùn zhèng
to grumble	啰唆 luō suo
screw	螺丝钉 luó sī dīng
to complete a construction project	落成 luò chéng
practical; workable; to implement; to carry out; to decide	落实 luò shí
continuously; in an endless stream (idiom)	络绎不绝 luò yì bù jué
repeatedly; time and again	屡次 lǚ cì
to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform	履行 lǚ xíng
to plunder; to rob; also written 略奪|略夺	掠夺 lüè duó
a little bit; slightly	略微 lüè wēi
paralysis; palsy; numbness; to benumb	麻痹 má bì
numb; insensitive; apathetic	麻木 má mù
anesthesia; fig. to poison (sb's mind)	麻醉 má zuì
dock; pier; wharf; CL:個|个[gè]	码头 mǎ tóu
(a modal particle)	嘛 ma
ambush	埋伏 mái fú
oblivion	埋没 mái mò
to bury	埋葬 mái zàng
take a step	迈 mài
a pulse (both medical and figurative)	脉搏 mài bó
to complain	埋怨 mán yuàn
very long; endless	漫长 màn cháng
caricature; cartoon; Japanese manga	漫画 màn huà
slow and patient; chronic (disease); slow to take effect (e.g. a slow poison)	慢性 màn xìng
to extend; to spread	蔓延 màn yán
busy; bustling	忙碌 máng lù
boundless; vast and obscure	茫茫 máng máng
blind; aimless	盲目 máng mù
ignorant; to have no knowledge of sth	茫然 máng rán
to feign; to pretend to be; to pass oneself off as	冒充 mào chōng
lush	茂盛 mào shèng
classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc	枚 méi
media; medium	媒介 méi jiè
media, esp. news media	媒体 méi tǐ
(idiom) unable to solve; no way to escape a problem	没辙 méi zhé
pleasing to the eye; beautiful; artistic	美观 měi guān
happy; blissful	美满 měi mǎn
beautiful; wonderful; splendid	美妙 měi miào
outpatient service	门诊 mén zhěn
drizzle; mist	蒙 méng
sprout; germ of a plant	萌芽 méng yá
fierce; violent (criticism etc)	猛烈 měng liè
to dream of; to hope in vain	梦想 mèng xiǎng
to narrow one's eyes; (Dialect) to nap; to take a nap	眯 mī
to complement; to make up for a deficiency	弥补 mí bǔ
to puzzle; to confuse; to baffle	迷惑 mí huo
to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)	弥漫 mí màn
fascinating; enchanting; charming; tempting	迷人 mí rén
lost; not knowing one's location	迷失 mí shī
superstition	迷信 mí xìn
density; thickness	密度 mì dù
seal up	密封 mì fēng
so as not to; so as to avoid	免得 miǎn de
to encourage	勉励 miǎn lì
to do with difficulty; to force sb to do sth; reluctant; barely enough	勉强 miǎn qiǎng
immunity (to disease)	免疫 miǎn yì
appearance; face; features; CL:個|个[gè]	面貌 miàn mào
outer surface; outside; honor; reputation; face (as in "losing face"); self-respect; feelings; (medicinal) powder	面子 miàn zi
to describe; to portray	描绘 miáo huì
minute; tiny; negligible; insignificant	渺小 miǎo xiǎo
to loathe; to despise; contempt	蔑视 miè shì
to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate	灭亡 miè wáng
among the people; popular; folk; non-governmental; involving people rather than governments	民间 mín jiān
(for) civilian use	民用 mín yòng
sensitive; susceptible; politically sensitive (pretext for censorship)	敏感 mǐn gǎn
nimble; quick; shrewd	敏捷 mǐn jié
keen; sharp; acute	敏锐 mǐn ruì
position in a ranking of names	名次 míng cì
fixed number of people; quota	名额 míng é
not just in name only, but also in reality (idiom)	名副其实 míng fù qí shí
obviously; plainly; undoubtedly; definitely	明明 míng míng
fame; reputation; honor; honorary; emeritus (of retired professor)	名誉 míng yù
to give a name to; to dub; to christen; to designate; named after; naming	命名 mìng míng
to feel about; to grope about; to fumble; to do things slowly	摸索 mō suo
membrane; film	膜 mó
friction; rubbing; chafing; fig. disharmony; conflict; same as 磨擦	摩擦 mó cā
model; fine example	模范 mó fàn
devil	魔鬼 mó guǐ
to break in; to wear in	磨合 mó hé
mode; method	模式 mó shì
magic	魔术 mó shù
model; mould; matrix; pattern	模型 mó xíng
to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress	抹杀 mǒ shā
unfathomable mystery (idiom); subtle and ineffable; unable to make head or tail of it; boring (e.g. movie)	莫名其妙 mò míng qí miào
in silence; not speaking	默默 mò mò
ink; CL:瓶[píng]	墨水儿 mò shuǐ r5
to seek; to strive for	谋求 móu qiú
look; style; appearance; approximation; about; CL:個|个[gè]	模样 mú yàng
native language; mother language	母语 mǔ yǔ
to witness; to see at first hand; to see with one's own eyes	目睹 mù dǔ
sight; vision; view; gaze; look	目光 mù guāng
to take a bath; to bathe; to immerse	沐浴 mù yù
expert in; good at	拿手 ná shǒu
puzzled; bewildered	纳闷儿 nà mèn r5
durable	耐用 nài yòng
seldom; rare; hard to come by	难得 nán dé
hard to take; embarrassed	难堪 nán kān
hard to avoid; difficult to escape from	难免 nán miǎn
rare and commendable; estimable	难能可贵 nán néng kě guì
to get angry; irritated; to annoy; to aggravate; annoying	恼火 nǎo huǒ
meaning; content; essential properties implied or reflected by a notion; intention; connotation; self-possessed	内涵 nèi hán
inside story; non-public information; behind the scenes; internal	内幕 nèi mù
intrinsic; innate	内在 nèi zài
energy; capabilities	能量 néng liàng
(a groaning sound)	嗯 ńg
to draw up; to draft; to formulate	拟定 nǐ dìng
year (e.g. school year, fiscal year)	年度 nián dù
to pinch (with one's fingers); to knead; to make up	捏 niē
to pinch; wring	拧 níng
to freeze; to solidify; to congeal; fig. with rapt attention	凝固 níng gù
to condense; to coagulate; coacervation (i.e. form tiny droplets); aggregation; coherent	凝聚 níng jù
gaze	凝视 níng shì
would rather...; it would be better...; would prefer	宁肯 nìng kěn
would rather; better	宁愿 nìng yuàn
button	纽扣儿 niǔ kòu r5
to reverse; to turn around (an undesirable situation)	扭转 niǔ zhuǎn
dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)	浓厚 nóng hòu
the traditional Chinese calendar; the lunar calendar	农历 nóng lì
slave	奴隶 nú lì
to shift; to move	挪 nuó
to mistreat; to maltreat; to abuse; mistreatment; maltreatment	虐待 nüè dài
oh; ah	哦 ò
to beat up; to come to blows; battery (law)	殴打 ōu dǎ
Europe; European	欧洲 Ōu zhōu
to vomit	呕吐 ǒu tù
to lie on one's stomach	趴 pā
to reject; to exclude; to eliminate; to remove; to repel	排斥 pái chì
to eliminate; to get rid of; to remove	排除 pái chú
emission; discharge; exhaust (gas etc)	排放 pái fàng
to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger	徘徊 pái huái
denomination; group; school; faction; school of thought	派别 pài bié
to send (on a mission); to dispatch	派遣 pài qiǎn
to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger	攀登 pān dēng
to spiral; to circle; to go around; to hover; to orbit	盘旋 pán xuán
bank; field-path	畔 pàn
judgment (by a court of law)	判决 pàn jué
huge; enormous; tremendous	庞大 páng dà
discard; dump; abandon	抛弃 pāo qì
foam; (soap) bubble; (economic) bubble	泡沫 pào mò
to cultivate; to train; to groom; training	培训 péi xùn
to train; to breed	培育 péi yù
to allocate; to provide; to outfit with	配备 pèi bèi
consort; mate; spouse	配偶 pèi ǒu
to form a complete set; coherent	配套 pèi tào
basin (low-lying geographical feature); depression	盆地 pén dì
cooking; culinary arts	烹饪 pēng rèn
to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter	捧 pěng
to hack; to chop; to split open; see 噼啪|劈啪, onomat. for crack, slap, clap, clatter etc	劈 pī
wholesale; bulk trade; distribution	批发 pī fā
criticize; CL:個|个[gè]	批判 pī pàn
beaten; exhausted; tired	疲惫 pí bèi
leather; CL:張|张[zhāng]	皮革 pí gé
to tire; tired	疲倦 pí juàn
temperament; disposition; temper; CL:個|个[gè]	脾气 pí qi
buttocks; bottom; ass	屁股 pì gu
for example; for instance; such as	譬如 pì rú
bias; deviation	偏差 piān chā
prejudice	偏见 piān jiàn
remote; desolate; far from the city	偏僻 piān pì
(indicates that sth turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations	偏偏 piān piān
fragment (of speech etc); extract (from book etc); episode (of story etc)	片段 piàn duàn
short period of time; a moment	片刻 piàn kè
to float; to hover; to drift (also fig., to lead a wandering life); to rove; showy; superficial	漂浮 piāo fú
wave; flutter; fly	飘扬 piāo yáng
to struggle; to wrestle	拼搏 pīn bó
to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it	拼命 pīn mìng
lack; incomplete	贫乏 pín fá
frequently; often	频繁 pín fán
impoverished; poverty	贫困 pín kùn
frequency	频率 pín lǜ
to taste a small amount; to sample	品尝 pǐn cháng
moral character	品德 pǐn dé
behavior; moral conduct	品行 pǐn xíng
quality	品质 pǐn zhì
commonplace; ordinary; mediocre	平凡 píng fán
to evaluate; to assess; assessment; evaluation	评估 píng gū
to comment on; to discuss; comment; commentary; CL: 篇[piān]	评论 píng lùn
plane (flat surface); print media	平面 píng miàn
level; even; smooth; flat	平坦 píng tǎn
parallel; of equal rank; simultaneous	平行 píng xíng
field; plain; CL:個|个[gè]	平原 píng yuán
protective screen	屏障 píng zhàng
slope; CL:個|个[gè]	坡 pō
to splash; to spill; rough and coarse; brutish	泼 pō
very; considerably	颇 pō
impatient (idiom); in a hurry; itching to get on with it	迫不及待 pò bù jí dài
to persecute; persecution	迫害 pò hài
to make an exception	破例 pò lì
courage; daring; boldness; resolution; drive	魄力 pò lì
to assault; to pounce; to rush at sth; to throw oneself on	扑 pū
to spread; to extend; to pave; to lay	铺 pū
popular; to popularize; universal; ubiquitous; pervasive	普及 pǔ jí
plain; simple; guileless; down-to-earth; sincere and honest	朴实 pǔ shí
waterfall	瀑布 pù bù
to bully	欺负 qī fu
desolate	凄凉 qī liáng
to deceive; to cheat	欺骗 qī piàn
hope; expectation	期望 qī wàng
