description	term
perspiration; sweat; CL:滴[dī],頭|头[tóu],身[shēn]; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)	汗 hàn
scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship	航班 háng bān
benefit; advantage; gain; profit; also pronounced hǎo chù; CL:個|个[gè]	好处 hǎo chu
as if; to seem like	好像 hǎo xiàng
number; CL:堆[duī],個|个[gè]	号码 hào mǎ
qualified; meeting a standard; eligible (voter)	合格 hé gé
suitable; fitting; decent; to fit	合适 hé shì
case	盒子 hé zi
monkey; CL:隻|只[zhī]	猴子 hóu zi
thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress	厚 hòu
to regret; to repent	后悔 hòu huǐ
afterwards; later	后来 hòu lái
suddenly; all of a sudden	忽然 hū rán
nurse; CL:個|个[gè]	护士 hù shi
each other; mutually; mutual	互相 hù xiāng
to doubt; to suspect; doubt; suspicion; skeptical	怀疑 huái yí
to pay back; to return; surname Huan	还 huán
to recall; recollection; CL:個|个[gè]	回忆 huí yì
to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:項|项[xiàng],個|个[gè]	活动 huó dòng
lively; vivacious; brisk; active	活泼 huó po
fire; CL:把[bǎ]	火 huǒ
to obtain; to receive; to get	获得 huò dé
base; foundation; basis; underlying; CL:個|个[gè]	基础 jī chǔ
to excite; to agitate; exciting	激动 jī dòng
active; energetic; vigorous; positive (outlook); proactive	积极 jī jí
to accumulate; accumulation; cumulative; cumulatively	积累 jī lěi
a congregation; to gather; a set	集合 jí hé
extremely	极其 jí qí
in time; promptly; without delay; timely	及时 jí shí
even if; even though; given that	即使 jí shǐ
to live (in a house); to lodge; to mail; to send; to entrust; to depend	寄 jì
plan; project; program; to plan; to map out; CL:個|个[gè],項|项[xiàng]	计划 jì huà
since; as; this being the case	既然 jì rán
technology; technique; skill; CL:門|门[mén],種|种[zhǒng],項|项[xiàng]	技术 jì shù
to continue; to proceed with; to go on with	继续 jì xù
reporter; journalist; CL:個|个[gè]	记者 jì zhě
to work overtime	加班 jiā bān
furniture; CL:件[jiàn],套[tào]	家具 jiā jù
gas station	加油站 jiā yóu zhàn
fake; false; artificial; to borrow; if; suppose	假 jiǎ
price; CL:個|个[gè]	价格 jià gé
to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere	坚持 jiān chí
to lose weight	减肥 jiǎn féi
to lessen; to decrease; to reduce; to lower	减少 jiǎn shǎo
in the future; future; the future; CL:個|个[gè]	将来 jiāng lái
premium; award money; a bonus	奖金 jiǎng jīn
to reduce; to lower; to bring down	降低 jiàng dī
to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)	交 jiāo
arrogant; full of oneself; conceited; proud of sth; CL:個|个[gè]	骄傲 jiāo ào
exchange; give-and-take; to exchange; to alternate; communication; alternating current (electricity)	交流 jiāo liú
to be connected; traffic; communications; liaison	交通 jiāo tōng
dumpling; pot-sticker; CL:個|个[gè],隻|只[zhī]	饺子 jiǎo zi
professor; to instruct; to lecture on; CL:個|个[gè],位[wèi]	教授 jiào shòu
to educate; to teach; education	教育 jiào yù
to accept; to receive	接受 jiē shòu
to economize; to conserve (resources); economy; frugal	节约 jié yuē
explanation; to explain; to interpret; to resolve; CL:個|个[gè]	解释 jiě shì
despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating	尽管 jǐn guǎn
nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhèn]	紧张 jǐn zhāng
to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute	进行 jìn xíng
to prohibit; to forbid; to ban	禁止 jìn zhǐ
brilliant; splendid	精彩 jīng cǎi
economy; economic	经济 jīng jì
Beijing opera; CL:場|场[chǎng],出[chū]	京剧 Jīng jù
experience; CL:個|个[gè],次[cì]; to experience; to go through	经历 jīng lì
spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:個|个[gè]	精神 jīng shén
to experience; experience	经验 jīng yàn
police; policeman; policewoman; CL:個|个[gè]	警察 jǐng chá
unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to	竟然 jìng rán
to compete; competition	竞争 jìng zhēng
mirror; CL:面[miàn],個|个[gè]	镜子 jìng zi
after all (when all is said and done); actually; outcome; result	究竟 jiū jìng
to conduct; to hold	举办 jǔ bàn
to refuse; to decline; to reject	拒绝 jù jué
distance; to be apart; CL:個|个[gè]	距离 jù lí
to play a joke; to make fun of; to joke	开玩笑 kāi wán xiào
way of looking at a thing; view; opinion; CL:個|个[gè]	看法 kàn fǎ
to think over; to consider; consideration	考虑 kǎo lǜ
classifier for trees, cabbages, plants etc	棵 kē
science; scientific knowledge; scientific; CL:門|门[mén],個|个[gè],種|种[zhǒng]	科学 kē xué
to cough; CL:陣|阵[zhèn]	咳嗽 ké sou
pitiful; pathetic	可怜 kě lián
but; however	可是 kě shì
it is a pity; what a pity; (it's) too bad	可惜 kě xī
to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative	肯定 kěn dìng
air; atmosphere	空气 kōng qì
fear; to dread; I'm afraid that...; perhaps; maybe	恐怕 kǒng pà
bitter; hardship; pain; to suffer; painstaking	苦 kǔ
lenient; wide; broad	宽 kuān
to trap; to surround; hard-pressed; stranded; destitute	困 kùn
(financial etc) difficulty; problem; issue; CL:個|个[gè]	困难 kùn nan
to expand; to enlarge; to broaden one's scope	扩大 kuò dà
to pull; to play (string instruments); to drag; to draw	拉 lā
rubbish bin	垃圾桶 lā jī tǒng
hot (spicy); pungent	辣 là
there's not enough time (to do sth); it's too late (to do sth)	来不及 lái bu jí
there's still time; able to do sth in time	来得及 lái de jí
lazy	懒 lǎn
to waste; to squander	浪费 làng fèi
romantic	浪漫 làng màn
tiger; CL:隻|只[zhī]	老虎 lǎo hǔ
calm; cool-headed	冷静 lěng jìng
a barber; hairdressing	理发 lǐ fà
to comprehend; to understand; comprehension; understanding	理解 lǐ jiě
courtesy; manners	礼貌 lǐ mào
a dream; an ideal; perfection; ideal; perfect; desirable; CL:個|个[gè]	理想 lǐ xiǎng
difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome	厉害 lì hai
strength; CL:把[bǎ]	力气 lì qi
for example; for instance; such as	例如 lì rú
two (colloquial equivalent of 兩個|两个); both; some	俩 liǎ
to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)	连 lián
connection; contact; relation; in touch with; to integrate; to link; to touch	联系 lián xì
nice and cold; pleasantly cool	凉快 liáng kuai
bright; clear; resonant; to shine; to show; to reveal	亮 liàng
to chat; to gossip	聊天 liáo tiān
additional; in addition; besides; separate; other; moreover; furthermore	另外 lìng wài
to leave (eg a message); to retain; to stay; to remain; to keep; to preserve	留 liú
to shed tears	流泪 liú lèi
fluent	流利 liú lì
to spread; to rage (of contagious disease); popular; fashionable; prevalent; (math.) manifold	流行 liú xíng
to study abroad	留学 liú xué
in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary	乱 luàn
lawyer	律师 lǜ shī
inconvenient; troublesome; to trouble or bother sb; to put sb to trouble	麻烦 má fan
careless; sloppy; negligent; skimpy	马虎 mǎ hu
full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian	满 mǎn
towel; CL:條|条[tiáo]	毛巾 máo jīn
beautiful	美丽 měi lì
dream; CL:場|场[cháng],個|个[gè]	梦 mèng
code; secret code; password; pin number	密码 mì mǎ
free (of charge)	免费 miǎn fèi
nationality; ethnic group; CL:個|个[gè]	民族 mín zú
mother; also pr. with light tone [mǔ qin]; CL:個|个[gè]	母亲 mǔ qīn
purpose; aim; goal; target; objective; CL:個|个[gè]	目的 mù dì
patient (adjective)	耐心 nài xīn
don't tell me ...; could it be that...?	难道 nán dào
to feel unwell; to suffer pain; to be difficult to bear	难受 nán shòu
inside; inner; internal; within; interior	内 nèi
content; substance; details; CL:個|个[gè],項|项[xiàng]	内容 nèi róng
capability; capable; able; ability; CL:個|个[gè]	能力 néng lì
(a person's) age; CL:把[bǎ],個|个[gè]	年龄 nián líng
rural area; village; CL:個|个[gè]	农村 nóng cūn
to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with	弄 nòng
warm; nice and warm	暖和 nuǎn huo
occasionally; once in a while; sometimes	偶尔 ǒu ěr
array; arrangement; permutation (i.e. ordered choice of n elements out of m)	排列 pái liè
to decide; to determine; CL:個|个[gè]	判断 pàn duàn
to accompany; to keep sb company	陪 péi
to criticize; criticism; CL:個|个[gè]	批评 pī píng
skin; CL:種|种[zhǒng]	皮肤 pí fū
sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article	篇 piān
to cheat; to swindle; to deceive; to fool; to hoodwink; to trick	骗 piàn
table tennis; ping-pong; ping pong; table tennis ball; CL:個|个[gè]	乒乓球 pīng pāng qiú
in normal times; in peacetime	平时 píng shí
bottle; CL:個|个[gè]	瓶子 píng zi
broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of	破 pò
universal; general; widespread; common	普遍 pǔ biàn
next; secondly	其次 qí cì
among; in; included among these	其中 qí zhōng
to take off (in an airplane)	起飞 qǐ fēi
climate; atmosphere; situation; CL:種|种[zhǒng]	气候 qì hòu
ten million; countless; many; one must by all means	千万 qiān wàn
visa; certificate; to certify; CL:個|个[gè]	签证 qiān zhèng
wall; CL:面[miàn],堵[dǔ]	墙 qiáng
extort; knock; to strike; to knock (at a door); to hit	敲 qiāo
bridge; CL:座[zuò]	桥 qiáo
chocolate (loanword); CL:塊|块[kuài]	巧克力 qiǎo kè lì
a relative (i.e. family relation); CL:門|门[mén],個|个[gè],位[wèi]	亲戚 qīn qi
light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral	轻 qīng
gentle; relaxed	轻松 qīng sōng
circumstances; state of affairs; situation; CL:個|个[gè],種|种[zhǒng]	情况 qíng kuàng
ask for time off	请假 qǐng jià
give a dinner party; entertain guests; invite to dinner	请客 qǐng kè
exhausted; poor	穷 qióng
difference; to distinguish; to discriminate; to make a distinction; CL:個|个[gè]	区别 qū bié
to take; to get; to choose; to fetch	取 qǔ
whole; entire; complete	全部 quán bù
weak point; fault; shortcoming; CL:個|个[gè]	缺点 quē diǎn
lack; shortage of; shortfall; to be short (of); to lack	缺少 quē shǎo
but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though	却 què
indeed; really; reliable; real; true	确实 què shí
group; crowd; flock, herd, pack etc	群 qún
however; yet; but	然而 rán ér
bustling with noise and excitement; lively	热闹 rè nao
Renminbi (RMB); Chinese Yuan (CNY)	人民币 rén mín bì
any; whatever; whichever; whatsoever	任何 rèn hé
mission; assignment; task; duty; role; CL:項|项[xiàng],個|个[gè]	任务 rèn wu
to throw; to throw away	扔 rēng
still; yet	仍然 réng rán
diary; CL:則|则[zé],本[běn],篇[piān]	日记 rì jì
entrance	入口 rù kǒu
soft; flexible	软 ruǎn
to take a walk; to go for a walk	散步 sàn bù
forest; CL:片[piàn]	森林 sēn lín
sofa; CL:條|条[tiáo],張|张[zhāng]	沙发 shā fā
to consult; to talk over; to discuss	商量 shāng liang
to grieve; broken-hearted	伤心 shāng xīn
a little bit	稍微 shāo wēi
society; CL:個|个[gè]	社会 shè huì
close; deep; late; profound; dark (of color, water etc)	深 shēn
to apply for sth; application (form etc); CL:份[fèn]	申请 shēn qǐng
even; so much so that	甚至 shèn zhì
life; activity; to live; livelihood	生活 shēng huó
life; living; biological; CL:個|个[gè]	生命 shēng mìng
to save; to economize; to do without; to omit; to leave out; province; CL:個|个[gè]	省 shěng
to remain; to be left; to have as remainder	剩 shèng
to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[cì]	失败 shī bài
master; qualified worker; respectful form of address for older men; CL:個|个[gè],位[wèi],名[míng]	师傅 shī fu
moist	湿润 shī rùn
disappointed; to lose hope; to despair	失望 shī wàng
to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely	十分 shí fēn
actual; reality; practice	实际 shí jì
foodstuff; food; provisions; CL:種|种[zhǒng]	食品 shí pǐn
in reality; honestly; really; verily; concrete	实在 shí zài
to use; to employ; to apply; to make use of	使用 shǐ yòng
to test; to try; experiment; examination; test	试 shì
market place; market (also in abstract); abbr. for 超級市場|超级市场 supermarket; CL:個|个[gè]	市场 shì chǎng
to fit; to suit	适合 shì hé
century; CL:個|个[gè]	世纪 shì jì
to suit; to fit; to be suitable; to adapt; to get used to sth	适应 shì yìng
to receive; to accept; to collect; in care of (used on address line after name)	收 shōu
to take in; income; revenue; CL:筆|笔[bǐ],個|个[gè]	收入 shōu rù
to put in order; to tidy up; to pack; to repair; to punish (colloquial); to manage	收拾 shōu shi
capital (city); CL:個|个[gè]	首都 shǒu dū
first (of all); in the first place	首先 shǒu xiān
unbearable; unable to endure; can't stand	受不了 shòu bù liǎo
salesperson; CL:個|个[gè]	售货员 shòu huò yuán
to lose; to transport; to donate; to enter (a password)	输 shū
to be familiar with; to know well	熟悉 shú xī
amount; quantity; CL:個|个[gè]	数量 shù liàng
numeral; digit; number; figure; amount; digital (electronics etc); CL:個|个[gè]	数字 shù zì
handsome; graceful; smart; commander in chief	帅 shuài
conveniently; in passing; without much extra effort	顺便 shùn biàn
smoothly; without a hitch	顺利 shùn lì
sequence; order	顺序 shùn xù
to explain; to illustrate; explanation; directions; caption; CL:個|个[gè]	说明 shuō míng
master's degree; learned person	硕士 shuò shì
to die; impassable; uncrossable; inflexible; rigid; extremely	死 sǐ
speed; rate; velocity; CL:個|个[gè]	速度 sù dù
plastic bag	塑料袋 sù liào dài
sour; sore; ache; acid	酸 suān
regard as; to figure; to calculate; to compute	算 suàn
as one wishes; as one pleases; at random; negligent; casual; wanton	随便 suí biàn
along with; in the wake of; following	随着 suí zhe
all; to have; to possess; to own	所有 suǒ yǒu
desk; platform; stage; terrace; stand; support; desk; station; broadcasting station; classifier for vehicles or machines; Taiwan (abbr.)	台 tái
to lift; to raise; (of two or more persons) to carry	抬 tái
manner; bearing; attitude; approach; CL:個|个[gè]	态度 tài du
to talk	谈 tán
play the piano	弹钢琴 tán gāng qín
soup; broth; hot water	汤 tāng
to recline; to lie down	躺 tǎng
to discuss; to talk over; CL:個|个[gè]	讨论 tǎo lùn
disgusting; troublesome; nuisance; nasty; to hate doing sth	讨厌 tǎo yàn
characteristic (feature); trait; feature; CL:個|个[gè]	特点 tè diǎn
to offer; to supply; to provide; to furnish	提供 tí gōng
to shift to an earlier date; to bring forward; to advance	提前 tí qián
to remind; to call attention to; to warn of	提醒 tí xǐng
to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)	填空 tián kòng
condition; circumstances; term; factor; requirement; prerequisite; qualification; CL:個|个[gè]	条件 tiáo jiàn
to stop; to halt; to cease	停止 tíng zhǐ
to stick out; to (physically) straighten up; to endure or hold out; straight; stiff; outstanding; extraordinary; rather; quite; very; classifier for machine guns	挺 tǐng
by means of; through; via; to pass through; to get through; to adopt; to pass (a bill); to switch over	通过 tōng guò
to notify; to inform; notice; notification; CL:個|个[gè]	通知 tōng zhī
compassion; relent; sympathize; sympathy	同情 tóng qíng
to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect	推 tuī
to postpone; to put off; to defer	推迟 tuī chí
to shed; to take off; to escape; to get away from	脱 tuō
socks; stockings; CL:隻|只[zhī],對|对[duì],雙|双[shuāng]	袜子 wà zi
complete; whole; totally; entirely	完全 wán quán
to go (in a direction); to; towards; (of a train) bound for; past; previous	往 wǎng
tennis; CL:個|个[gè]	网球 wǎng qiú
often; frequently	往往 wǎng wǎng
website; network station; node	网站 wǎng zhàn
danger; dangerous	危险 wēi xiǎn
flavor; smell; hint of	味道 wèi dào
temperature; CL:個|个[gè]	温度 wēn dù
article; essay; literary works; writings; hidden meaning; CL:篇[piān],段[duàn],頁|页[yè]	文章 wén zhāng
to shake hands	握手 wò shǒu
pollution; contamination; CL:個|个[gè]	污染 wū rǎn
-less; not to have; no; none; not; to lack; un-	无 wú
nonsense; bored	无聊 wú liáo
no matter what or how; regardless of whether...	无论 wú lùn
to misunderstand; to mistake; misunderstanding; CL:個|个[gè]	误会 wù huì
tomato; CL:隻|只[zhī]	西红柿 xī hóng shì
to attract (interest, investment etc); CL:個|个[gè]	吸引 xī yǐn
washer; washing machine; CL:臺|台[tái]	洗衣机 xǐ yī jī
salty	咸 xián
modern times; modern age; modern era	现代 xiàn dài
envious; envy; to admire	羡慕 xiàn mù
to restrict; to limit; to confine; restriction; limit; CL:個|个[gè]	限制 xiàn zhì
fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gēn]	香 xiāng
opposite; contrary	相反 xiāng fǎn
detailed; in detail; minute	详细 xiáng xì
to make a sound; to sound; to ring; loud; classifier for noises	响 xiǎng
news; information; CL:條|条[tiáo]	消息 xiāo xi
novel; fiction; CL:本[běn],部[bù]	小说 xiǎo shuō
result; effect; quality; CL:個|个[gè]	效果 xiào guǒ
joke; jest; CL:個|个[gè]	笑话 xiào huà
hard; exhausting; with much toil; thanks for your trouble	辛苦 xīn kǔ
mood; frame of mind; CL:個|个[gè]	心情 xīn qíng
to trust; to have confidence in	信任 xìn rèn
confidence; faith (in sb or sth); CL:個|个[gè]	信心 xìn xīn
credit card	信用卡 xìn yòng kǎ
excited; excitement	兴奋 xīng fèn
to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do	行 xíng
to wake up; to awaken; to be awake	醒 xǐng
gender; sex; distinguishing between the sexes	性别 xìng bié
blessed; happiness; happy	幸福 xìng fú
nature; disposition; temperament; character; CL:個|个[gè]	性格 xìng gé
to mend; to repair; to build; to embellish; to study	修 xiū
many; a lot of; much	许多 xǔ duō
blood; informal colloquial and Taiwan pr. xiě; also pr. xuě; CL:滴[dī],片[piàn]	血 xuè
pressure	压力 yā lì
toothpaste; CL:管[guǎn]	牙膏 yá gāo
Asia; Asian	亚洲 Yà zhōu
(particle equivalent to 啊 after a vowel, expressing surprise or doubt)	呀 ya
salt; CL:粒[lì]	盐 yán
strict; stringent; tight; rigorous	严格 yán gé
graduate student; postgraduate student; research student	研究生 yán jiū shēng
grave; serious; severe; critical	严重 yán zhòng
to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:場|场[cháng],次[cì]	演出 yǎn chū
actor or actress; performer; CL:個|个[gè],位[wèi],名[míng]	演员 yǎn yuán
sunshine; CL:線|线[xiàn]	阳光 yáng guāng
to cultivate; to raise; to form (a habit); to acquire	养成 yǎng chéng
manner; air; looks; aspect	样子 yàng zi
to invite; invitation; CL:個|个[gè]	邀请 yāo qǐng
key; CL:把[bǎ]	钥匙 yào shi
perhaps; maybe	也许 yě xǔ
page; leaf	页 yè
foliage; leaf; CL:片[piàn]	叶子 yè zi
everything; every; all	一切 yī qiè
to use as; according to; because of	以 yǐ
a hundred million; calculate	亿 yì
idea; opinion; suggestion; objection; complaint; CL:點|点[diǎn],條|条[tiáo]	意见 yì jiàn
art; CL:種|种[zhǒng]	艺术 yì shù
thus; consequently; as a result	因此 yīn cǐ
drink; beverage	饮料 yǐn liào
to give rise to; to lead to; to cause; to arouse	引起 yǐn qǐ
impression; reflection; perception; CL:個|个[gè]	印象 yìn xiàng
to beat; to win; to profit	赢 yíng
hard; stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person)	硬 yìng
brave; courageous	勇敢 yǒng gǎn
forever; eternal	永远 yǒng yuǎn
merit; benefit; strong point; advantage; CL:個|个[gè]	优点 yōu diǎn
humor; humorous	幽默 yōu mò
outstanding; excellent	优秀 yōu xiù
to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)	由 yóu
especially; particularly	尤其 yóu qí
due to; as a result of; thanks to; owing to; since; because	由于 yóu yú
friendly; amicable	友好 yǒu hǎo
interesting; fascinating; amusing	有趣 yǒu qù
companionship; fellowship; friendship	友谊 yǒu yì
cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted	愉快 yú kuài
thereupon; as a result; consequently; thus; hence	于是 yú shì
grammar	语法 yǔ fǎ
shuttlecock; badminton; CL:個|个[gè]	羽毛球 yǔ máo qiú
language; CL:門|门[mén],種|种[zhǒng]	语言 yǔ yán
to prepare a lesson	预习 yù xí
first; primary; basic	元 yuán
original; former; originally; formerly; at first; so... actually	原来 yuán lái
to excuse; to forgive; to pardon	原谅 yuán liàng
cause; origin; root cause; reason; CL:個|个[gè]	原因 yuán yīn
appointment; engagement; date; CL:次[cì],個|个[gè]	约会 yuē huì
to read; reading	阅读 yuè dú
to permit; to allow	允许 yǔn xǔ
magazine; CL:本[běn],份[fèn],期[qī]	杂志 zá zhì
we or us (including both the speaker and the person(s) spoken to); I or me; you	咱们 zán men
temporary; provisional; for the time being	暂时 zàn shí
responsibility; blame; duty; CL:個|个[gè]	责任 zé rèn
to raise; to increase	增加 zēng jiā
to grow; to increase	增长 zēng zhǎng
narrow; narrow-minded; badly off	窄 zhǎi
recruitment; to invite applications for a job	招聘 zhāo pìn
genuine; real; true; genuinely	真正 zhēn zhèng
to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)	整理 zhěng lǐ
orderly; neat; even; tidy	整齐 zhěng qí
regular; normal; ordinary	正常 zhèng cháng
just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that	正好 zhèng hǎo
proof; certificate; identification; testimonial; CL:個|个[gè]; to prove; to testify; to confirm the truth of	证明 zhèng míng
correct; proper	正确 zhèng què
formal; official	正式 zhèng shì
(possessive particle, literary equivalent of 的); him; her; it	之 zhī
classifier for birds and certain animals, one of a pair, some utensils, vessels etc	只 zhī
to be in favor of; to support; to back; support; backing; to stand by; CL:個|个[gè]	支持 zhī chí
intellectual; knowledge-related; knowledge; CL:門|门[mén]	知识 zhī shi
to be worth; to deserve	值得 zhí de
direct; opposite: indirect 間接|间接; immediate; directly; straightforward	直接 zhí jiē
botanical; plant; vegetation; CL:種|种[zhǒng]	植物 zhí wù
occupation; profession; vocation; professional	职业 zhí yè
finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end	指 zhǐ
without any better option; to have to; to be forced to	只好 zhǐ hǎo
if only; so long as	只要 zhǐ yào
quality; mass (in physics); CL:個|个[gè]	质量 zhì liàng
at least; (to say the) least	至少 zhì shǎo
to manufacture; to make	制造 zhì zào
Chinese; Chinese written language; Chinese writing	中文 Zhōng wén
emphasis; focal point; priority; key; with the emphasis on; focusing on	重点 zhòng diǎn
to attach importance to sth; to value	重视 zhòng shì
surroundings; environment; to encompass	周围 zhōu wéi
hog; pig; swine; CL:口[kǒu],頭|头[tóu]	猪 zhū
gradually	逐渐 zhú jiàn
to take the initiative; to do sth of one's own accord; active; opposite: passive 被動|被动[bèi dòng]; drive (of gears and shafts etc)	主动 zhǔ dòng
plan; idea; decision; CL:個|个[gè]	主意 zhǔ yi
to congratulate; congratulations; CL:個|个[gè]	祝贺 zhù hè
famous; noted; well-known; celebrated	著名 zhù míng
specialist; specialized; customized	专门 zhuān mén
specialty; specialized field; main field of study (at university); major; CL:門|门[mén],個|个[gè]; professional	专业 zhuān yè
earn; make a profit	赚 zhuàn
to hit; to strike; to meet by accident; to run into; to bump against; to bump into	撞 zhuàng
accurate; exact; precise	准确 zhǔn què
on time; punctual; on schedule	准时 zhǔn shí
careful; attentive; cautious	仔细 zǐ xì
nature; natural; naturally	自然 zì rán
to sum up; to conclude; summary; resume; CL:個|个[gè]	总结 zǒng jié
to hire; to rent; to charter; to rent out; to lease out; rent; land tax	租 zū
component; part; element; constitute; make up	组成 zǔ chéng
to organize; organization; organized system; nerve; tissue; CL:個|个[gè]	组织 zǔ zhī
mouth; beak; spout (of teapot etc); CL:張|张[zhāng],個|个[gè]	嘴 zuǐ
best; (you) had better (do what we suggest)	最好 zuì hǎo
final; last; finally; ultimate	最后 zuì hòu
esteem; respect; to honor; to value sth	尊重 zūn zhòng
seat; base; stand; CL:個|个[gè]; classifier for buildings, mountains and similar immovable objects	座 zuò
to do business	做生意 zuò shēng yì
seat; CL:個|个[gè]	座位 zuò wèi
author; writer; CL:個|个[gè]	作者 zuò zhě
interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh	唉 āi
to cherish; to treasure; to take care of; to love and protect	爱护 ài hù
to cherish; to treasure; to use sparingly	爱惜 ài xī
compassion; CL:片[piàn]	爱心 ài xīn
to comfort; to console; CL:個|个[gè]	安慰 ān wèi
install; erect; fix; mount; installation	安装 ān zhuāng
bank; shore; beach; coast; CL:個|个[gè]	岸 àn
to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)	把握 bǎ wò
to arrange; to exhibit; to move to and fro; a pendulum	摆 bǎi
a teacher in charge of a class	班主任 bān zhǔ rèn
to handle; to transact; to conduct	办理 bàn lǐ
a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race	棒 bàng
in the evening; when night falls; towards evening; at night fall; at dusk	傍晚 bàng wǎn
wrap up; bind up; bundle; parcel; package; CL:個|个[gè]	包裹 bāo guǒ
to contain; to embody; to include	包含 bāo hán
steamed stuffed bun; CL:個|个[gè]	包子 bāo zi
thin; cold in manner; indifferent; weak; light; infertile	薄 báo
treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character	宝贝 bǎo bèi
to keep; to maintain; to hold; to preserve	保持 bǎo chí
to conserve; to preserve; to keep; to save (a file etc) (computing)	保存 bǎo cún
valuable; precious; value; treasure; set store by	宝贵 bǎo guì
to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance)	保留 bǎo liú
insurance; to insure; safe; secure; be sure; be bound to; CL:份[fèn]	保险 bǎo xiǎn
to inform; report; make known; speech; talk; lecture; CL:篇[piān],份[fèn],個|个[gè],通[tòng]	报告 bào gào
pessimistic	悲观 bēi guān
(two, three etc) -fold; times (multiplier); double; to increase or multiply	倍 bèi
background; backdrop; context; CL:種|种[zhǒng]	背景 bèi jǐng
quilt; CL:床[chuáng]	被子 bèi zi
undergraduate course; undergraduate (adjective)	本科 běn kē
skill; ability; capability; CL:項|项[xiàng],個|个[gè]	本领 běn lǐng
essence; nature; innate character; intrinsic quality	本质 běn zhì
each other; one another	彼此 bǐ cǐ
proportion; scale	比例 bǐ lì
for example; for instance; such as	比如 bǐ rú
after all; all in all; when all is said and done; in the final analysis	毕竟 bì jìng
to avert; to prevent; to avoid; to refrain from	避免 bì miǎn
inevitable; certain; necessity	必然 bì rán
to need; to require; essential; indispensable	必需 bì xū
necessary; essential; indispensable; required	必要 bì yào
to edit; to compile; editor; compiler	编辑 biān jí
firecrackers; a string of small firecrackers; CL:枚[méi]	鞭炮 biān pào
ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards	便 biàn
debate; argument; to argue over; CL:場|场[chǎng],次[cì]	辩论 biàn lùn
punctuation; a punctuation mark; to punctuate; CL:個|个[gè]	标点 biāo diǎn
sign; mark; symbol; symbolize; to indicate; to mark	标志 biāo zhì
surface; face; outside; appearance	表面 biǎo miàn
to make clear; to make known; to state clearly; to indicate; known	表明 biǎo míng
(facial) expression; to express one's feelings; expression	表情 biǎo qíng
to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc)	表现 biǎo xiàn
