description	term
to draw; picture; painting; CL:幅[fú],張|张[zhāng]	画 huà
bad; spoiled; broken; to break down	坏 huài
environment; circumstances; surroundings; CL:個|个[gè]; ambient	环境 huán jìng
change; exchange	换 huàn
yellow; pornographic; to fall through	黄 huáng
meeting; conference; CL:場|场[chǎng],屆|届[jiè]	会议 huì yì
or; possibly; maybe; perhaps	或者 huò zhě
almost; nearly; practically	几乎 jī hū
opportunity; chance; occasion; CL:個|个[gè]	机会 jī huì
extremely; pole (geography, physics); utmost; top	极 jí
how much; how many; several; a few	几 jǐ
to remember	记得 jì de
time; season; period; CL:個|个[gè]	季节 jì jié
inspection; to examine; to inspect; CL:次[cì]	检查 jiǎn chá
simple; not complicated	简单 jiǎn dān
health; healthy	健康 jiàn kāng
to meet; to see sb; CL:次[cì]	见面 jiàn miàn
to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture	讲 jiǎng
to teach	教 jiāo
foot; leg; base; kick; CL:雙|双[shuāng],隻|只[zhī]	脚 jiǎo
angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[gè]	角 jiǎo
to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb	接 jiē
street; CL:條|条[tiáo]	街道 jiē dào
to marry; to get married; CL:次[cì]	结婚 jié hūn
program; item (on a program); CL:臺|台[tái],個|个[gè],套[tào]	节目 jié mù
holiday; festival; CL:個|个[gè]	节日 jié rì
termination; to finish; to end; to conclude; to close	结束 jié shù
to settle (a dispute); to resolve; to solve	解决 jiě jué
to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity)	借 jiè
near; close to; approximately	近 jìn
day to day; everyday; daily; frequently; constantly; regularly; often	经常 jīng cháng
to pass; to go through; process; course; CL:個|个[gè]	经过 jīng guò
manager; director; CL:個|个[gè],位[wèi],名[míng]	经理 jīng lǐ
(long) time; (long) duration of time	久 jiǔ
old; opposite: new 新; former; worn (with age)	旧 jiù
to hold (a meeting, ceremony etc)	举行 jǔ xíng
sentence; CL:個|个[gè]	句子 jù zi
to decide (to do something); to resolve; decision; CL:個|个[gè],項|项[xiàng]; certainly	决定 jué dìng
to see; to look at; to read; to watch; to consider; to regard as; to view as; to treat as; to judge; (after repeated verb) to give it a try; depending on (how you're judging); to visit; to call on; to treat (an illness); to look after; Watch out! (for a danger)	看 kàn
thirsty	渴 kě
amiable; cute; lovely	可爱 kě ài
quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals	刻 kè
visitor; guest; customer; client; CL:位[wèi]	客人 kè rén
air conditioning	空调 kōng tiáo
mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)	口 kǒu
to cry; to weep	哭 kū
trousers; pants; CL:條|条[tiáo]	裤子 kù zi
chopsticks; CL:對|对[duì],根[gēn],把[bǎ],雙|双[shuāng]	筷子 kuài zi
blue; indigo plant	蓝 lán
prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough	老 lǎo
to depart; to leave	离开 lí kāi
gift; present; CL:件[jiàn],個|个[gè],份[fèn]	礼物 lǐ wù
history; CL:門|门[mén],段[duàn]	历史 lì shǐ
face; CL:張|张[zhāng],個|个[gè]	脸 liǎn
exercise; drill; practice; CL:個|个[gè]	练习 liàn xí
classifier for vehicles	辆 liàng
to understand; to realize; to find out	了解 liǎo jiě
neighbor; next door; CL:個|个[gè]	邻居 lín jū
house with more than 1 story; storied building; floor; CL:層|层[céng],座[zuò],棟|栋[dòng]	楼 lóu
green	绿 lǜ
horse; abbr. for Malaysia 馬來西亞|马来西亚	马 mǎ
satisfied; pleased; to one's satisfaction	满意 mǎn yì
hat; cap; CL:頂|顶[dǐng]	帽子 mào zi
rice; CL:粒[lì]; meter (classifier)	米 mǐ
