nôm	vn	th	Meaning-vn	meaning-th	etymology	viet-only	main-chunom
𥪝	trong	ตรง	in	in / at	From Middle Vietnamese tlao᷄, from Proto-Vietic *k-lɔːŋ (“clear; limpid”).	TRUE	TRUE
臆	ức	อก	chest	chest	Sino-Vietnamese word from 臆 (“chest”). Compare Proto-Tai *ʔɤkᴰ (“chest”), whence Thai อก (òk).	TRUE	TRUE
𦡟	lưng	หลัง	back	back	From Proto-Vietic *k-ləŋ (“back”). Compare Proto-Tai *ʰlaŋᴬ (“back”), whence Thai หลัง (lǎng).	TRUE	TRUE
蓬	phông	พอง	puffy	swollen / puffy	From Proto-Tai *boːŋᴬ. Cognate with Lao ພອງ (phǭng) or ໂພງ (phōng), Shan ပွင်း (póang). Possibly related to โปง (bpoong), โป่ง (bpòong), โพรง (proong).	TRUE	TRUE
賴	trái	ซ้าย	left	left	From Proto-Vietic *k-laːjʔ, from Proto-Mon-Khmer *klaj(ʔ) ~ *klaaj(ʔ) (“to change”), cognate with Muong tlải, Khmer ក្លាយ (klaay, “to change”), Mon ကၠဲာ (klai , “to translate”). Compare also Thai กลาย (glaai), Lao ກາຍ (kāi). From Old Chinese 左 (OC *ʔsaːlʔ, *ʔsaːls). Cognate with Lao ຊ້າຍ (sāi), Shan သၢႆႉ (sâ̰ay), Ahom 𑜏𑜩 (say), Bouyei soix, Zhuang swix.	TRUE	TRUE
	trái	กลาย	to become / change	to become / change		TRUE	TRUE
𧋟	mối	มด	ant	ant	From Proto-Vietic *k-moːlʔ ~ *k-muːrʔ ~ *k-moːrʔ. Cognate with Proto-Katuic *kmuar (whence Pacoh camoar (“termite”)), Semai kemur (“caterpillar, maggot”), Khmer ខ្មើរ (khmaə, “flying ant”), ខ្មុល (khmol, “mole cricket”).	TRUE	TRUE
沚	sạch	สะอาด	clean	clean	Cognate with Tho [Cuối Chăm] pʰrɛːk⁸.  Pacoh prec is likely a Vietic loan, due to the lack of cognates in other Katuic languages.	TRUE	TRUE
撼	cắn	กัด	bite	bite	From Proto-Vietic *kaɲʔ.	TRUE	TRUE
戈	qua	กว่า	to pass / exceed	to pass / exceed	Sino-Vietnamese word from 過 (“pass”). Doublet of quá.	FALSE	TRUE
𤝞	chuột	ชวด	mouse	mouse	From Middle Vietnamese 𤝞 (chuọt, “mouse”), from Proto-Vietic *k-ɟɔːt (“ squirrel”). Compare Chinese 鼠 and Japanese 鼠 (nezumi), both of which also refer to generic mouse or rat-like animals. Also compare Latin mūsculus (“ muscle”, literally “little mouse”) and Ancient Greek μῦς (mûs, “mouse; muscle”) .	TRUE	TRUE
𧘇	ấy	เอ้ย	vocative particle / that	vocative particle	1. (chiefly Northern Vietnam) sentence-ending intensifying particle          Synonym: đó	TRUE	TRUE
在	tại	ที่	at / on / in	at / on / in	From Sinitic 在 From Proto-Tai *diːᴮ. Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii1), Shan တီႈ (tīi), Ahom 𑜄𑜣 (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Chinese 地 (MC diɪH), Malay di.	FALSE	TRUE
於	ở	อยู่	at / on  	at / stay 	From Proto-Vietic *ʔəh (“to stay”); cognate with Muong ớ.  Most prepositions in Vietnamese were originally verbs: cho (“to give; for”), đến (“to come; to”), tới (“to arrive; to”), lên (“to go up; onto”), vào (“to enter; in, into”), theo (“to follow; according to”), về (“to return; about”).  Similarity to Chinese 於 is coincidental, as semantically the Vietnamese word is a grammaticalized verbal and phonetically there is a tonal mismatch. From Proto-Tai *ˀjuːᴮ (“to be (in a place)”). Cognate with Northern Thai ᩀᩪ᩵, Lao ຢູ່ (yū), Lü ᦊᦴᧈ (ẏuu1), Tai Dam ꪤꪴ꪿, Shan ယူႇ (yùu), Ahom 𑜊𑜥 (jʸū), Bouyei qyus, Zhuang youq.	FALSE	TRUE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
						FALSE	FALSE
