english	zhuang-yongning	thai	thai-translit
duck	pet 55		
male	phu 21		
fly	bin 53		
hand	mɔ:i 33		
arrive at	ta:u 213		
flag	duŋ 45		
skin	naŋ 53		
many	la:i 53		
face	na 55		
