Language,ISO,Source_ID,Source_page,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,DL1.phon,DL2.phon,DL3.phon,DL4.phon
TaiSurat_sou,sou,hudak1997_2,15-18,454,343,343,121,454,343,343,24,33,33,33,11,454,24,24,11,454,24,24,24
TaiKoSamui_sou,sou,hudak1997_3,147-149,55,44,44,121,55,44,44,24,33,24,24,11,55,33,33,11,33,24,24,24
PhithenThai_sou,sou,junlawan2011,"57, 76-106",24,34,34,44,34,34,34,43,332,332,332,545,32,32,32,43,44,44,44,43
TakBai1_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,21,332,332,332,53,43,43,43,32,45,45,45,53
TakBai2_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,21,332,332,332,553,32,32,32,43,44,44,44,53
TakBai3_sou,sou,junlawan2011,76-106,24,24,24,33,445,445,445,22,332,332,332,53,45,45,45,21,445,445,445,22
TakBai4_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,22,332,332,332,53,33,33,33,43,44,44,44,22
TakBai5_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,322,332,332,332,453,33,33,33,43,44,44,44,3322
TakBai6_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,322,332,332,332,331,31,31,31,33,44,44,44,3322
TakBai7_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,332,5533,5533,5533,553,31,31,31,44,44,44,44,332
TakBai8_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,32,5533,5533,5533,553,31,31,31,44,44,44,44,31
TakBai9_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,322,3322,3322,3322,331,31,31,31,33,44,44,44,3322
TakBai10_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,332,33,33,33,553,31,31,31,43,44,44,44,332
TakBai11_sou,sou,junlawan2011,76-106,24,24,24,33,445,445,445,221,332,332,332,331,21,21,21,31,44,44,44,221
TakBai12_sou,sou,junlawan2011,76-106,24,24,24,33,445,445,445,221,332,332,332,553,31,31,31,43,44,44,44,221
TakBai13_sou,sou,junlawan2011,76-106,24,24,24,33,44,44,44,22,332,332,332,42,31,31,31,45,44,44,44,22
Sakom_sou,sou,junlawan2011,76-106,354,354,354,43,211,211,211,44,44,44,44,553,33,33,33,443,44,44,44,322
SouthernThaiPattani_sou,sou,junlawan2011,76-106,45,43,43,34,45,43,43,33,35,33,33,21,334,343,343,331,35,33,33,22
KelantanSouthernThai_sou,sou,thongchuay1983current,479,24,34,34,22,44,44,44,21,33,33,33,32,21,21,21,21,44,44,44,21
KedahSouthernThai_sou,sou,thongchuay1983current,479,453,343,343,32,453,343,343,32,43,22,22,21,45,34,34,21,43,22,22,22
PerlisSouthernThai_sou,sou,thongchuay1983current,479,44,343,343,32,44,343,343,22,43,33,33,21,44,34,34,21,43,33,33,22
TaiNua1_tdd,tdd,zhou2001_1,,,,,,,,,,,,,,,,,,,,,
TaiNua2_tdd,tdd,zhou2001_2,,,,,,,,,,,,,,,,,,,,,
TaiNua_tdd,tdd,yu1980,,,,,,,,,,,,,,,,,,,,,
TaiNueaJonsson_tdd,tdd,jonsson1991,,,,,,,,,,,,,,,,,,,,,
TaiNueaPintasaard_tdd,tdd,pintasaard2004development,66-67,24,33,33,453,22,22,22,33,31,31,31,43,22,22,22,43,24,24,24,43
TaiNueaHudak_tdd,tdd,hudak1994_6,531-533,35,32,32,43,11,11,11,32,33?,33?,33?,21?,32,32,32,43,11,11,11,32
TaiMaawShan_shn,shn,hudak1994_8,759-761,24,24,24,44,21?,21?,21?,22,43?,43?,43?,41?,24,24,24,43?,21?,21?,21?,22
TaiNuea1TL_tdd,tdd,harris1975comparative,202-204,35,33,33,55,11,11,11,33,53?,53?,53?,53?,35,33,35,53?,11,11,11,"53?,33"
TaiNuea2TM_tdd,tdd,harris1975comparative,202-204,35,33,33,55,11?,11?,11?,33,53?,53?,53?,53?,35,35,35,53?,11?,11?,11?,"53?,33"
TaiNuea3TN_tdd,tdd,harris1975comparative,202-204,325,31,31,51,11,11,11,31,31?,31?,31?,31?,325,325,325,31?,11,11,11,"31?,31"
TaiKhorat_tha,tha,khotchanthuek2002,38-43,15,21,21,21,22,22,22,41,41,41,41,41,25,25,25,25,22,22,22,41
TaiPrachuap1_tha,tha,debavalya1983,91-92,424,34,34,34,22,22,22,441?,441?,441?,441?,35?,22,22,22,55,22,22,22,441
TaiPrachuap2_tha,tha,debavalya1983,91-92,424,24,24,24,11,11,11,441?,441?,441?,441?,35?,11,11,11,55,11,11,11,441
TaiPrachuap3_tha,tha,debavalya1983,91-92,424,334,334,334,21,21,21,451?,451?,451?,451?,35?,11,11,11,55,21,21,21,451
TaiPrachuap4_tha,tha,debavalya1983,91-92,214,34,34,34,11,11,11,451,451,451,451,35,11,11,11,55,11,11,11,451
TaiPrachuap5_tha,tha,debavalya1983,93,214,"33,34","33,34","33,34",11,11,11,452,452,452,452,35,11,11,11,"42,55",11,11,11,452
TaiPrachuap6_tha,tha,debavalya1983,94,424,343,343,114,"22,21","22,21","22,21",451?,451?,451?,451?,35?,22,22,22,45,12,12,12,451
TaiPrachuap7_tha,tha,debavalya1983,94,424,343,343,113,33,33,33,451?,451?,451?,451?,35?,33,33,33,"55,11",33,33,33,451
TaiPrachuap8_tha,tha,debavalya1983,95,424,343,343,115,"22,21","22,21","22,21",451?,451?,451?,451?,35?,22,22,22,42,22,22,22,451
TaiPrachuap9_tha,tha,debavalya1983,96,454,33343,33343,33343,454,454,454,11,11,11,11,11,45,45,45,11,45,45,45,11
TaiPrachuap10_tha,tha,debavalya1983,97,455,332,332,332,455,455,455,11,44,44,44,11,"55,45",33,33,11,45,33,33,11
TaiPrachuap11_tha,tha,debavalya1983,98,454,343,343,343,454,454,454,11,44,44,44,11,45,45,45,11,45,45,45,11
TaiPrachuap12_tha,tha,debavalya1983,98,455,33,33,33,455,455,455,11,44,44,44,11,45,45,45,11,45,45,45,11
TaiPrachuap13_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,12,44,44,44,11,45,45,45,11,45,45,45,12
TaiPrachuap14_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,"223,22",445,445,445,11,45,45,45,11,45,45,45,"22,23"
TaiPrachuap15_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap16_tha,tha,debavalya1983,99-102,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,11,45,45,45,22
TaiPrachuap17_tha,tha,debavalya1983,99-102,455,33,33,33,455,455,455,13,445,445,445,11112,45,45,45,11,45,45,45,13
TaiPrachuap18_tha,tha,debavalya1983,99-102,455,332,332,332,455,455,455,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap19_tha,tha,debavalya1983,99-102,4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,"11,55",45,45,45,13
TaiPrachuap20_tha,tha,debavalya1983,99-102,4554,343,343,343,4554,4554,4554,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap21_tha,tha,debavalya1983,99-102,4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,11,45,45,45,113
TaiPrachuap22_tha,tha,debavalya1983,99-102,4554,33,33,33,4554,4554,4554,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap23_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap24_tha,tha,debavalya1983,99-102,454,343,343,343,454,454,454,22223,44,44,44,11,55,55,55,11,45,45,45,22
TaiPrachuap25_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,13,44,44,44,11,45,45,45,11,45,45,45,13
TaiPrachuap26_tha,tha,debavalya1983,99-102,454,332,332,332,454,454,454,22,44,44,44,11,55,55,55,11,45,45,45,22
TaiChumphon1_tha,tha,debavalya1983,99-102,454,332,332,332,454,454,454,22,44,44,44,11,45,45,45,11,45,45,45,22
TaiChumphon2_tha,tha,debavalya1983,99-102,454,33,33,33,454,454,454,12,445,445,445,11,45,45,45,11,45,45,45,12
TaiPrachuap27_tha,tha,debavalya1983,103,454,332,332,332,454,454,454,23,334,334,334,11,45,45,45,11,45,45,45,11
TaiPrachuap28_tha,tha,debavalya1983,103,454,332,332,332,454,454,454,12,44,44,44,11,45,45,45,11,45,45,45,11
TaiPrachuap29_tha,tha,debavalya1983,104-105,454,343,343,343,454,454,454,442,334,334,334,11,45,45,45,31,45,45,45,441
TaiPrachuap30_tha,tha,debavalya1983,104-105,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,22,45,45,45,22
TaiPrachuap31_tha,tha,debavalya1983,104-105,454,343,343,343,454,454,454,22,44,44,44,11,45,45,45,22,45,45,45,22
TaiChumphon3_tha,tha,debavalya1983,104-105,454,343,343,343,454,454,454,"22,23",44,44,44,"11,32",45,45,45,22,45,45,45,22
TaiPrachuap32_tha,tha,debavalya1983,106-107,4554,343,343,343,4554,4554,4554,13,44,44,44,11,45,"22,23","22,23","11,44",45,13,13,13
TaiPrachuap33_tha,tha,debavalya1983,106-107,454,343,343,343,454,454,454,13,44,44,44,11,45,13,13,11,45,13,13,13
TaiPrachuap34_tha,tha,debavalya1983,106-107,454,33,33,33,454,454,454,13,44,44,44,11,45,13,13,11,45,113,113,113
TaiChumphon4_tha,tha,debavalya1983,106-107,454,343,343,343,454,454,454,13,44,44,44,22,45,13,13,11,45,13,13,13
TaiPrachuap36_tha,tha,debavalya1983,108,454,33,33,33,454,454,454,13,44,44,44,11,45,33,33,11,45,13,13,13
LomSak_tha,tha,sungkep1983,"56, 62-73",13,11,11,11,33,33,33,33,43,55,55,55,22,22,22,55,553,553,553,55
PhetchaburiThai-ThaYang_tha,tha,pornsib1994,66,424,332,332,433,42,42,42,551,551,551,551,343,43,43,43,45,32,32,32,551
PhetchaburiThai-BanLat_tha,tha,pornsib1994,66,35,122,122,214,33,33,33,223,223,223,223,221,33,33,33,221,233,233,233,22
PhetchaburiThai-Cha-Am_tha,tha,pornsib1994,66,313,221,221,325,324,324,324,311,311,311,311,22,23,23,23,31,23,23,23,331
PhetchaburiThai-Mueang_tha,tha,pornsib1994,66,435,23,23,323,322,322,322,331,331,331,331,33,32,32,32,53,32,32,32,441
PhetchaburiThai-KhaoYoi_tha,tha,pornsib1994,66,552,223,223,442,42,42,42,453,453,453,453,324,443,443,443,335,31,31,31,454
PhetchaburiThai-BanLaem_tha,tha,pornsib1994,66,322,232,232,425,414,414,414,451,451,451,451,434,21,21,21,554,32,32,32,552
WrittenSiamese_tha,tha,jonsson1991,,,,,,,,,,,,,,,,,,,,,
BangkokThai_tha,tha,pintasaard2004development,67-68,24,33,33,33,21,21,21,41,41,41,41,35,21,21,21,35,21,21,21,41
Siamese_tha,tha,hudak2008comparative_1,,24?,33,33,33,22,22,22,41,41,41,41,55?,22,22,22,55?,22,22,22,41
ThaiChonburiA_tha,tha,sumransook1995study,47-71,24,33,33,33,22,22,22,41,41,41,41,44,22,22,22,44,22,22,22,41
ThaiChonburiB_tha,tha,sumransook1995study,47-71,24,33,33,23,44,44,44,21,21,21,21,454,44,44,44,21,44,44,44,21
ThaiChonburiC_tha,tha,sumransook1995study,47-71,24,33,33,33,44,44,44,31,31,31,31,452,44,44,44,43,44,44,44,31
ThaiChonburiD_tha,tha,sumransook1995study,47-71,24,33,33,33,22,22,22,21,21,21,21,44,44,44,44,44,22,22,22,21
ThaiChonburiE_tha,tha,sumransook1995study,47-71,24,33,33,33,22,22,22,21,21,21,21,452,44,44,44,44,22,22,22,21
ThaiKanchanaburi1_tha,tha,worawong2000tone,"185, 289",312,222,222,31,31,31,31,453,453,453,453,13,31,31,31,13,31,31,31,453
ThaiKanchanaburi2_tha,tha,worawong2000tone,"185, 289",313,231,231,32,32,32,32,452,452,452,452,254,32,32,32,254,32,32,32,452
ThaiKanchanaburi3_tha,tha,worawong2000tone,"185, 289",412,242,242,332,332,332,332,351,351,351,351,252,332,332,332,252,332,332,332,351
ThaiKanchanaburi4_tha,tha,worawong2000tone,"185, 289",325,322,322,41,41,41,41,342,342,342,342,323,41,41,41,323,41,41,41,342
NakhonPathomThai1_tha,tha,nualjansaeng1992tones,48-53,15,33,33,33,42,42,42,443,443,443,443,35,42,42,42,45,42,42,42,442
NakhonPathomThai2_tha,tha,nualjansaeng1992tones,48-53,15,33,33,33,42,42,42,441,441,441,441,35,32,32,32,45,42,42,42,441
NakhonPathomThai3_tha,tha,nualjansaeng1992tones,48-53,423,33,33,33,42,42,42,441?,441?,441?,441?,35,42,42,42,45,42,42,42,441
NakhonPathomThai4_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai5_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,334?,43,43,43,45,42,42,42,441
NakhonPathomThai6_tha,tha,nualjansaeng1992tones,48-53,325,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai7_tha,tha,nualjansaeng1992tones,48-53,215,33,33,33,42,42,42,441?,441?,441?,441?,35,42,42,42,45,42,42,42,441
NakhonPathomThai8_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,32,32,32,441,441,441,441,35,43,43,43,45,32,32,32,443
NakhonPathomThai9_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,32,32,32,441?,441?,441?,441?,35,43,43,43,45,32,32,32,441
NakhonPathomThai10_tha,tha,nualjansaeng1992tones,48-53,51,33,33,33,43,43,43,455?,455?,455?,455?,35?,43,43,43,45,43,43,43,455
NakhonPathomThai11_tha,tha,nualjansaeng1992tones,48-53,51,32,32,32,42,42,42,455?,455?,455?,455?,35,42,42,42,45,42,42,42,455
NakhonPathomThai12_tha,tha,nualjansaeng1992tones,48-53,325,33,33,33,43,43,43,455,455,455,455,35?,43,43,43,45,43,43,43,441
NakhonPathomThai13_tha,tha,nualjansaeng1992tones,48-53,325,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai14_tha,tha,nualjansaeng1992tones,48-53,215,33,33,33,42,42,42,455,455,455,455,35,43,43,43,45,43,43,43,455
NakhonPathomThai15_tha,tha,nualjansaeng1992tones,48-53,325,33,33,32,42,42,42,455?,455?,455?,455?,35,43,43,43,45,42,42,42,455
NakhonPathomThai16_tha,tha,nualjansaeng1992tones,48-53,51,33,33,33,42,42,42,455?,455?,455?,455?,35,43,43,43,45,42,42,42,455
NakhonPathomThai17_tha,tha,nualjansaeng1992tones,48-53,215,33,33,33,42,42,42,455,455,455,455,35,43,43,43,45,42,42,42,455
NakhonPathomThai18_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,32,32,32,45,32,32,32,441
NakhonPathomThai19_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai20_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai21_tha,tha,nualjansaeng1992tones,48-53,325,33,33,33,42,42,42,441?,441?,441?,441?,35,43,43,43,45,32,32,32,441
NakhonPathomThai22_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,43,43,43,45,42,42,42,441
NakhonPathomThai23_tha,tha,nualjansaeng1992tones,48-53,115,33,33,33,42,42,42,441,441,441,441,35,42,42,42,45,42,42,42,441
AngThongThai_tha,tha,malaichalern1988tones,162-166 etc,423,33,33,33,43,43,43,44,44,44,44,45?,,,,,,,,
WestAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,,,,,,,,,,,,,,,,,,,,
CentralAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,,,,,,,,,,,,,,,,,,,,
EastAyuthayaThai_tha,tha,malaichalern1988tones,162-166 etc,,,,,,,,,,,,,,,,,,,,
TaiHongjin2_tiz,tiz,zhou2001_6,,,,,,,,,,,,,,,,,,,,,
TaiHongjin3_tiz,tiz,zhou2001_9,,,,,,,,,,,,,,,,,,,,,
Mene_tmp,tmp,chamberlain1999mene,108,213,55,55,55,221,221,221,221,443,443,443,552,35,35,35,32,221,221,221,221
TaiIsaan_tts,tts,khotchanthuek2002,33-38,24,231,231,231,33,33,33,33,33,33,33,41,"24,34","24,34","24,34",45,33,33,33,41
NakhonPhanomTai_tts,tts,koowatthanasiri1981,260-261,,,,,,,,,,,,,,,,,,,,
NongKhaiThai_tts,tts,hudak2008comparative_5,17-19,24,11,11,55,44,44,44,44,22?,42?,42?,42?,24,24,24,44,11,11,11,42?
TaiUbon_tts,tts,hudak1997_4,203-205,15,121,121,454,33,33,33,33,22?,41?,41?,41?,15,15,15,33,22?,22?,22?,41?
TaiRoiEt_tts,tts,hudak1997_5,253-255,14,22,22,55,44,44,44,33?,11?,41?,41?,41?,14,14,14,33?,11?,11?,11?,41?
TaiNakhonPhanom_tts,tts,hudak1997_6,275-277,24,24,24,44,32,32,32,32,21?,54?,54?,54?,24,24,24,32,21?,21?,21?,54?
TaiNongKhai_tts,tts,hudak1997_12,451-454,24,11,11,55,44,44,44,44,22?,42?,42?,42?,24,24,24,44,11,11,11,42?
TaiLoei_tts,tts,hudak1997_13,705-707,323,34,34,34,33,33,33,33,55?,45?,45?,45?,"323,34","323,34","323,34",33,55?,55?,55?,"323,34"
WhiteTaiJonsson_twh,twh,jonsson1991,,,,,,,,,,,,,,,,,,,,,
WhiteTaiPintasaard_twh,twh,pintasaard2004development,57-58,22,22,22,44,45,45,45,454,24,24,24,31,45,45,45,44,45,45,45,44
WhiteTaiHudak_twh,twh,hudak2008comparative_2,,22,22,22,44,45,45,45,454,24?,24?,24?,31?,45,45,45,44,45,45,45,44
RedTaiJonsson_tyr,tyr,jonsson1991,,,,,,,,,,,,,,,,,,,,,
RedTaiPintasaard_tyr,tyr,pintasaard2004development,60-61,35,35,35,32,44,44,44,14,14,14,14,51,44,44,44,44,44,44,44,14
RedTai1_tyr,tyr,hudak1994_3,323-326,355,355,355,32,44,44,44,14?,14?,14?,14?,51?,44,44,44,44,44,44,44,14?
RedTai2_tyr,tyr,hudak1994_4,437-440,44?,43,43,43,55,55,55,45?,45?,45?,45?,21?,21?,21?,21?,43,55,55,55,45?
RedTai3_tyr,tyr,hudak1994_5,509-511,14,14,14,343,33,33,33,34?,34?,34?,34?,55?,33,33,33,33,33,33,33,14
TayTac_tyt,tyt,pintasaard2004development,58-60,24,24,24,34,22,22,22,33,41,41,41,453,453,453,453,33,22,22,22,33
Yong_yno,yno,hudak1994_14,1057-1059,24,24,44,44,11,11,11,22,21,21,21,51?,24,24,24,22,11,11,11,22
YongLamphun_yno,yno,soiyana2009acoustic,49-67,35,35,33,33,11,11,11,22,31,31,31,53,35,35,35,22,11,11,11,22
YongMongYawng_yno,yno,soiyana2009acoustic,49-67,35,35,331,331,13,13,13,22,31,31,31,53,35,35,35,22,13,13,13,22
YooyBoonsner_yoy,yoy,boonsner1984phonological,"45,66,??",23,23,23,45,12?,12?,12?,32,12?,12?,32,32,34,34,34,21,21,21,21,34
YooyLaksanawong_yoy,yoy,laksanawong2008comparative,54-57,24,24,24,35,21,21,21,452,353,353,353,31,353,353,353,21,35,35,35,452
ZhuangPoAi_zgn,zgn,hudak2008comparative_19,61-64,24,24,31,55,22,22,22,31,44,44,44,33,55,55,44,44,22,22,22,31
DaiZhuang_zhd,zhd,zhou2001_8,,,,,,,,,,,,,,,,,,,,,
ZhuangWuming_zyb,zyb,hudak2008comparative_18,58-61,33,33,33,31,24,24,24,13,55,55,55,51,24,24,24,13,24,24,24,13
TaiHaGiang_zyg,zyg,hudak1997_21,987-990,33,33,33,55?,45,45,45,44,13,13,13,41?,45,45,45,44,45,45,45,44
TaiCaoBang_zyg,zyg,hudak1997_22,1037-1039,54,54,54,32,45,45,45,45,14?,14?,14?,31?,45,45,45,32,45,45,45,45
TaiPakSak_zyj,zyj,hudak1997_29,1239-1241,14,14,14,31,45,45,45,33,55?,55?,43?,43?,55?,55?,55?,33,43?,45,45,33
TaiLeiPing_zzj,zzj,hudak2008comparative_9,27-30,454,44,44,21,44,11,11,11,13?,13?,13?,13?,44,44,44,"21,11",44,11,11,11
TaiLungming_zzj,zzj,hudak2008comparative_10,30-34,55,55,21,21,45,45,45,11,33?,33?,33?,212?,33?,33?,33?,21,45,45,45,11
TaiLungchow_zzj,zzj,hudak2008comparative_13,39-42,33,33,33,31,55,55,55,11,24,24,24,21?,55,55,55,31,55,55,55,31
TaiPingSiang_zzj,zzj,hudak2008comparative_14,42-45,33,33,33,21,55,55,55,11,24,24,24,31?,55,55,55,"21,11",55,55,55,11
TaiNingMing_zzj,zzj,hudak2008comparative_15,45-48,33,33,33,21,55,55,55,11,25?,25?,25?,21?,21,21,21,21,55,55,55,11
LungChowTai_zzj,zzj,massupong1982,244-291 (lexicon),33,33,33,31,55,55,55,11,24,24,24,31,55,55,55,21,55,55,55,21
TaiThatKhe_zzj,zzj,hudak1997_23,1047-1049,33,33,33,53?,33,33,33,11,14?,14?,14?,55?,33,33,33,53?,33,33,33,53?
TaiLangSoen_zzj,zzj,hudak1997_24,1097-1099,54,33,33,31?,45,45,45,12?,11,11,11,12?,45,45,45,33,45,45,45,31?
TaiPoMuc_zzj,zzj,hudak1997_25,1117-1119,33,33,33,32,45?,45?,45?,21,13?,13?,13?,32?,45?,45?,45?,32,45?,45?,45?,32
TaiLongKhwang_zzj,zzj,hudak1997_27,1187-1189,33,33,33,34,44,44,44,21?,14,14,14,51?,44,44,44,21?,44,44,44,51?
TaiLongCuu_zzj,zzj,hudak1997_28,1205-1207,545?,32?,32?,21?,55,55,55,11,14,14,14,14,55,55,55,21?,11,11,11,21?
