Language,ISO,Source_ID,Source_page,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,DL1.phon,DL2.phon,DL3.phon,DL4.phon
TaiLuangPrabang_lao,lao,hudak1997_18,911-913,534,14,14,14,33,33,33,33,55?,45?,45?,45?,14,14,14,33,55?,55?,55?,45?
LaoNgaewChinchest_lao,lao,chinchest1989,39,25,343,343,343,33,33,33,33,35?,112?,112?,112?,434,434,434,33,45,45,45,112
LaoCambodia1_lao,lao,sopheap2017tone,59-61,35,42,42,451,44,44,44,331,11?,31?,31?,31?,35,35,35,44,11,11,11,31
LaoCambodia2_lao,lao,sopheap2017tone,61-63,24,32,32,42X,33,33,33,33,11?,31?,31?,31?,24,24,24,33,11,11,11,31
LaoCambodia3_lao,lao,sopheap2017tone,63-65,35,42,42,451X,44,44,44,342,33?,31?,31?,31?,35,35,35,44,33,33,33,31
LaoCambodia4_lao,lao,sopheap2017tone,66-68,24,32,32,42X,33,33,33,332,11?,342?,342?,342?,35,35,35,44,11,11,11,342
LaoCambodia5_lao,lao,sopheap2017tone,68-70,24,32,32,44,32,32,32,45?,42?,35?,35?,35?,24,24,24,44,42,42,42,35
LaoCambodia6_lao,lao,sopheap2017tone,70-72,35,32,32,42X,33,33,33,33,11?,31?,31?,31?,24,24,24,44,11,11,11,31
LaoCambodia7_lao,lao,sopheap2017tone,72-74,24,32,32,32,33,33,33,33,11?,31?,31?,31?,35,35,35,44,11,11,11,31
LaoCambodia8_lao,lao,sopheap2017tone,74-76,24,32,32,32X,33,33,33,33,11?,31X,31X,31X,24,24,24,33,11,11,11,31X
LaoCambodia9_lao,lao,sopheap2017tone,76-78,24,32,32,32X,33,33,33,332,11?,42X,42X,42X,24,24,24,33,11,11,11,42X
LaoCambodia10_lao,lao,sopheap2017tone,78-80,35,32,32,42X,33,33,33,442,11?,32X,32X,32X,35,35,35,44,11,11,11,32X
LaoCambodia11_lao,lao,sopheap2017tone,80-82,24,32,32,32,33,33,33,33,42X,31X,31X,31X,24,24,24,33,42X,42X,42X,31X
LaoCambodia12_lao,lao,sopheap2017tone,82-84,35,32,32,42X,44,44,44,44,11?,31?,31?,31?,35,35,35,44,11,11,11,31
LaoVientiane1_lao,lao,osatananda1997,39-41,,,,,,,,,,,,,,,,,,,,
LaoVientiane2_lao,lao,osatananda1997,41-42,,,,,,,,,,,,,,,,,,,,
LaoVientiane3_lao,lao,osatananda1997,42-43,,,,,,,,,,,,,,,,,,,,
LaoVientiane4_lao,lao,osatananda1997,44-46,,,,,,,,,,,,,,,,,,,,
LaoVientiane5_lao,lao,osatananda1997,46-48,,,,,,,,,,,,,,,,,,,,
LaoVientiane6_lao,lao,osatananda1997,48-50,,,,,,,,,,,,,,,,,,,,
LaoVientiane7_lao,lao,osatananda1997,50-51,,,,,,,,,,,,,,,,,,,,
LaoVientiane8_lao,lao,osatananda1997,51-52,,,,,,,,,,,,,,,,,,,,
LaoVientiane9_lao,lao,osatananda1997,53,,,,,,,,,,,,,,,,,,,,
TaiYuanKhotchanthuek_nod,nod,khotchanthuek2002,26-33,15,15,231,231,33,33,33,41,41,41,41,45,15,15,15,55,33,33,33,41
TaiYuanChaokhamin_nod,nod,chaokhamin1988,66-71,14,14,232,232,22,22,22,31,44,44,44,41,35,35,35,45,22,22,22,31
TaiYuanNakhonPathom_nod,nod,thianthaworn1998,59-63,24,24,32,32,21,21,21,342,4,4,4,452,35,35,35,454,21,21,21,342
TaiYuanRatchaburi_nod,nod,thianthaworn1998,80-99,223,223,33,33,33,33,33,353,55,55,55,353,223,223,223,55,33,33,33,353
TaiYuanSaraburi_nod,nod,thianthaworn1998,80-99,14,14,232,232,22,22,22,31,44,44,44,41,35,35,35,45,22,22,22,31
TaiYuanLopburi_nod,nod,thianthaworn1998,80-99,14,14,33,33,22,22,22,31,51?,51?,51?,44?,44?,44?,44?,51?,22,22,22,31
NorthernThai_nod,nod,wuttheerapon2004,42924,,,,,,,,,,,,,,,,,,,,
TaiYuan_nod,nod,pintasaard2004development,63-64,35,35,33,33,11,11,11,31,53,53,53,55,35,35,35,55,11,11,11,31
ChiangMaiThai_nod,nod,hudak2008comparative_8,23-25,14,14,44,44,22,22,22,41,53,53,53,454,14,14,14,454,22,22,22,41
TaiUdon_nod,nod,hudak1997_11,381-382,24,22,22,55,33,33,33,33,11?,41?,41?,41?,24,24,24,33,11?,11?,11?,41?
