Language,ISO,Source_ID,Source_page,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,DL1,DL2,DL3,DL4,DS1,DS2,DS3,DS4,DL4.phon,DS1.phon,DS2.phon,DS3.phon,DS4.phon,A1.phon,A2.phon,A3.phon,A4.phon,B1.phon,B2.phon,B3.phon,B4.phon,C1.phon,C2.phon,C3.phon,C4.phon,DL1.phon,DL2.phon,DL3.phon,Ab1,Ab1.phon,Bb1,Bb1.phon,Cb1,Cb1.phon,DLb1,DLb1.phon,DSb1,DSb1
Nyo-Site17_nyw,nyw,koowatthanasiri1981,"174-178, 243-245",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site18_nyw,nyw,koowatthanasiri1981,"164-168, 245-246",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site19_nyw,nyw,koowatthanasiri1981,"169-173, 246-247",1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site20_nyw,nyw,koowatthanasiri1981,"179-183, 248-249",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site21_nyw,nyw,koowatthanasiri1981,"184-188, 249-250",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site22_nyw,nyw,koowatthanasiri1981,"189-193, 251-252",1,1,1,1,2,2,2,3,2,3,3,4,2,2,2,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site23_nyw,nyw,koowatthanasiri1981,"194-198, 252-253",1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site24_nyw,nyw,koowatthanasiri1981,"199-203, 253-254",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site25_nyw,nyw,koowatthanasiri1981,"204-208, 255-256",1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyo-Site26_nyw,nyw,koowatthanasiri1981,"209-213, 256-257",1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup1_nyw,nyw,koowatthanasiri1981,258-259,1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup2_nyw,nyw,koowatthanasiri1981,259-261,1,1,1,1,2,2,2,3,2,3,3,4,2,2,2,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup3_nyw,nyw,koowatthanasiri1981,261,1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup4_nyw,nyw,koowatthanasiri1981,261-262,1,1,1,1,2,2,2,3,4,4,4,5,2,2,2,3,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup5_nyw,nyw,koowatthanasiri1981,262-263,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup6_nyw,nyw,koowatthanasiri1981,263,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoGroup7_nyw,nyw,koowatthanasiri1981,264,1,2,2,2,3,3,3,4,4,4,4,5,3,3,3,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyoPintasaard_nyw,nyw,pintasaard2004development,75-76,1,1,1,2,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,243,24,24,24,31,312,312,312,33,31,31,31,243,31,243,243,243,31,31,31,,,,,,,,,,
NyoBoonsner_nyw,nyw,boonsner1984phonological,"66,??",1,1,1,2,3,3,3,4,3,3,4,4,3,3,3,4,4,4,4,3,34,34,34,34,21,12,12,12,55,31,31,31,343,31,31,343,343,21,21,21,,,,,,,,,,
NyoLaksanawong_nyw,nyw,laksanawong2008comparative,44-47,1,1,1,2,3,3,3,4,3,5,5,5,2,2,2,4,5,5,5,3,452,44,44,44,31,24,24,24,34,31,31,31,452,31,44,44,44,34,34,34,,,,,,,,,,
NyoUthen_nyw,nyw,hudak1997_7,289-291,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,3,6,6,6,5,43?,45?,45?,45?,54?,14,14,14,33,31?,31?,31?,54?,43?,43?,43?,45?,31?,31?,31?,,,,,,,,,,
NyoSakonnakhon_nyw,nyw,hudak1997_8,303-305,1,1,1,4,2,2,2,5,3,3,3,5,2,2,2,3,1,1,1,4,41?,24,24,24,44,24,24,24,44,21,21,21,454?,41?,41?,41?,454?,21,21,21,,,,,,,,,,
Nyo1_nyw,nyw,khamrueangsi2002subgrouping,61-62,1,1,1,2,3,3,3,4,5,5,5,5,3,3,3,4,5,5,5,4,44?,45?,45?,45?,44,24,24,24,443,332,332,332,44?,445,445,445,445,332,332,332,,,,,,,,,,
Nyo2_nyw,nyw,khamrueangsi2002subgrouping,63-65,1,1,1,2,3,3,3,4,5,6,6,6,3,3,3,3,1,1,1,2,332,45,45,45,33,224,224,224,443,332,332,332,45,22?,342,342,342,332,332,332,,,,,,,,,,
Nyo3_nyw,nyw,khamrueangsi2002subgrouping,65-67,1,1,1,2,3,3,3,4,5,6,6,6,3,3,3,4,1,1,1,3,443,45?,45?,45?,33,224,224,224,443,332,332,332,443,33?,453,453,453,332,332,332,,,,,,,,,,
Nyo4_nyw,nyw,khamrueangsi2002subgrouping,67-69,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,4,1,1,1,4,44?,45?,45?,45?,33,224,224,224,443,332,332,332,332,44?,44?,44?,335,332,332,332,,,,,,,,,,
Nyo5_nyw,nyw,khamrueangsi2002subgrouping,69-71,1,1,1,2,3,3,3,4,3,4,4,5,3,3,3,2,5,5,5,4,454,45?,45?,45?,33,224,224,224,443,332,332,332,44?,332,44?,44?,24?,332,332,332,,,,,,,,,,
Nyo6_nyw,nyw,khamrueangsi2002subgrouping,71-73,1,1,1,2,3,3,3,4,3,5,5,6,3,3,3,5,1,1,1,5,44?,45?,45?,45?,33,224,224,224,443,332,332,332,452,332,44?,44?,24?,332,332,332,,,,,,,,,,
Nyo7_nyw,nyw,khamrueangsi2002subgrouping,74-76,1,1,1,2,3,3,3,4,3,5,5,6,3,3,3,5,1,1,1,5,44?,45?,45?,45?,33,244,244,244,443,331,331,331,452,331,44?,44?,34?,331,331,331,,,,,,,,,,
Nyo8_nyw,nyw,khamrueangsi2002subgrouping,76-78,1,1,1,2,3,3,3,4,3,5,5,6,3,3,3,2,1,1,1,3,44?,45,45,45,33,244,244,244,443,332,332,332,442,332,353,353,34?,332,332,332,,,,,,,,,,
Nyo9_nyw,nyw,khamrueangsi2002subgrouping,78-80,1,1,1,2,3,3,3,4,3,2,2,5,3,3,3,2,1,1,1,3,443,45?,45?,45?,44,244,244,244,443,332,332,332,452,332,443,443,445,332,332,332,,,,,,,,,,
Nyo10_nyw,nyw,khamrueangsi2002subgrouping,80-82,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,3,6,6,6,5,332,45?,45?,45?,33?,244,244,244,443,332,332,332,443,44?,44?,44?,24?,332,332,332,,,,,,,,,,
Nyo11_nyw,nyw,khamrueangsi2002subgrouping,82-84,1,1,1,2,3,3,3,4,3,5,5,6,3,3,3,3,1,1,1,5,332,45?,45?,45?,33,224,224,224,443,332,332,332,443,332,44?,44?,35?,332,332,332,,,,,,,,,,
Nyo12_nyw,nyw,khamrueangsi2002subgrouping,84-86,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,3,1,1,1,4,341,45?,45?,45?,44,224,224,224,443,331,331,331,44,44?,44?,44?,445?,331,331,331,,,,,,,,,,
Nyo13_nyw,nyw,khamrueangsi2002subgrouping,86-88,1,1,1,2,3,3,3,4,3,5,5,5,3,3,3,4,1,1,1,2,443,45,45,45,33,224,224,224,44,332,332,332,443,332,334,334,334,332,332,332,,,,,,,,,,
Nyo14_nyw,nyw,khamrueangsi2002subgrouping,88-90,1,2,2,2,3,3,3,3,4,4,4,5,3,3,3,3,5,5,5,4,331,45?,45?,45?,44,4545,224,224,224,o,331,331,331,442,442,442,45?,331,331,331,,,,,,,,,,
Nyo15_nyw,nyw,khamrueangsi2002subgrouping,91-92,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,554,45?,45?,45?,443,2214,3324,3324,3324,342,342,342,554,44?,44?,44?,445?,342,342,342,,,,,,,,,,
Nyo16_nyw,nyw,khamrueangsi2002subgrouping,93-95,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,2,2,2,5,442,45,45,45,33,4545,24,24,24,332,332,332,552,33?,33?,33?,24?,332,332,332,,,,,,,,,,
Nyo17_nyw,nyw,khamrueangsi2002subgrouping,95-96,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,4,1,1,1,3,442,45,45,45,33,34,34,34,443,332,332,332,332,442,442,442,45,332,332,332,,,,,,,,,,
Nyo18_nyw,nyw,khamrueangsi2002subgrouping,97-98,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,2,1,1,1,4,453,45,45,45,44,24,24,24,443,442,442,442,442,44?,44?,44?,24,442,442,442,,,,,,,,,,
Nyo19_nyw,nyw,khamrueangsi2002subgrouping,99-101,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,2,2,2,5,452,45,45,45,44,213,24,24,24,331,331,331,452,44?,44?,44?,244,331,331,331,,,,,,,,,,
Nyo20_nyw,nyw,khamrueangsi2002subgrouping,101-102,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,2,2,2,3,442,45,45,45,33,24,24,24,34,331,331,331,442,44?,44?,44?,35?,331,331,331,,,,,,,,,,
Nyo21_nyw,nyw,khamrueangsi2002subgrouping,103-104,1,2,2,2,3,3,3,4,5,5,5,5,3,3,3,4,2,2,2,5,453,45,45,45,44,24,334,334,334,221,221,221,553,44?,44?,44?,44?,221,221,221,,,,,,,,,,
Nyo22_nyw,nyw,khamrueangsi2002subgrouping,105-107,1,2,2,2,1,1,1,3,1,4,4,5,1,1,1,3,5,5,5,4,443,445,445,445,44,3425,334,334,334,3425,3425,3425,332,3425,44?,44?,445?,3425,3425,3425,,,,,,,,,,
Nyo23_nyw,nyw,khamrueangsi2002subgrouping,107-109,1,2,2,2,3,3,3,4,5,5,5,6,4,4,4,4,2,2,2,5,221,45,45,45,44,3424,225,225,225,2314,2314,2314,342,44?,44?,44?,445?,221,221,221,,,,,,,,,,
Nyo24_nyw,nyw,khamrueangsi2002subgrouping,109-111,1,2,2,2,1,1,1,3,4,4,4,5,1,1,1,3,5,5,5,4,552,445,445,445,44,3324,335,335,335,3324,3324,3324,552,44?,44?,44?,445?,3324,3324,3324,,,,,,,,,,
Nyo25_nyw,nyw,khamrueangsi2002subgrouping,111-112,1,2,2,2,1,1,1,3,1,4,4,5,1,1,1,3,5,5,5,4,443,445?,445?,445?,44,332,3342,3342,3342,332,332,332,443,332,33?,33?,445?,332,332,332,,,,,,,,,,
Nyo26_nyw,nyw,khamrueangsi2002subgrouping,113-114,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,3,6,6,6,5,453,45,45,45,44,3434,224,224,224,353,353,353,443,44?,44?,44?,45,353,353,353,,,,,,,,,,
Nyo27_nyw,nyw,khamrueangsi2002subgrouping,115-116,1,2,2,2,1,1,1,3,4,4,4,5,1,1,1,3,5,5,5,4,342,45,45,45,44,3434,332,332,332,3434,3434,3434,342,44?,44?,44?,24?,3434,3434,3434,,,,,,,,,,
Nyo28_nyw,nyw,khamrueangsi2002subgrouping,117-119,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,4,1,1,1,3,443,335,335,335,44,24,24,24,445,33,33,33,33,332?,332?,332?,45?,33,33,33,,,,,,,,,,
Nyo29_nyw,nyw,khamrueangsi2002subgrouping,119-120,1,2,2,3,4,4,4,4,5,5,5,6,4,4,4,2,6,6,6,5,332,45?,45?,45?,33,224,332,332,445,342,342,342,342,332?,332?,332?,45?,342,342,342,,,,,,,,,,
Nyo30_nyw,nyw,khamrueangsi2002subgrouping,121-122,1,2,2,2,3,3,3,3,4,4,4,5,4,4,4,1,5,5,5,4,454,445?,445?,445?,33,4545,344,344,344,342,342,342,342,332,332,332,445?,332,332,332,,,,,,,,,,
Nyo31_nyw,nyw,khamrueangsi2002subgrouping,123-124,1,2,2,2,3,3,3,3,4,4,4,5,4,4,4,4,5,5,5,3,443,445?,445?,445?,33,4545,334,334,334,44,44,44,44,332,332,332,445?,443,443,443,,,,,,,,,,
Nyo32_nyw,nyw,khamrueangsi2002subgrouping,125-127,1,1,1,2,3,3,3,4,4,4,4,5,3,3,3,2,1,1,1,2,44,45,45,45,33,24,24,24,443,3442,3442,3442,342?,342?,342?,342?,24?,3442,3442,3442,,,,,,,,,,
Nyo33_nyw,nyw,khamrueangsi2002subgrouping,127-129,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,2,6,6,6,2,44,24?,24?,24?,33,24,443,443,443,332,332,332,242,44?,44?,44?,24?,332,332,332,,,,,,,,,,
Nyo34_nyw,nyw,khamrueangsi2002subgrouping,129-130,1,1,1,2,3,3,3,3,4,4,4,5,3,3,3,3,5,5,5,4,331,45?,45?,45?,33,24,24,24,445,331,331,331,331,44?,44?,44?,45?,331,331,331,,,,,,,,,,
Yay_pcc,pcc,hudak2008comparative_16,49-53,1,1,1,4,2,2,2,5,3,3,6,6,2,2,2,5,3,3,3,1,41,13,13,13,33,33,33,33,454,22,22,22,41,13,13,45,45,22,22,22,,,,,,,,,,
TaiHongjin1_pdi,pdi,zhou2001_4,,1,1,1,2,5,5,5,6,3,3,3,4,9,9,9,8,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaiPhake_phk,phk,pintasaard2004development,64-65,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,11,33,33,33,11,45,55,55,55,33,33,33,11,21?,21?,21?,21,33,33,33,,,,,,,,,,
PhakeMorey_phk,phk,morey2010phake,,6,2,2,2,1,1,1,5,3,3,3,4,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhakeBanchob_phk,phk,banchob1987,,6,2,2,2,1,1,1,5,3,3,3,4,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhakeDiller_phk,phk,diller1992,,6,2,2,2,1,1,1,5,3,3,3,4,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhakeWilaiwan_phk,phk,wilaiwan1983,,1,2,2,5,4,4,4,6,3,3,3,"5,3",4,4,4,6,4,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhuThaiPintasaard_pht,pht,pintasaard2004development,72-73,1,1,1,2,2,2,2,3,4,4,4,5,2,2,2,2,5,5,5,4,31,45,45,45,53,24,24,24,31,31,31,31,44,53,53,53,45,31,31,31,,,,,,,,,,
PhuThaiLaksanawong_pht,pht,laksanawong2008comparative,49-52,1,1,1,2,3,3,3,3,4,4,4,5,2,2,2,3,5,5,5,3,41,44,44,44,41,24,24,24,33,41,41,41,41,453,453,453,44,33,33,33,,,,,,,,,,
PhuThaiPhannanikom_pht,pht,hudak1997_9,323-325,1,1,1,2,2,2,2,4,3,3,3,4,2,2,2,3,4,4,4,3,33?,45?,45?,45?,33?,13,13,13,332,332,332,332,45?,33?,33?,33?,45?,332,332,332,,,,,,,,,,
PhuThaiWaritchaphum_pht,pht,hudak1997_10,347-349,1,1,1,4,2,2,2,5,3,3,3,6,3,3,3,5,1,1,1,3,43?,34,34,34,33?,34,34,34,44,22,22,22,43?,33?,33?,33?,45?,33?,33?,33?,,,,,,,,,,
LaoPhuanSukpiti_phu,phu,sukpiti1989,48-51,1,2,2,2,3,3,3,2,4,2,2,2,5,5,5,6,2,2,2,6,41,44,44,44,41,24,44,44,44,33,33,33,44,35,44,44,44,31,31,31,,,,,,,,,,
LaoPhuanSungvanthrup_phu,phu,sungvanthrup1991,75-81,5,1,1,1,2,2,2,3,6,4,4,4,2,2,2,3,2,2,2,4,42,112,112,112,44,24,33,33,33,11,11,11,42,44?,44,44,44,11,11,11,,,,,,,,,,
Phuan_phu,phu,pintasaard2004development,74-75,1,2,2,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,53,35,35,35,55,24,33,33,33,11,11,11,53,55,55,55,35,11,11,11,,,,,,,,,,
TaiYai_shn,shn,jantanakom1983,83-89,1,1,1,4,2,2,2,5,3,3,3,6,2,2,2,5,4,4,4,6,31,55,55,55,51?,25,25,25,55,11?,11?,11?,31,53?,53?,53?,51?,11?,11?,11?,,,,,,,,,,
ShanJonsson_shn,shn,jonsson1991,,5,1,1,4,2,2,2,1,3,3,3,3,2,2,2,1,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShanHudak_shn,shn,hudak2008comparative_4,14-17,1,1,1,4,2,2,2,3,3,3,3,5,2,2,2,3,4,4,4,5,33,55?,55?,55?,53?,35,35,35,55?,11?,11?,11?,33,33,33,33,53?,11?,11?,11?,,,,,,,,,,
HsiPawShan_shn,shn,hudak1994_7,597-600,1,1,1,4,2,2,2,3,3,3,3,5,2,2,2,3,4,4,4,5,31?,55,55,55,41?,24,24,24,55,21,21,21,31?,31?,31?,31?,41?,21,21,21,,,,,,,,,,
CheFangShan_shn,shn,hudak1994_9,777-779,1,5,5,4,2,2,2,5,3,3,3,6,2,2,2,6,"2,1","2,1","2,1",5,54,"21?,25","21?,25","21?,25",33,25,33,33,55,21?,21?,21?,33,41?,41?,41?,54,21?,21?,21?,,,,,,,,,,
MuongKhawnShan_shn,shn,hudak1994_10,829-831,5,1,1,4,2,2,2,1,3,3,3,3,5,5,5,3,2,2,2,1,31?,11,11,11,32,45,32,32,44,11,11,11,32,31?,31?,31?,31?,45,45,45,,,,,,,,,,
KengTungShan_shn,shn,hudak1994_11,873-875,1,1,4,4,2,2,2,3,3,3,3,5,2,2,2,3,4,4,4,5,33?,55,55,55,41?,24,24,55,55,11?,11?,11?,33?,33?,33?,33?,41?,11?,11?,11?,,,,,,,,,,
Saek_skb,skb,hudak2008comparative_17,53-58,"2,1",1,1,4,6,6,6,5,3,3,3,6,6,6,6,5,4,4,4,6,52,454,454,454,32?,"11,34",34,34,454,32?,32?,32?,52,31?,31?,31?,32?,32?,32?,32?,,,,,,,,,,
TaiSong_soa,soa,jirananthanporn2007,43082,3,3,3,5,4,4,4,2,42375,1,1,6,4,4,4,42406,4,4,4,2,"33,42",35,35,35,33,23,23,23,354,35,35,35,33,"22,42",22,22,42,35,35,35,,,,,,,,,,
LaoSongChawsuan_soa,soa,chawsuan1994,201-972 (lexicon),1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaoSongPanka_soa,soa,panka1980,67-76,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,44,35,35,35,44,24,24,24,354,35,35,35,44,33,33,33,43,35,35,35,,,,,,,,,,
LaoSongYensamut_soa,soa,yensamut1981words,,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,55,335,335,335,55,24,24,24,354,335,335,335,55,33,33,33,454,335,335,335,,,,,,,,,,
Song1_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,1,1,1,2,3,3,3,4,2,2,2,1,1,1,1,4,214,214,214,214,214,214,214,214,44,214,214,214,44,21,21,21,214,44,44,44,,,,,,,,,,
Song2_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,2,2,2,2,4,4,4,4,3,3,3,1,3,3,3,4,324,11,11,11,32,324,324,324,55,55,55,55,55,32,32,32,32,11,11,11,,,,,,,,,,
Song3_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,4,4,4,4,3,3,3,1,3,3,3,3,324,14,14,14,14,324,324,324,43,14,14,14,32,32,32,32,32,14,14,14,,,,,,,,,,
Song4_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,5,3,3,3,1,3,3,3,3,324,15,15,15,15,324,324,324,43,15,15,15,32,21,21,21,21,15,15,15,,,,,,,,,,
Song5_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,33,452,452,452,33,24,24,24,232,452,452,452,33,21,21,21,41,452,452,452,,,,,,,,,,
Song6_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,33,35,35,35,33,14,14,14,343,35,35,35,33,22,22,22,42,35,35,35,,,,,,,,,,
Song7_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,33,24,24,24,33,34,34,34,45,24,24,24,33,32,32,32,452,24,24,24,,,,,,,,,,
Song8_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,44,24,24,24,44,34,34,34,354,24,24,24,44,32,32,32,252,24,24,24,,,,,,,,,,
Song9_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,44,35,35,35,44,24,24,24,354,35,35,35,44,33,33,33,43,35,35,35,,,,,,,,,,
Song10_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,342,25,25,25,342,23,23,23,453,25,25,25,342,33,33,33,32,25,25,25,,,,,,,,,,
Song11_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,44,24,24,24,44,34,34,34,354,24,24,24,44,32,32,32,452,24,24,24,,,,,,,,,,
Song12_soa,soa,saeng-ngam2006lexical,21-24,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,4,33,24,24,24,33,35,35,35,43,24,24,24,33,21,21,21,452,24,24,24,,,,,,,,,,
SouthernThai_sou,sou,pintasaard2004development,70-71,1,2,2,3,1,2,2,4,5,6,6,7,5,6,6,4,1,2,2,7,213,35,24,24,11,352,241,241,31,352,241,241,213,44,33,33,11,44,33,33,,,,,,,,,,
TakBai_sou,sou,pintasaard2004development,71-72,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,1,1,1,2,31,24,24,24,33,24,24,24,33,44,44,44,31,42,42,42,342,44,44,44,,,,,,,,,,
TaiNakhonSiThammarat_sou,sou,hudak1997_1,5-Mar,1,2,2,2,1,2,2,3,4,4,4,5,4,3,3,3,1,3,3,5,14,55,14,14,11,55,343,343,343,55,343,343,14,44,44,44,11,44,14,14,,,,,,,,,,
TaiSurat_sou,sou,hudak1997_2,15-18,1,2,2,4,1,2,2,5,3,3,3,6,1,5,5,5,1,5,5,6,24,454,24,24,11,454,343,343,121,454,343,343,24,33,33,33,11,454,24,24,,,,,,,,,,
TaiKoSamui_sou,sou,hudak1997_3,147-149,1,3,3,4,1,3,3,5,2,5,5,6,2,5,5,5,1,2,2,6,24,55,33,33,11,55,44,44,121,55,44,44,24,33,24,24,11,33,24,24,,,,,,,,,,
PhithenThai_sou,sou,junlawan2011,"57, 76-106",1,2,2,3,2,2,2,4,5,5,5,6,3,3,3,4,5,5,5,4,43,32,32,32,43,24,34,34,44,34,34,34,43,332,332,332,545,44,44,44,,,,,,,,,,
TakBai1_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,4,4,4,6,53,43,43,43,32,24,24,24,33,44,44,44,21,332,332,332,53,45,45,45,,,,,,,,,,
TakBai2_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,5,5,5,4,53,32,32,32,43,24,24,24,33,44,44,44,21,332,332,332,553,44,44,44,,,,,,,,,,
TakBai3_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,3,3,3,6,22,45,45,45,21,24,24,24,33,445,445,445,22,332,332,332,53,445,445,445,,,,,,,,,,
TakBai4_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,2,2,2,6,22,33,33,33,43,24,24,24,33,44,44,44,22,332,332,332,53,44,44,44,,,,,,,,,,
TakBai5_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,5,5,5,6,3322,33,33,33,43,24,24,24,33,44,44,44,322,332,332,332,453,44,44,44,,,,,,,,,,
TakBai6_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,6,6,6,5,3322,31,31,31,33,24,24,24,33,44,44,44,322,332,332,332,331,44,44,44,,,,,,,,,,
TakBai7_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,4,4,4,3,332,31,31,31,44,24,24,24,33,44,44,44,332,5533,5533,5533,553,44,44,44,,,,,,,,,,
TakBai8_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,4,4,4,3,31,31,31,31,44,24,24,24,33,44,44,44,32,5533,5533,5533,553,44,44,44,,,,,,,,,,
TakBai9_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,5,5,5,6,3322,31,31,31,33,24,24,24,33,44,44,44,322,3322,3322,3322,331,44,44,44,,,,,,,,,,
TakBai10_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,4,4,4,6,332,31,31,31,43,24,24,24,33,44,44,44,332,33,33,33,553,44,44,44,,,,,,,,,,
TakBai11_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,4,4,4,6,221,21,21,21,31,24,24,24,33,445,445,445,221,332,332,332,331,44,44,44,,,,,,,,,,
TakBai12_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,5,5,5,6,221,31,31,31,43,24,24,24,33,445,445,445,221,332,332,332,553,44,44,44,,,,,,,,,,
TakBai13_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,5,5,5,6,3,3,3,4,5,5,5,3,22,31,31,31,45,24,24,24,33,44,44,44,22,332,332,332,42,44,44,44,,,,,,,,,,
Sakom_sou,sou,junlawan2011,76-106,1,1,1,2,3,3,3,4,4,4,4,5,4,4,4,3,6,6,6,5,322,33,33,33,443,354,354,354,43,211,211,211,44,44,44,44,553,44,44,44,,,,,,,,,,
SouthernThaiPattani_sou,sou,junlawan2011,76-106,1,2,2,2,1,2,2,4,3,4,4,7,3,4,4,6,1,2,2,7,22,334,343,343,331,45,43,43,34,45,43,43,33,35,33,33,21,35,33,33,,,,,,,,,,
