order	sequence	thai	phonetic	description	short-description	set	level
1231	14	(...)อีกไม่กี่นาที(...)	...	ìik-mâi-gìi naa-tii(...) In (just) a few minutes(...) / ...any minute (now). 	ìik-mâi-gìi naa-tii(...) In (j		
1232	15	หล่นมาจาก(ฟ้า) lòn maa-jàak	fáa	(It) fell out of/dropped from (the sky). 	(It) fell out of/dropped from 		
1233	16	(เรื่องนี้)สอนให้รู้ว่า...	rʉ̂ang níi	sɔ̌ɔn hâi rúu wâa... The moral of the story is... / It teaches (us)...  	sɔ̌ɔn hâi rúu wâa... The moral		
1234	17	ไม่มีร่องรอย(การต่อสู้) mâi-mii rɔ̂ng-rɔɔi	gaan-dtɔ̂ɔ-sûu	There was no trace/sign (of a struggle).  	There was no trace/sign (of a 		
1235	18	ท(ความ)ฝันให้เป็นจริง tam-(kwaam)fǎn -hai-bpen-jing Make a dream come true. / Make a dream become reality.  					
1236	19	แน่อยู่แล้ว nɛ̂ɛ yùu-lɛ́ɛo Sure. / I'm sure it was. / Absolutely. / Of course	it is	.  	.  		
1237	20	สับสนไปหมด sàp-sǒn bpai mot I'm so confused! / It's so confusing!  					
1238	1	ฉันท้อง chǎn tɔ́ɔng I'm pregnant!  	Super Useful Expressions, Part 63  	high-beginner level	high-beginner level		
1239	2	ขับช้าๆ kàp chá-chá Drive slowly.  					
1240	3	ระวังหน่อย rá-wang nɔ̀i Be careful. / Watch it!  					
1241	4	เห็น... ไหม hěn... mǎi Did you see...? / Have you seen...?  					
1242	5	ไม่เห็น(นะ) mâi-hěn	ná	No, (I) didn't/haven't. / No.  	No, (I) didn't/haven't. / No. 		
1243	6	อีกนิดหนึ่ง ìik nít-nʉ̀ngA bit more. / A little more. 					
1244	7	คุณพูดถูก kun pûut tùuk You're right. / You were right.	what you said is true				
1245	8	คุณพูดผิด kun pûut pìt You're wrong. / You were wrong.	what you said isn't true				
1246	9	ไม่เท่าไร mâi tâo-rai Not so much. / Not really. / Not very. 					
1247	10	สาธุ sǎa-tú Amen!  					
1248	11	ขอบคุณ(มาก)นะคะคุณหมอ kɔ̀ɔp-kun	mâak	ná-ká kun mɔ̌ɔ Thank you (very much) Doctor.  	ná-ká kun mɔ̌ɔ Thank you (very		
1249	12	สัญญากับผม(ว่า...) sǎn-yaa gàp pǒm	wâa...	Promise me (that...)  	Promise me (that...)  		
1250	13	กุญแจอยู่ในรถ gun-jɛɛ yùu nai rót The key's in the car. / The keys are in the car.  					
1251	14	ดีกว่ามาก dii-gwàa mâak Much better. 					
1252	15	ฝนกำลังจะตก fǒn gam-lang jà dtòk It's going to rain.  					
1253	16	มานั่ง(สิ) INFORMAL maa nâng	sì	Come sit. / Come and sit down. / Come. Have a seat.  	Come sit. / Come and sit down.		
1254	17	ฉัน(ก็)ไม่รู้ chǎn	gɔ̂ɔ	mâi-rúu I don't know. 	mâi-rúu I don't know. 		
1255	18	ไม่จริง(หรอก) mâi-jing	rɔ̀ɔk	That's not true! / Not true! / That's a lie! 	That's not true! / Not true! /		
1256	19	ดีจังเลย dii jang ləəi That's great. / That's really good. 					
1257	20	พยายามอยู่ pá-yaa-yaam yùu	I	'm trying.  	'm trying.  		
1258	1	หายไวๆนะ hǎai wai-wai ná Get better soon. / Get well soon.  	Super Useful Expressions, Part 64  	low-intermediate level	low-intermediate level		
1259	2	ผมอาจจะกลับดึก pǒm àat-jà glàp dʉ̀k I might be late. / I might come home late.  					
1260	3	ให้ผมไปรับไหม hâi pǒm bpai ráp mǎi Do you want me to pick you up?  					
1261	4	อยากให้คุณไปด้วย yàak hâi kun bpai dûai I want you to go with me. / I'd like you to join me.  					
1262	5	ไม่อยากเป็นภาระ mâi-yàak bpen paa-rá I don't want to be a burden. / I don't want to burden you.  					
1263	6	อ่านต่อไป(เถอะ) àan dtɔ̀ɔ-bpai	tə̀	Keep (on) reading.  	Keep (on) reading.  		
1264	7	ผมไม่สน(ใจ)ว่า... pǒm mâi-sǒn	jai	wâa... I don't care (if/what/that...)  Note: ไม่สน (mâi-sǒn) is more casual.  	wâa... I don't care (if/what/t		
1265	8	(...)ทั้งคืนเลย	...	táng-kʉʉn ləəi	táng-kʉʉn ləəi		
1266	...all night. / All night long.  						
1267	9	อย่าลืมบอกผม yàa lʉʉm bɔ̀ɔk pǒm Don't forget to tell me.  					
1268	10	ไม่ใช่แบบนั้น(ค่ะ) mâi-châi bɛ̀ɛp-nán	kà	Not like that. / It's not like that.  	Not like that. / It's not like		
1269	11	เร็วกว่าที่คิด reo gwàa tîi kít Sooner than you think. / Faster than I thought. / Earlier than expected.  					
1270	12	รัก(เธอ)หมดใจ rák	təə	mòt-jai I love (her) with all my heart!  	mòt-jai I love (her) with all 		
1271	13	คืนดีแล้ว kʉʉn-dii lɛ́ɛo They're back together again. / They've reconciled.  					
1272	14	ฉันกำลังจะบอกคุณว่า... chǎn gam-lang jà bɔ̀ɔk kun wâa... I'm telling you... / I'm going to tell you... 					
1273	15	จะไปไหนต่อ jà bpai-nǎi dtɔ̀ɔ Where are you going after this? / What are you doing  later? / Where're we going now?  					
1274	16	ต้องทำความสะอาดบ้าน dtɔ̂ng tam-kwaam-sà-àat bâan	I	have to clean the house.  	have to clean the house.  		
1275	17	ไม่ได้คิดอะไร mâi-dâi kít à-rai	I	wasn't thinking anything. / (I)'m not thinking about anything.  	wasn't thinking anything. / (I		
1276	18	จำได้แล้ว jam-dâi lɛ́ɛo I remember now. / Now I remember.  					
1277	19	ทำไมไม่รับโทรศัพท์ tam-mai mâi ráp too-rá-sàp Why didn't	you	answer (your) phone?  	answer (your) phone?  		
1278	20	(ผมก็)แค่อยากรู้เฉยๆ	pǒm gɔ̂ɔ	kɛ̂ɛ yàak rúu chə̌əi-chə̌əi(I) was just wondering. / (I) just wanna know. / (I) was just curious.  	kɛ̂ɛ yàak rúu chə̌əi-chə̌əi(I)		
1279	1	ไม่ทันตั้งตัว mâi-tan dtâng-dtua	I	was caught off guard.  	was caught off guard.  	Super Useful Expressions, Part 65  	low-advanced level
1280	2	คงต้องคุยกัน(เรื่อง...) kong dtɔ̂ng kui gan	rʉ̂ang...	(We) need to talk about it. / (We) need to talk about...  	(We) need to talk about it. / 		
1281	3	มันถูกนำไปใช้กับ(โควิด-19) FORMAL man tùuk nam-bpai chái gàp	koo wít sìp-gâao	It can be used with (Covid-19). / It can be applied for use with (Covid-19). 	It can be used with (Covid-19)		
1282	4	(เขาเป็นแบบนี้)ประจำเลย	kǎo bpen bɛ̀ɛp-níi	bprà-jam ləəi (He's) always (like this).  Note: This means habitually or regularly. 	bprà-jam ləəi (He's) always (l		
1283	5	อยู่กับปัจจุบัน LITERARY yùu-gàp bpàt-jù-ban live in the present / live in the moment / stay in the present  					
1284	6	ต้องจากโลกนี้ไป LITERARY dtɔ̂ng jàak lôok níi bpai	We all	have to leave this world. / (We all) have to die (someday).  	have to leave this world. / (W		
1285	7	...เป็นที่รู้จักกันดี(...) SEMI-FORMAL ...bpen tîi-rúu-jàk gan dii(...) ... is well known	for/as	(...) / ... is famous (for)(...)  	(...) / ... is famous (for)(..		
1286	8	...ในเวลาต่อมา FORMAL ...nai wee-laa dtɔ̀ɔ-maa 					
1287	...subsequently / ...later (on)  						
1288	9	(เขา)มีส่วนเกี่ยวข้อง(...) SEMI-FORMAL	kǎo	mii sùan-gìao-kɔ̂ng(...) (He) is involved(...) / (He) was involved in (...) 	mii sùan-gìao-kɔ̂ng(...) (He) 		
1289	10	ไม่มีส่วนเกี่ยวข้อง SEMI-FORMAL mâi-mii sùan-gìao-kɔ̂ng	I	had nothing to do with it. / (I) wasn't involved.  	had nothing to do with it. / (		
1290	11	หลบไป RUDE lòp bpai Get out of my way! / Move it! / Clear out!  					
1291	12	ตอนที่เกิดเหตุ... dtɔɔn-tiî gə̀ət-hèet... When it happened... / When the incident occurred... / When the accident  happened...  					
1292	13	อย่ามาทำเป็นเล่นตัว yàa maa tam-bpen lên-dtua Don't play hard to get!  					
1293	14	ถ้าทุกอย่างเป็นไปตามแผน tâa túk-yàang bpen-bpai dtaam-pɛ̌ɛn If everything goes as planned...  					
1294	15	ยิ่งคุณทำแบบนี้(ฉันก็)ยิ่ง(เกลียดคุณ) yîng kun tam bɛ̀ɛp-níi	chǎn gɔ̂ɔ	yîng (glìat kun) The more you do that, the more (I hate you.).  	yîng (glìat kun) The more you 		
1295	16	...ขึ้นอยู่กับโชคชะตา ...kʉ̂n-yùu-gàp chôok-chá-dtaa	It	's up to fate. / (It)'s predestined.  	's up to fate. / (It)'s predes		
1296	17	ในบางกรณี... SEMI-FORMAL/LITERARY nai baang gɔɔ-rá-nii... In some cases...  					
1297	18	นังแพศยา VERY VULGAR nang pɛ̂ɛt-sà-yǎa You whore! / You	fuxxin'	bitch! 	bitch! 		
1298	19	อย่าหักโหม yàa hàk-hǒom Don't overwork	yourself	. / Don't overdo it. / Don't work too hard.  	. / Don't overdo it. / Don't w		
1299	20	รู้อย่างนี้แล้ว... rúu yàang-níi lɛ́ɛo Now that you know	this	... / Knowing this... 	... / Knowing this... 		
1300	1	คุณทำอาหารเก่ง kun tam-aa-hǎan gèng You're a good cook!  	Super Useful Expressions, Part 66  	low-intermediate level	low-intermediate level		
1301	2	ฉันรู้สึกแย่มาก(เลย)(...) chǎn rúu-sʉ̀k yɛ̂ɛ mâak	ləəi	(...) I feel really bad(...) / I feel terrible about...  	(...) I feel really bad(...) /		
1302	3	ฉันรู้สึกอึดอัด(มาก) chǎn rúu-sʉ̀k ʉ̀t-àt	mâak	I feel (very) awkward/uncomfortable.  	I feel (very) awkward/uncomfor		
1303	4	เหมาะกับคุณมาก mɔ̀-gàp kun mâak It suits you well. / It looks great on you.  					
1304	5	ทิ้งไปแล้ว tíng bpai lɛ́ɛo	I	threw it away.  	threw it away.  		
1305	6	ไม่เก็ท INFORMAL/SLANG mâi gèt	I	don't get it. / (I) don't understand.  	don't get it. / (I) don't unde		
1306	7	หายตัวไปแล้ว hǎai dtua bpai lɛ́ɛo She's disappeared! / He just vanished! / She went missing. 					
1307	8	ต้องใจเย็น ๆ dtɔ̂ng jai yen-yen You have to calm down. / You have to relax.	Don't get so worked up.				
1308	9	คุณไม่ยอมฟังผม kun mâi-yɔɔm fang pǒm You wouldn't listen to me. / You're not listening to me. 					
1309	10	จะติดต่อได้ยังไง(คะ) jà dtìt-dtɔ̀ɔ dâi yang ngai	ká	How can I contact you? / How will I be able to contact you?  	How can I contact you? / How w		
1310	11	ไปทำงานได้แล้ว bpai tam-ngaan dâi lɛ́ɛo	You'd better	get to work. / Time to get to work. 	get to work. / Time to get to 		
1311	12	เดี๋ยว(จะ)สาย dǐao	jà	sǎai You'll be late. / Careful, or you'll be late.  	sǎai You'll be late. / Careful		
1312	13	ไม่กี่วันเอง mâi-gìi wan eeng Only a couple of days / Only a few days  					
1313	14	เก็บ(เอา)ไว้ทำไม gèp	ao	wái tam-mai Why are you saving/keeping (it/them)? 	wái tam-mai Why are you saving		
1314	15	ผมทำให้ pǒm tam-hâi I'll do that	for you	. / I'll get that (for you).  	. / I'll get that (for you).  		
1315	16	มันเป็นโอกาสที่ดี man bpen oo-gàat tîi dii It's a good opportunity. / It was a good chance.  					
1316	17	แค่นั้นก็พอแล้ว kɛ̂ɛ nán gɔ̂ɔ pɔɔ lɛ́ɛo That's enough. / That would be enough. / That's plenty.  					
1317	18	ฉันไม่แพ้ใคร chǎn mâi-pɛ́ɛ krai I don't lose to anyone! / No one beats me! / I'm number one!  					
1318	19	เดินไม่ไหว dəən mâi-wǎi I can't walk	anymore	! / I can't even walk!  	! / I can't even walk!  		
1319	20	ค่อยยังชั่ว(หน่อย) kɔ̂i yang chûa	nɔ̀i	I feel a bit better. / That's a relief.  Note: This expression is very idiomatic, so don't spend too much  time trying to break down the meaning.  	I feel a bit better. / That's 		
1320	1	ทำให้เต็มที่(นะคะ) tam-hâi dtem-tîi	ná-ká	Do your best! / Give it all you got!  	Do your best! / Give it all yo	Super Useful Expressions, Part 67  	low-intermediate level
1321	2	มาเริ่มเลยดีกว่า maa rə̂əm ləəi dii-gwàa Let's get started.  					
1322	3	เลิกพูดเรื่อง... lə̂ək pûut rʉ̂ang... Stop talking about... !  					
1323	4	ฟังฉันอยู่รึเปล่า fang chǎn yùu rʉ́-bplàao Are	you	listening to me?  	listening to me?  		
1324	5	ไม่เกรงใจเลย mâi greeng-jai ləəi	He	's so inconsiderate! / (He) doesn't think about others!  	's so inconsiderate! / (He) do		
1325	6	ใกล้เวลาแล้ว glâi wee-laa lɛ́ɛo It's almost time. / The time is near.  					
1326	7	ใกล้เวลาที่... glâi wee-laa tîi... It's nearly time to... / It's almost time to...  					
1327	8	ฉันปฏิเสธไม่ได้ chǎn bpà-dtì-sèet mâi-dâi I couldn't say no. / I couldn't refuse.  					
1328	9	เขาไม่ได้ว่าอะไร kǎo mâi-dâi wâa à-rai He didn't say anything.  					
1329	10	จำไม่ค่อยได้ jam mâi-kɔ̂i dâi	I	don't remember it so well. / (I) can't recall. / (I) don't remember much (about  it).  	don't remember it so well. / (		
1330	11	หน้ายังเหมือนเดิม nâa yang mʉ̌an-dəəm	You	still look the same! / (Your) face hasn't changed at all. 	still look the same! / (Your) 		
1331	12	หนูเพิ่งจะเสร็จ(งานเอกสาร) nǔu pə̂ng-jà sèt	ngaan-èek-gà-sǎan	I just finished (my paperwork). 	I just finished (my paperwork)		
1332	13	เห็นแก่เงิน hěn-gɛ̀ɛ ngən	You	only care about money! / (You) are obsessed with money!  	only care about money! / (You)		
1333	14	อบอุ่นดี òp-ùn dii	It	's nice and warm. / (It's) warm and cozy. 	's nice and warm. / (It's) war		
1334	15	ผมจะเข้าไปข้างใน(แล้ว) pǒm jà kâo-bpai kâang-nai	lɛ́ɛo	I'm gonna go inside. / I'm going inside now.  	I'm gonna go inside. / I'm goi		
1335	16	ตอบเขาว่ายังไง dtɔ̀ɔp kǎo wâa yang-ngai How did	you	answer her? / What did you tell her?  	answer her? / What did you tel		
1336	17	ผม(ก็)บอกเขาว่า... pǒm	gɔ̂ɔ	bɔ̀ɔk kǎo wâa... I told her...  	bɔ̀ɔk kǎo wâa... I told her...		
1337	18	เป็นแผนที่ดีมาก bpen pɛ̌ɛn tîi dii mâak That's a great plan!  					
1338	19	ฉลองกันเถอะ chà-lɔ̌ɔng gan-tə̀ Let's celebrate!  					
1339	20	ไม่รู้จะทำอะไร mâi-rúu jà tam à-rai	I	don't know what to do.  	don't know what to do.  		
1340	1	อยากมีลูกกี่คน yàak mii lûuk gìi kon How many kids do you want to have?  	Super Useful Expressions, Part 68  	low-intermediate level	low-intermediate level		
1341	2	รู้ว่าคุณคิดอะไร rúu wâa kun kít à-rai	I	know what you're thinking.  	know what you're thinking.  		
1342	3	จำที่นี่ได้ไหม jam tîi-nîi dâi-mǎi Do you remember this place? 					
1343	4	แล้วนี่อะไร lɛ́ɛo nîi à-rai So what is this?! / What is this?! / And what is this?!  					
1344	5	ไม่ต้องเป็นห่วง mâi-dtɔ̂ng bpen-hùang Don't worry about	me	.  	.  		
1345	6	เป็นเพราะ... bpen-prɔ́... That's because... / It's because...  					
1346	7	เคยคิดบ้างไหม(...) kəəi kít bâang mǎi	...	Have you ever thought...? / Has it ever occurred to you(...)?  	Have you ever thought...? / Ha		
1347	8	ถ้า(คุณ)อยากจะบอกว่า... tâa	kun	yàak jà bɔ̀ɔk wâa... If you want to say...  	yàak jà bɔ̀ɔk wâa... If you wa		
1348	9	เมื่อเช้านี้เอง mʉ̂a-cháao níi eeng Just this morning.  					
1349	10	นี่ฉันเอง nîi chǎn eeng Hey, it's me! / It's me!  					
1350	11	บางทีฉันก็คิด(ว่า)... baang-tii chǎn gɔ̂ɔ kít	wâa	... Sometimes I think...  	... Sometimes I think...  		
1351	12	ผมมีเพื่อนไม่มาก pǒm mii pʉ̂an mâi-mâak I don't have many friends.  					
1352	13	เข้าไปได้ยังไง kâo-bpai dâi yang-ngai How did	he	get in?  	get in?  		
1353	14	(จะ)ทำยังไงดี INFORMAL	jà	tam yang-ngai dii What can I do? / What should I do? / What do I do now? 	tam yang-ngai dii What can I d		
1354	15	รับไปเถอะ(ค่ะ) ráp-bpai tə̀	kà	Take it. / Please accept it. 	Take it. / Please accept it. 		
1355	16	ผมจะไปรู้ได้ยังไงอ่ะ BIT STRONG pǒm jà bpai rúu dâi yang-ngai à How would I know?! / How the hell would I know?!  					
1356	17	แกพูดเรื่องอะไร gɛɛ pûut rʉ̂ang à-rai What are you talking about?!  					
1357	18	ร้องไห้อีกแล้วเหรอ rɔ́ɔng-hâi ìik-lɛ́ɛo rə̌ə Are you crying again?  					
1358	19	ใช้เวลานานแค่ไหน chái-wee-laa naan-kɛ̂ɛ-nǎi How long does it take?  					
1359	20	ตัดทรงอะไรดี dtàt song à-rai dii How would you like your hair cut? / What style do you want?  					
1360	1	กลับบ้านไม่ถูก glàp-bâan mâi-tùuk	I	couldn't find my way back home.  	couldn't find my way back home	Super Useful Expressions, Part 69  	low-advanced level
1361	2	ห่วงแทบแย่ hùang tɛ̂ɛp yɛ̂ɛ	I	've been worried sick. / (I)'ve been really worried about (you).  	've been worried sick. / (I)'v		
1362	3	ต้องค่อยเป็นค่อยไป dtɔ̂ng kɔ̂i bpen kɔ̂i bpai	We	have to take it slow/proceed gradually.  	have to take it slow/proceed g		
1363	4	ยังไม่ถึงขั้นนั้น yang mâi-tʉ̌ng kân nán	We	're not to that point yet. / (We)'re not there yet. / (We)'re not to that stage yet.  	're not to that point yet. / (		
1364	5	เอามาทำอะไร(ได้บ้าง) ao maa tam à-rai	dâi bâang	What can you do with it? / What can you use it for? (an old cell phone, etc.)  	What can you do with it? / Wha		
1365	6	(ไป)โดนตัวไหนมา SLANG	bpai	doon dtua nǎi maa What are you on?! 	doon dtua nǎi maa What are you		
1366	7	ทำอย่างไรถึงจะ(มั่นใจในตนเอง) tam yàang-rai tʉ̌ng jà	mân-jai nai dton eeng	What can I do to (be self-confident)? / What can I do so that I will (have self confidence)?  	What can I do to (be self-conf		
1367	8	ทุกอย่างเข้าที่เข้าทาง túk-yàang kâo-tîi kâo-taang Everything's in order. / Everything's in place.  					
1368	9	(ผม)ไม่มีส่วนเกี่ยวข้องกับ... SEMI-FORMAL	pǒm	mâi-mii sùan-gìao kɔ̂ng gàp... (I) have nothing to do with... / (I)'m not involved with...  	mâi-mii sùan-gìao kɔ̂ng gàp...		
1369	10	นับจากนี้ไป... FORMAL/LITERARY náp jàak níi bpai... From here on out... / From now on... / From this day on...  					
1370	11	ไม่เอาดีกว่า mâi-ao dii-gwàa I'd better not. / I'll pass.  					
1371	12	ยิ่งใหญ่กว่าเดิม yîng-yài gwàa-dəəm Bigger than before! / Better than ever! / More powerful than ever!  					
1372	13	มาไกลขนาดนี้แล้ว(...) maa glai kà-nàat-níi lɛ́ɛo	...	(I)'ve come this far(...)  	(I)'ve come this far(...)  		
1373	14	ยังมีหน้า(มาขอเงินเธอ) yang mii-nâa	maa kɔ̌ɔ ngən təə	You have the nerve to (ask her for money)! / You have the gall to (ask her for  money).  	You have the nerve to (ask her		
1374	15	จะอธิบายเรื่องนี้(ได้)ยังไง jà à-tí-baai rʉ̂ang níi	dâi	yang-ngai How do you explain this?  	yang-ngai How do you explain t		
1375	16	อย่ามาอ้าง(...) yàa maa âang	...	Don't make excuses! / Don't use ... as an excuse!  	Don't make excuses! / Don't us		
1376	17	เรื่องบ้าอะไรกัน rʉ̂ang bâa à-rai gan What the hell is this? / What is this bullshit? 					
1377	18	ไม่ต้องมาทำเป็นไม่รู้เรื่อง STRONG mâi-dtɔ̂ng maa tam-bpen mâi-rúu-rʉ̂ang Don't pretend you don't know what's going on! / Don't act like you know nothing!  					
1378	19	มันไม่ใช่ภาพหลอน man mâi-châi pâap-lɔ̌ɔn It wasn't an illusion. / You weren't hallucinating.  					
1379	20	มันเสียแรง(เปล่าๆ) man sǐa-rɛɛng	bplàao-bplàao	It's a waste of effort. / It was a waste of energy. / We did it for nothing.  	It's a waste of effort. / It w		
1380	1	ฉันอิจฉาคุณ chǎn ìt-chǎa kun I envy you. / I'm jealous!  	Super Useful Expressions, Part 70  	low-intermediate level	low-intermediate level		
1381	2	คิดว่าดีไหม kít-wâa dii mǎi Do you think that's a good idea? / Does that sound good?  					
1382	3	ยังไม่(ได้)จ่ายเงิน yang mâi(dâi) jàai ngən	I	haven't paid yet. / (You) didn't pay yet.  	haven't paid yet. / (You) didn		
1383	4	จะอธิบายยังไงดี jà à-tí-baai yang-ngai dii How can	I	explain?  	explain?  		
1384	5	...จริงไหม ...jing mǎi 					
1385	..., right? / ..., isn't it? / ..., aren't they? (etc.)  						
1386	6	ใช่คนนี้หรือเปล่า châi kon-níi rʉ̌ʉ-bplàao Is this the person?  					
1387	7	ฉันจะบอกให้ทุกคนรู้(ว่า...) chǎn jà bɔ̀ɔk hâi túk kon rúu	wâa...	I'm gonna tell everyone! (...) 	I'm gonna tell everyone! (...)		
1388	8	ต้องการอะไรจากผม STRONG dtɔ̂ng-gaan à-rai jàak pǒm What do	you	want from me?!  	want from me?!  		
1389	9	ผมทำไม่สำเร็จ pǒm tam mâi-sǎm-rèt I didn't make it. / I wasn't successful. / I couldn't do it.  					
1390	10	มาหาฉันหน่อยได้ไหม maa-hǎa chǎn nɔ̀i dâi-mǎi Can you come and see me? / Can you come and visit me?  					
1391	11	น่าปวดหัว nâa-bpùat-hǔa It gives me a headache! / It's really hard!  					
1392	12	ตอบไม่ได้จริงๆ dtɔ̀ɔp mâi-dâi jing-jing	I	really can't answer. / (I) really can't say.  	really can't answer. / (I) rea		
1393	13	(มัน)เป็นเรื่องของฉัน	man	bpen rʉ̂ang kɔ̌ɔng chǎn It's my business. / That's my business. (used when someone asks you something  too personal, etc.)  	bpen rʉ̂ang kɔ̌ɔng chǎn It's m		
1394	14	มีผู้ช่วยด้วย mii pûu-chûai dûai I have a helper. / I have someone to help me. / I have an assistant.  Note: Adding ด้วย	dûai	here gives the meaning that the person normally  doesn't have a helper. 	here gives the meaning that th		
1395	15	เคยเห็นในหนัง... kəəi hěn nai nǎng...	I	(once) saw it in a movie(...)  	(once) saw it in a movie(...) 		
1396	16	ต้องขับรถกลับ(บ้าน) dtɔ̂ng kàp-rót glàp(bâan)	I	have to drive home/back.  	have to drive home/back.  		
1397	17	รักที่สุดในโลก rák tîi-sùt nai lôok I love you more than anything in this world! / I love you so much!  					
1398	18	เอาใหม่ INFORMAL ao mài Try it again. / Once more. Note: Be careful to say ใหม่	mài	with a falling tone. Otherwise, it might  sound like you are asking if someone wants something. 	with a falling tone. Otherwise		
1399	19	ไม่ค่อยมีเงิน mâi-kɔ̂i mii ngən I don't have much money. / I'm short on cash.  					
1400	20	ฉันเขินนะ chan kə̌ən ná I'm shy. / I'm embarrassed.	blushing				
1401	1	ตั้งสติไว้ dtâng sà-dtì wái Get a grip! / Come to your senses! / Pull yourself together!  Note: The literal meaning is 'set up your consciousness/mind'.  	Super Useful Expressions, Part 71  	high-intermediate level	high-intermediate level		
1402	2	ฉันเป็นหนี้บุญคุณเขา(มาก) SEMI-LITERARY chǎn bpen-nîi-bun-kun kǎo	mâak	I'm (very) indebted to him. / I'm feel (very) grateful to him. / I owe him a lot.  	I'm (very) indebted to him. / 		
1403	3	จุดแข็งของคุณคืออะไร(ครับ) jùt-kɛ̌ng kɔ̌ɔng kun kʉʉ à-rai	kráp	What's your strong point/strength?  	What's your strong point/stren		
1404	4	จุดอ่อนของคุณคืออะไร(ครับ) jùt-ɔ̀ɔn kɔ̌ɔng kun kʉʉ à-rai	kráp	What's your weak point/weakness?  	What's your weak point/weaknes		
1405	5	ไอ้สารเลว VULGAR âi sǎa-rá-leeo	You	Bastard! / Son of a bitch!  Note: The literal meaning of this expression doesn't sound  very strong at all. It means 'bad content/substance'.  	Bastard! / Son of a bitch!  No		
1406	6	ฉันเกลียดแก chǎn glìat gɛɛI hate you! / I can't stand you!  					
1407	7	สิ่งเดียวที่ผมทำได้(คือ)... sìng diao tîi pom tam dâi	kʉʉ	... The only thing I could do is... / The only thing I can do is...  	... The only thing I could do 		
1408	8	...ซึ่งก็คือ... SEMI-LITERARY ...sʉ̂ng gɔ̂ɔ kʉʉ... 					
1409	...which is...  						
1410	9	(มันดีมากๆ)อยู่พักนึง	man dii mâak-mâak	yùu pák-nʉ̀ng (It was really great) for a while.  	yùu pák-nʉ̀ng (It was really g		
1411	10	นิยามของคำว่า	X	คืออะไร FORMAL/LITERARY ní-yaam kɔ̌ɔng kam wâa (X) kʉʉ à-rai What's the definition of (X)? / What does (X) mean?  	คืออะไร FORMAL/LITERARY ní-yaa		
1412	11	...จะช่วยให้คุณ(หลับสบายได้มากขึ้น) ...jà chûai hâi kun (làp sà-baai dâi mâak-kʉ̂n 					
1413	...will help you (to sleep better).  						
1414	12	ต้องหัด(พูดไทย) dtɔ̂ng hàt	pûut tai	(You)'ve got to practice/start (speaking Thai).  	(You)'ve got to practice/start		
1415	13	ถ้าไม่ใช่เพราะ(ฉัน) tâa mâi-châi prɔ́(chǎn) If it wasn't/weren't for	me	...  	...  		
1416	14	ชัดเจนเลยว่า... chát-jeen ləəi wâa... Clearly... / Obviously...  					
1417	15	ร้อนจะตาย(อยู่แล้ว) rɔ́ɔn jà dtaai	yùu-lɛ́ɛo	I'm so hot! / It's so hot. 	I'm so hot! / It's so hot. 		
1418	16	อยู่ได้ยังไง yùu dâi yang-ngai How can you stand it?! / How can you live	like that	?! / How can you stand being  here?! 	?! / How can you stand being  		
1419	17	ไม่รู้หายไปไหน mâi-rúu hǎai bpai nǎi	I	don't know where it went. / (I) don't know where it disappeared to.	don't know where it went. / (I		
1420	18	อย่าหลอกตัวเอง yàa lɔ̀ɔk dtua-eeng Don't fool yourself. / Don't kid yourself. / Don't deceive yourself.  					
1421	19	ต้องฟิตร่างกาย dtɔ̂ng fít-râang-gaai	I	gotta get in shape. / (I) gotta get fit.  	gotta get in shape. / (I) gott		
1422	20	(มัน)ต้องอย่างนี้(สิ)	man	dtɔ̂ng yàang-níi (sì) That's it! / Way to go! (Good jobthat's the way to do it.)  	dtɔ̂ng yàang-níi (sì) That's i		
1423	1	ไม่ดีเลย(อ่ะ) mâi-dii ləəi	à	Not good. / That's not good. Note: อ่ะ (à) is a shortened, informal form of ล่ะ (là). 	Not good. / That's not good. N	Super Useful Expressions, Part 72  	high-beginner level
1424	2	มันอยู่ไหน man yùu-nǎi Where is it?  					
1425	3	ฉันเลี้ยง(แมว)(สอง)ตัว chǎn líang	mɛɛo	(sɔ̌ɔng) dtua I have (two) (cats).  	(sɔ̌ɔng) dtua I have (two) (ca		
1426	4	ขับรถไม่เป็น kàp-rót mâi-bpen I can't drive.  					
1427	5	เราอายุเท่ากัน rao aa-yú tâo-gan We're the same age.  					
1428	6	อายุแค่	7	ขวบ aa-yú kɛ̂ɛ (jèt) kùap (She)'s only (7) years old. 	ขวบ aa-yú kɛ̂ɛ (jèt) kùap (She		
1429	7	มันเสียเวลา man sǐa-wee-laa It's a waste of time. 					
1430	8	ขอยืมหน่อย INFORMAL kɔ̌ɔ yʉʉm nɔ̀i Can I borrow it? / Let me borrow it.  					
1431	9	วันนี้เป็น(วันแห่งความรัก) wan-níi bpen	wan hɛ̀ng kwaam-rák	Today is (Valentine's Day).  	Today is (Valentine's Day).  		
1432	10	มีสิ(ครับ) mii sì	kráp	Yes, (I have one/some). / Sure.  	Yes, (I have one/some). / Sure		
1433	11	ผมเข้าใจแล้ว pǒm kâo-jai lɛ́ɛo I understand	now	.  	.  		
1434	12	ฉันทำงานทุกวัน(เลย) chǎn tam-ngaan túk-wan	ləəi	I work every day.  	I work every day.  		
1435	13	เขาไม่อยู่แล้ว kǎo mâi-yùu lɛ́ɛo He's not here's anymore.  					
