sequence|thai|phonetic|description|desc-short|set|level|
3|นี่อะไร(ครับ/คะ)|nîi à-rai; nîi à-rai kráp; nîi à-rai kà|What's this?  |What's this?  |||
4|ฝีมือผมเอง/ทำเอง|fǐi-mʉʉ pǒm eeng / tam-eeng|I made it myself.  |I made it myself.  |||
5|ระวังนะ มันร้อน|rá-wang ná man rɔ́ɔn|Be carefulit's hot. |Be carefulit's hot. |||
6|เก่งนี่|gèng nîi|Wow, you're very good at that! / Great job! / Wow, you're very good at that! /  Brilliant!  |Wow, you're very good at that!|||
7|เรื่องมาก(จัง)|rʉ̂ang mâak; rʉ̂ang mâak jang|You're so fussy/high-maintenance/demanding! |You're so fussy/high-maintenan|||
8|ใช่แล้ว|châi lɛ́ɛo|That's right!  |That's right!  |||
9|รู้ได้ยังไง|rúu dâi yang-ngai|How do you know?  |How do you know?  |||
10|ตกลงครับ|dtòk-long kráp|Okay, (I agree). / Agreed. / Alright.  |Okay, (I agree). / Agreed. / A|||
11|รู้ไหม|rúu-mǎi|Do/Did you know...?  |Do/Did you know...?  |||
12|(ผม)ลืมไป|pǒm lʉʉm bpai; lʉʉm bpai|I forgot.  |I forgot.  |||
13|เดี๋ยวนะคะ|dǐao ná-ká|Wait. / Wait a second. / Hold on.  |Wait. / Wait a second. / Hold |||
14|เจอแล้ว|jəə lɛ́ɛo|I found it/him/her.  |I found it/him/her.  |||
15|ยังไม่ง่วง|yang mâi ngûang|I'm not sleepy yet. |I'm not sleepy yet. |||
16|มาแล้ว|maa lɛ́ɛo|It's here. / She's here. / Here he comes (He's here.)  |It's here. / She's here. / Her|||
17|อีกแล้วเหรอ|iìk lɛ́ɛo rə̌ə|Again?! / Not again! / Him again?! / Another... ?! |Again?! / Not again! / Him aga|||
18|แล้วคุณล่ะ|lɛ́ɛo kun lâ|What about you? / And you?  |What about you? / And you?  |||
19|หึงหรือ|hʉ̌ng rʉ̌ʉ|Are you jealous?  |Are you jealous?  |||
20|เกือบไปแล้ว|gʉ̀ap bpai lɛ́ɛo|That was close! / Close one! / Close call!  |That was close! / Close one! /|||
1|ทำง่าย|tam ngâai|Easy to make!  |Easy to make!  |Super Useful Short Expressions, Part 4  |low-intermediate level|
2|อร่อยจังเลย|à-rɔ̀i jang ləəi|It's delicious! / This is great!  |It's delicious! / This is grea|||
3|ไม่มีอะไรเหลือ|mâi mii àrai lʉ̌a|There's nothing left. / It's all gone.  |There's nothing left. / It's a|||
4|ต้องอย่างนั้น(สิ)|dtɔ̂ng yàang nán; dtɔ̂ng yàang nán sì|Now you're talking! / That's it! / That's what I'm talking about!  |Now you're talking! / That's i|||
5|ไม่มีทาง|mâi mii taang|No way!  |No way!  |||
6|ดูแลตัวเองดีๆนะ|duu-lɛɛ dtua-eeng dii-dii ná [kráp/ká]|Take good care of yourself. / Please take care.  |Take good care of yourself. / |||
7|ไม่ชอบขี้หน้าเขา SLANG|mâi chɔ̂ɔp kîi-nâa kǎo|I can't stand him! / I hate the sight of him!|I can't stand him! / I hate th|||
8|สวยไม่ใช่เล่น SLANG|sǔai mâi châi lên|She's really beautiful! / She's pretty darn good lookin'!  |She's really beautiful! / She'|||
9|คุณต้องการอะไร|kun dtɔ̂ng-gaan à-rai|What do you want? / What do you need?  |What do you want? / What do yo|||
10|ตัดใจไม่ได้|dtàt-jai mâi-dâi|I can't get over her. / I can't forget her. / I can't let her go. / I can't stop thinking  about her. |I can't get over her. / I can'|||
11|ทำไมไม่บอก(ผม)|tam-mai mâi bɔ̀ɔk; tam-mai mâi bɔ̀ɔk pǒm|Why didn't you tell me?  |Why didn't you tell me?  |||
