sequence|thai|phonetic|description|desc-short|set|level|
14|ผมไม่ได้สัญญา(อะไร) pǒm mâi-dâi sǎn-yaa|à-rai|I didn't promise (anything).  |I didn't promise (anything).  |||
15|เราเหมือนกันมาก|rao mʉ̌an-gan mâak|We're very similar. / We're so much alike.  |We're very similar. / We're so|||
16|หน้าตาเหมือนกันมาก|nâa-dtaa mʉ̌an-gan mâak|(They) look very similar. / (They) look so much alike.  |(They) look very similar. / (T|||
17|ฉันซื้อ(ขนม)มาฝาก chǎn sʉ́ʉ|kà-nǒm|maa fàak I bought some (sweets) for you.  |maa fàak I bought some (sweets|||
18|ครั้งเดียวไม่(เคย)พอ kráng-diao mâi|kəəi|pɔɔ Once is not (never) enough.  |pɔɔ Once is not (never) enough|||
19|อย่ามาโทษฉัน|yàa maa tôot chǎn|Don't blame me! |Don't blame me! |||
20|อย่าโทษตัวเอง|yàa tôot dtua-eeng|Don't blame yourself.  |Don't blame yourself.  |||
1|ว่าไง INFORMAL|wâa-ngai|What's up?  Note: This has a lot of other meanings.  |What's up?  Note: This has a l|Super Useful Short Expressions, Part 19  |low-intermediate level|
2|ช่วยไม่ได้|chûai mâi-dâi|It can't be helped. / I can't help it. / There's nothing I can do about it.  Note: This also means 'I can't help.'  |It can't be helped. / I can't |||
3|เขาหนีไปแล้ว|kǎo nǐi bpai lɛ́ɛo|He ran away (already) / He's escaped. / He's gone (ran away/escaped).  |He ran away (already) / He's e|||
4|ไปเลย INFORMAL/ROUGH|bpai ləəi|Go! / Go on! / Go ahead. |Go! / Go on! / Go ahead. |||
5|เหม็น|měn|It stinks! / It smells bad.  |It stinks! / It smells bad.  |||
6|(...)(ก็)แค่นั้นเอง|...|(gɔ̂ɔ)kɛ̂ɛ-nán eeng That's all it is. / That's all. / ...is all.  |(gɔ̂ɔ)kɛ̂ɛ-nán eeng That's all|||
7|ฉันเคยถามเธอว่า...|chǎn kəəi tǎam təə wâa...|I('ve) asked you before.../ I used to ask you... |I('ve) asked you before.../ I |||
8|เธอจะบอกว่า...|təə jà bɔ̀ɔk wâa...|Are you gonna tell me...? / Are you saying...?|Are you gonna tell me...? / Ar|||
9|ถึงเวลา(ที่)ต้อง... tʉ̌ng wee-laa|tîi|dtɔ̂ng... It's time to... / The time has come to...  |dtɔ̂ng... It's time to... / Th|||
10|ไม่เคยฟัง|mâi kəəi fang|You never listen. / You never listen to me. |You never listen. / You never |||
11|รู้สึกไม่ค่อยสบาย|rúu-sʉ̀k mâi-kɔ̂i sà-baai|I don't feel so well. / I'm not feeling well. |I don't feel so well. / I'm no|||
12|เป็นแค่งานอดิเรก|bpen kɛ̂ɛ ngaan-à-dì-rèek|It's just a hobby.  |It's just a hobby.  |||
13|ไว้ใจใครไม่ได้|wái-jai krai mâi-dâi|You can't trust anyone.  |You can't trust anyone.  |||
14|ขอตัวก่อนนะ(ครับ) FORMAL kɔ̌ɔ-dtua gɔ̀ɔn ná|kráp|(Please) excuse me (I have to go). / Goodbye.  |(Please) excuse me (I have to |||
15|คิดไปเอง|kít bpai eeng|You're imagining things. / It's all in your head.  |You're imagining things. / It'|||
16|ผมพูดความจริง|pǒm pûut kwaam-jing|I'm telling the truth.  |I'm telling the truth.  |||
17|อย่าหาเรื่องนะ|yàa hǎa-rʉ̂ang ná|Don't make trouble.  |Don't make trouble.  |||
18|ขอเวลาส่วนตัว|kɔ̌ɔ wee-laa sùan-dtua|Please give (us/me) some time alone. |Please give (us/me) some time |||
19|ผมผิดเอง|pǒm pìt eeng|It was my fault. / It was my mistake. / My bad. |It was my fault. / It was my m|||
20|ต่อไปนี้|dtɔ̀ɔ-bpai-níi|From now on... |From now on... |||
1|(น้อย)อยู่ไหน|nɔ́ɔi|yùu nǎi Where's (Noi )?  |yùu nǎi Where's (Noi )?  |Super Useful Short Expressions, Part 20  |high-beginner level|
2|เธอโสด|təə sòot|She's single. |She's single. |||
3|เธอเป็นแฟนคนแรก(ของผม) təə bpen fɛɛn kon-rɛ̂ɛk|kɔ̌ɔng pǒm|She was my first girlfriend.  |She was my first girlfriend.  |||
4|เธอเป็นคนขี้อาย(มาก) təə bpen kon kîi-aai|mâak|She's (really) shy. |She's (really) shy. |||
5|เธอก็เลย...|təə gɔ̂ɔ ləəi...|So you/she... |So you/she... |||
6|นั่นอะไร(ครับ) nân à-rai|kráp|What's that?  |What's that?  |||
7|ฉันกลัวผีอ่ะ chǎn glua pǐi|à|I'm afraid of ghosts. Note: อ่ะ (à) is an informal, shortened form of ล่ะ (là).  |I'm afraid of ghosts. Note: อ่|||
8|ผมไม่กลัวผี(หรอก) pǒm mâi glua pǐi|rɔ̀ɔk|I'm not afraid of ghosts (at all).  |I'm not afraid of ghosts (at a|||
9|ฉัน(ก็)ไม่คิดว่า... chǎn|gɔ̂ɔ|mâi kít wâa... I didn't think (that)... / I don't think (that)...  |mâi kít wâa... I didn't think |||
10|มันมากเกินไป|man mâak-gəən-bpai|That's/It's too much. |That's/It's too much. |||
11|จำไม่ได้|jam mâi-dâi|I can't remember.  |I can't remember.  |||
12|ผมเห็นกับตา|pǒm hěn-gàp-dtaa|I saw it myself. / I saw it with my own eyes.  |I saw it myself. / I saw it wi|||
13|ยังไม่เคยไป(...) yang mâi-kəəi bpai|...|I've never been there. / I haven't been to... yet.  |I've never been there. / I hav|||
14|ไม่น่าเชื่อ|ว่า...|mâi-nâa-chʉ̂a (wâa...) Unbelievable! / Incredible! / It's hard to believe...  |mâi-nâa-chʉ̂a (wâa...) Unbelie|||
15|จะไปไหนกันดี|jà bpai-nǎi gan dii|Where should we go? / Where do you wanna go?  |Where should we go? / Where do|||
16|ผม(ก็)ตัดสินใจแล้ว pǒm|gɔ̂ɔ|dtàt-sǐn-jai lɛ́ɛo I've decided. / I've made up my mind.  |dtàt-sǐn-jai lɛ́ɛo I've decide|||
17|พูดจริงเหรอ|pûut jing rə̌ə|Are you serious? (about what you are saying/what you told me)  |Are you serious? (about what y|||
18|(โอเค)... คุณชนะ|oo-kee|... kun chá-ná (Okay)...You win. (I lose; I was wrong, etc.)  |... kun chá-ná (Okay)...You wi|||
19|(ผม)จะโทรไป(หา)|pǒm|jà too-bpai (hǎa) I'll call you.  |jà too-bpai (hǎa) I'll call yo|||
20|ตอนนี้เลย|dtɔɔn-níi ləəi|Right now. / Now!  |Right now. / Now!  |||
1|ลองเข้าไปดู|lɔɔng kâo bpai duu|Go and have a look. / Go in and check it out.  |Go and have a look. / Go in an|Super Useful Short Expressions, Part 21  |low-intermediate level|
2|ไม่ต้องห่วงเรื่อง...|mâi dtɔ̂ng hùang rʉ̂ang...|Don't worry about... / You don't need to worry about... |Don't worry about... / You don|||
3|ไม่มีใครฟังฉัน(เลย) mâi mii krai fang chǎn|ləəi|No one listens to me. / No one's listening.  |No one listens to me. / No one|||
4|ห้ามปฏิเสธ|hâam bpà-dtì-sèet|You can't say no. / You can't refuse. |You can't say no. / You can't |||
5|ฉันก็เหมือนกัน|chǎn gɔ̂ɔ mʉ̌an-gan|Me too. / So do I. / I do, too. |Me too. / So do I. / I do, too|||
6|(คุณ)ลืมอะไรไปหรือเปล่า|kun|lʉʉm à-rai bpai rʉ̌ʉ-bplàao Have you forgotten something, (or what)? / Did you forget something?  |lʉʉm à-rai bpai rʉ̌ʉ-bplàao Ha|||
7|ที่ไหนดี(ล่ะ) tîi-nǎi dii|lâ|Where's good? / Where do you want to (go)?  |Where's good? / Where do you w|||
8|ไม่จริงใช่ไหม|mâi-jing châi-mǎi|It's not true, right? / That's not true, is it?  |It's not true, right? / That's|||
9|ไปรู้มาจากไหน|bpai rúu maa-jàak nǎi|Where did you find out? / Where did you learn (that)?  Note: This expression is a bit strong.  |Where did you find out? / Wher|||
10|จะกลับแล้วหรือ(ครับ) jà glàp lɛ́ɛo rʉ̌ʉ|kráp|Are you leaving? / Are you going back (now)?  |Are you leaving? / Are you goi|||
11|จะเอาไปทำไม|jà ao bpai tam-mai|What are you gonna do with it? / What do you need it for?  |What are you gonna do with it?|||
12|ทำไมทำกับฉันอย่างนี้|tam-mai tam gàp chǎn yàang-níi|Why are you doing this to me? / Why are you treating me like this? |Why are you doing this to me? |||
13|ไม่ให้เกียรติ(ผู้หญิง) mâi-hâi gìat|pûu-yǐng|He doesn't respect (women).  Note: The ร(r) in เกียรติ(gìat) is silent.  |He doesn't respect (women).  N|||
14|สุดทนแล้ว|sùt ton lɛ́ɛo|I can't stand it any more! / This is unbearable!  |I can't stand it any more! / T|||
15|ไม่น่าเลย INFORMAL|mâi-nâa ləəi|It/This shouldn't have happened! / (He) shouldn't have done that! (meaning is  close to 'Unbelievable!') / Doggone it!  |It/This shouldn't have happene|||
16|เป็นเรื่องของครอบครัว|bpen rʉ̂ang kɔ̌ɔng krɔ̂ɔp-krua|It's a family matter.  |It's a family matter.  |||
17|เข้าเค้า(นะ) IDIOM kâo-káo|ná|That makes sense. / That sounds reasonable. (=it matches the facts)  |That makes sense. / That sound|||
18|แปลกจัง|bplɛ̀ɛk-jang|That's odd. / That's strange.  |That's odd. / That's strange. |||
19|พิสูจน์แล้ว|pí-sùut lɛ́ɛo|(He/They) proved it. / They've already proven (it).  |(He/They) proved it. / They've|||
20|เท่ดี(นะ) INFORMAL têe-dii(ná) Cool! / Awesome! / Nice!  ||||||
1|ห้ามใจไม่ได้|hâam-jai mâi-dâi|(He) couldn't resist. (He) couldn't help himself.Note: This is often used for temptations.  |(He) couldn't resist. (He) cou|Super Useful Short Expressions, Part 22  |high-intermediate level|
2|รวบรวมสติอน่อย/ไว้|rûap-ruam sà-dtì nɔ̀ì/wái|Pull yourself together! / Compose yourself! / Try to gather your senses! /  Concentrate!  |Pull yourself together! / Comp|||
3|ชอบยุ่งเรื่องชาวบ้าน|chɔ̂ɔp yûng rʉ̂ang chaao-bâan|He likes to mess in other people's business!  |He likes to mess in other peop|||
4|ต้องเป็นฝีมือ|Dave|dtɔ̂ng bpen fǐi-mʉʉ (Dave) It had to be (Dave) (who did it)! / It must have been (Dave)!  Note: This is often used for mischief or sneaky actions. |dtɔ̂ng bpen fǐi-mʉʉ (Dave) It |||
5|เราผ่านอะไรมาเยอะ|rao pàan à-rai maa yə́|We've been through a lot.  |We've been through a lot.  |||
6|ยากเหลือเกินที่จะ... SEMI-LITERARY/POETIC|yâak lʉ̌a-gəən tîi jà...|It's so difficult to...  |It's so difficult to...  |||
7|ตาต่อตาฟันต่อฟัน|dtaa dtɔ̀ɔ dtaa fan dtɔ̀ɔ fan|an eye for any eye, a tooth for a tooth / tit for tat  |an eye for any eye, a tooth fo|||
8|คุณคนเดียวเท่านั้นที่...|kun kon-diao tâo-nán tîi...|You're the only one who...  |You're the only one who...  |||
9|รัก(เขา)สุดหัวใจ SEMI-LITERARY/POETIC rák|kǎo|sùt hǔa jai I love her with all my heart.  |sùt hǔa jai I love her with al|||
10|คุณพิสูจน์ตัวเองแล้ว(ว่า)... kun pí-sùut dtua-eeng lɛ́ɛo|wâa|... You've proven yourself (that)...  |... You've proven yourself (th|||
11|แก้ไขไม่ได้แล้ว|gɛ̂ɛ-kǎi mâi-dâi lɛ́ɛo|It's irreparable. / It can't be fixed. |It's irreparable. / It can't b|||
12|ยิ่งไปกว่านั้น... SEMI-FORMAL|yîng bpai gwàa nán...|Moreover... / In addition... / Besides... / More than that... / What's more... /On top of that...  |Moreover... / In addition... /|||
13|(มัน)ไม่ใช่อย่างที่คุณคิด(นะ) man mâi-châi yàang-tîi kun kít|ná|It's not like you think. / It's not what you think. / It's not what it looks like.  |It's not like you think. / It'|||
14|ทุกคนมีสิทธิ์ที่จะเลือก|túk kon mii-sìt tîi jà lʉ̂ak|Everyone has the right to choose.  |Everyone has the right to choo|||
15|ถ้าขาดเหลืออะไรบอกฉันได้เลยนะคะ|tâa kàat-lʉ̌a à-rai bɔ̀ɔk chǎn dâi leei ná-ká|If you need anything else, just let me know.  |If you need anything else, jus|||
16|ขอแสดงความเสียใจ(ด้วย)(นะ) FORMAL kɔ̌ɔ sà-dɛɛng kwaam-sǐa-jai|dûai|(ná) My (deepest) condolences. / I'm so sorry to hear about your loss.  |(ná) My (deepest) condolences.|||
17|มากกว่าสิ่งใด LITERARY|mâak-gwàa sìng-dai|More than anything. |More than anything. |||
18|เราเคยรู้จักกันมาก่อนหรือเปล่า|rao kəəi rúu-jàk-gan maa-gɔ̀ɔn rʉ̌ʉ bplàao|Have we met before?  |Have we met before?  |||
19|คงไม่(ครับ/ค่ะ) kong mâi|kráp/kà|I don't think so. / Probably not.  |I don't think so. / Probably n|||
20|ว่ากันว่า...|wâa-gan-wâa...|They say (that)... / It's said that...  |They say (that)... / It's said|||
1|คุณพูดอะไร|kun pûut à-rai|What are you talking about? / What are you saying? |What are you talking about? / |Super Useful Short Expressions, Part 23  |low-intermediate level|
2|จะเอาอะไร INFORMAL|jà ao à-rai|What do you want?  |What do you want?  |||
3|รู้ไหมทำไม(...) rúu mǎi tam-mai(...) Do you know why(...)?  ||||||
4|กินข้าวรึยัง|gin-kâao rʉ́-yang|Have you eaten yet?  |Have you eaten yet?  |||
5|ทานข้าวรึยัง SEMI-FORMAL|taan-kâao rʉ́-yang|Have you eaten yet?  |Have you eaten yet?  |||
6|คุณรู้เรื่องนี้ได้ยังไง|kun rúu-rʉ̂ang níi dâi yang-ngai|How did you find out? / How do you know about it/that? |How did you find out? / How do|||
7|แล้วฉันล่ะ|lɛ́ɛo chǎn lâ|"What about me?!  Note: This shows surprise and has the effect of ""Hey/Well/Wait...""  "|What about me?!  Note: This sh|||
8|เป็นยังไงบ้างลูก|bpen-yang-ngai bâang lûuk|How are you honey/sweetie?  Note: This is said by a mother or father to their child.  |How are you honey/sweetie?  No|||
9|มันทำได้ยาก|man tam-dâi-yâak|It's hard to do.  |It's hard to do.  |||
10|อาจเป็น... ก็ได้|aat bpen... gɔ̂ɔ-dâi|It might/could be...  |It might/could be...  |||
11|ไม่มีเงินเลย|mâi mii ngən ləəi|I don't have any money (at all).  |I don't have any money (at all|||
12|อยากจะอ้วก|yàak jà ûak|I wanna throw up. / I'm gonna throw up. |I wanna throw up. / I'm gonna |||
13|ขอบใจที่มา INFORMAL|kɔ̀ɔp-jai tîi maa|Thanks for coming. Note: Used casually to a person younger than you or to a child.  |Thanks for coming. Note: Used |||
14|ทำตัวตามสบายนะ|tam-dtua dtaam-sà-baai ná|Make yourself at home. / Make yourself comfortable.  |Make yourself at home. / Make |||
15|ฉันจะพาคุณไปเที่ยว|chǎn jà paa kun bpai-tîao|I'll take you around. / I'll show you around (=give you a tour). / I'll take you out.  |I'll take you around. / I'll s|||
16|เธอคือคนที่ใช่|təə kʉʉ kon-tîi-châi|She's the one (for me). |She's the one (for me). |||
17|(ฉัน)ออกเวรแล้ว|chǎn|ɔ̀ɔk-ween lɛ́ɛo My shift's over. / I'm off (now).  |ɔ̀ɔk-ween lɛ́ɛo My shift's ove|||
18|เขารอผมอยู่|kǎo rɔɔ pǒm yùu|He's waiting for me. / She's waiting for me.  |He's waiting for me. / She's w|||
19|หมดเวลา(...)แล้ว mòt-wee-laa(...)lɛ́ɛo Time's up. /|X|is over.  |is over.  |||
20|ฉันแทบไม่รู้จักเขา|chǎn tɛ̂ɛp mâi-rúu-jàk kǎo|I barely/hardly know him.  |I barely/hardly know him.  |||
1|เอาเข้าจริง... IDIOM|ao-kâo-jing...|When it comes down to it... / In actual practice.../ When you really do/try it.../  Really... / Actually... |When it comes down to it... / |Super Useful Short Expressions, Part 24  |high-intermediate level|
2|อย่ามาแตะต้องตัวฉัน|yàa maa dtɛ̀-dtɔ̂ng dtua chǎn|Don't touch me! / Keep your hands off me! / Don't Fxxxing touch me!  Note: this is quite strong and derogatory.  |Don't touch me! / Keep your ha|||
3|(เรา)มีอะไรหลายๆอย่างเหมือนกัน|rao|mii à-rai lǎai-lǎai yàang mʉ̌an-gan) (We) have a lot in common.  |mii à-rai lǎai-lǎai yàang mʉ̌a|||
4|นี่อาจจะเป็นครั้งสุดท้าย(ที่)... nîi àat-jà bpen kráng-sùt-táai|tîi|... This might be the last time (that)...  |... This might be the last tim|||
5|อย่างน้อยก็...|yàang-nɔ́ɔi gɔ̂ɔ...|(Well,) at least...  |(Well,) at least...  |||
6|ต้องไปแล้วจริงๆ|dtɔ̂ng bpai lɛ́ɛo jing-jing|I really got to go. / I really need to leave.  |I really got to go. / I really|||
7|อยู่ต่อไม่ได้เหรอ(คะ) yùu dtɔ̀ɔ mâi-dâi rə̌ə|ká|Can't you stay longer?  |Can't you stay longer?  |||
8|ผมถูกกำหนดมา...|pǒm tùuk gam-nòt maa...|I was destined to...  |I was destined to...  |||
9|ไม่ดีเท่าที่ควร|mâi-dii tâo-tîi kuan|Not as good as it should be. |Not as good as it should be. |||
10|เรารู้จักกันตั้งแต่สมัยเรียน|rao rúu-jàk-gan dtâng-dtɛ̀ɛ sà-mǎi rian|We've known each other since high school/college (etc.)  |We've known each other since h|||
11|ขอแนะนำว่า...|kɔ̌ɔ nɛ́-nam wâa...|I suggest (that)... / I recommend (that)... |I suggest (that)... / I recomm|||
12|ผมก็รู้สึกเช่นนั้น FORMAL|pǒm gɔ̂ɔ rúu-sʉ̀k chên-nán|I feel the same way. / The feeling is mutual.  |I feel the same way. / The fee|||
13|(มัน)มีผลต่อ...|man|mii-pǒn-dtɔ̀ɔ... (It) affects/has an effect on... |mii-pǒn-dtɔ̀ɔ... (It) affects/|||
14|(น่ารัก)อะไรอย่างนี้|nâa-rák|à-rai yàang-níi How (cute) you are! / What a (cute)...!  |à-rai yàang-níi How (cute) you|||
15|พูดไม่ถูก|pûut mâi-tùuk|(I) don't know what to say. (at a loss for words) OR (I) didn't say it correctly.  |(I) don't know what to say. (a|||
16|คิดไม่ออก|kít mâi-ɔ̀ɔk|(I) have no idea. / (I) can't think of it (right now).  |(I) have no idea. / (I) can't |||
17|ป้องกันไม่ให้|เกิดขึ้นอีก|bpɔ̂ng-gan mâi-hâi (gə̀ət-kʉ̂n ìik) Stop/prevent (it from happening again).  |bpɔ̂ng-gan mâi-hâi (gə̀ət-kʉ̂n|||
18|ตลกสิ้นดี|dtà-lòk sîn-dii|That's ridiculous! / That's laughable! / What a joke! Note: this is a strong expression.  |That's ridiculous! / That's la|||
19|(ผม)ตาสว่าง LITERARY|pǒm|dtaa-sà-wàang My eyes were opened. / I saw the light.  |dtaa-sà-wàang My eyes were ope|||
20|นี่คือสาเหตุที่... SEMI-LITERARY|nîi kʉʉ sǎa-hèet tîi...|That's (the reason) why...  |That's (the reason) why...  |||
1|คุณไม่เคยรักผมเลย|kun mâi-kəəi rák pǒm ləəi|You never loved me. / You were never in love with me.  |You never loved me. / You were|Super Useful Short Expressions, Part 25  |low-intermediate level|
2|ฉันผิดไปแล้ว|chǎn pìt bpai lɛ́ɛo|I was wrong. / I make a mistake. |I was wrong. / I make a mistak|||
3|เข้าไปเลย|kâo bpai ləəi|Come (on) in. / Get in.  |Come (on) in. / Get in.  |||
4|ไม่รบกวนแล้ว(ค่ะ/ครับ) mâi róp-guan lɛ́ɛo|kà/kráp|I won't bother you anymore. / I'll let you get back to... (...what you were doing).  |I won't bother you anymore. / |||
5|(ฉัน)เชื่อเรื่อง...|chǎn|chʉ̂a rʉ̂ang... (I) believe in...  |chʉ̂a rʉ̂ang... (I) believe in|||
6|(ฉัน)ไม่เชื่อเรื่อง...|chǎn|mâi chʉ̂a rʉ̂ang... (I) don't believe in...  |mâi chʉ̂a rʉ̂ang... (I) don't |||
7|ขอบคุณอีกครั้ง(ครับ/ค่ะ) kɔ̀ɔp-kun ìik-kráng|kráp/kà|Thanks again. /Thank you again.  |Thanks again. /Thank you again|||
8|ไม่มีใครรู้|mâi-mii krai rúu|No one knows. / No one knew.  |No one knows. / No one knew.  |||
9|(มัน)เป็นเรื่องเดียวกัน|man|bpen rʉ̂ang diao-gan It's the same thing (matter). / It's the same story.  |bpen rʉ̂ang diao-gan It's the |||
10|แค่แวะมาทักทาย|kɛ̂ɛ wɛ́ maa ták-taai|I just dropped/stopped by to say hello.  |I just dropped/stopped by to s|||
11|ฉันจะพาไปเอง|chǎn jà paa bpai eeng|I'll take you (there) (myself).  |I'll take you (there) (myself)|||
12|ต้องต่อคิว|dtɔ̂ng dtɔ̀ɔ kiu|You have to get/stand in line.  |You have to get/stand in line.|||
13|ฉันเพิ่งกลับมาจาก(ญี่ปุ่น) chǎn pə̂ng glàp maa-jàak|yîi-bpùn|I just got back from (Japan).  |I just got back from (Japan). |||
14|กลับกันได้แล้ว|glàp-gan dâi lɛ́ɛo|We should get going. / Let's go.  |We should get going. / Let's g|||
15|ผมก็เลือกไปแล้ว|pǒm gɔ̂ɔ lʉ̂ak bpai lɛ́ɛo|I've made my decision. / I've already chosen.  |I've made my decision. / I've |||
16|นั่น(ก็)เพราะว่า... nân|gɔ̂ɔ|prɔ́-wâa... That's/It's because...  |prɔ́-wâa... That's/It's becaus|||
17|ผมอดไม่ได้ที่จะ...|pǒm òt mâi-dâi tîi jà...|I can't help but...  |I can't help but...  |||
18|สมมุติว่า...|sǒm-mút wâa...|Suppose... / Let's say... |Suppose... / Let's say... |||
19|ถ้าสมมุติว่า...|tâa sǒm-mút wâa...|Suppose if... / Let's say if... |Suppose if... / Let's say if..|||
20|คุณ(กำลัง)มองหาใคร kun|gam-lang|mɔɔng-hǎa krai Who are you looking for?  |mɔɔng-hǎa krai Who are you loo|||
1|ผมเคยแอบชอบเธอ|pǒm kəəi ɛ̀ɛp-chɔ̂ɔp təə|I used to have a crush on her.  Note: แอบปิ๊ง (ɛ̀ɛp-bpíng) is slang for 'have a crush on someone'.  |I used to have a crush on her.|Super Useful Short Expressions, Part 26  |low-intermediate level|
2|(หลง)รัก(เธอ)ตั้งแต่แรกเห็น|lǒng|rák (təə) dtâng-dtɛ̀ɛ rɛ̂ɛk hěn (I) fell in love with (her) at first sight/the first time I saw (her).  |rák (təə) dtâng-dtɛ̀ɛ rɛ̂ɛk hě|||
3|เขานอกใจฉัน|kǎo nɔ̂ɔk-jai chǎn|He cheated on me.  |He cheated on me.  |||
4|ต้องรู้ก่อนว่า...|dtɔ̂ng rúu gɔ̀ɔn wâa...|(I) (first) need to know... / (I) have to know... |(I) (first) need to know... / |||
5|ฉัน(ก็)รู้สึกเหมือนกัน chǎn|gɔ̂ɔ|rúu-sʉ̀k mʉ̌an-gan I feel the same way.  |rúu-sʉ̀k mʉ̌an-gan I feel the |||
6|ไม่รู้เหมือนกัน|mâi-rúu mʉ̌an-gan|I don't know (either).  |I don't know (either).  |||
7|ไม่ทราบเหมือนกันค่ะ FORMAL|mâi-sâap mʉ̌an-gan kà|I don't know (either).  |I don't know (either).  |||
8|ไม่เก่งเท่าไหร่|mâi gèng tâo-rài|I'm not so good at... / I'm not very good. (used for skills, sports, languages, etc.)  |I'm not so good at... / I'm no|||
9|ประมาณว่า... INFORMAL|bprà-maan wâa...|It's like... / Like... (appear or seem like... / be like...)  |It's like... / Like... (appear|||
10|ก็คงเป็น...|gɔ̂ɔ kong bpen...|(Well), it's probably/gotta be/must be...  |(Well), it's probably/gotta be|||
11|มีคำถามเกี่ยวกับ...|mii kam-tǎam gìao-gàp...|(I) have a question about...  |(I) have a question about...  |||
12|ใกล้จะจบแล้ว|glâi jà jòp lɛ́ɛo|(We) are almost finished. / It's almost over. / I'm graduating soon.  |(We) are almost finished. / It|||
13|เคล็ดลับคืออะไร|klét-láp kʉʉ à-rai|What's the trick/secret? (used for a special technique of doing something)  |What's the trick/secret? (used|||
14|เคล็ดลับ(ก็)คือ... klét-láp|gɔ̂ɔ|kʉʉ... The trick/secret is... |kʉʉ... The trick/secret is... |||
15|ถ้ามีเวลาว่าง...|tâa mii wee-laa-wâang...|If (you) have free time...; If (you) are free/have spare time...  |If (you) have free time...; If|||
16|ไม่ค่อยมีเวลา|mâi-kɔ̂i mii wee-laa|(I) don't have much time. / (I) didn't have much time. / (I)'m pressed for time. |(I) don't have much time. / (I|||
17|(มัน)ไม่ใช่สิ่งสำคัญ|man|mâi-châi sìng sǎm-kan It's not important. / It doesn't matter. / It's no biggie  |mâi-châi sìng sǎm-kan It's not|||
18|...ไม่สมบูรณ์แบบ|...mâi sǒm-buun-bɛ̀ɛp|||||
..isn't perfect. / ...is imperfect.  |||||||
19|(สวดมนต์)ก่อนนอนทุกคืน|sùat-mon|gɔ̀ɔn nɔɔn túk-kʉʉn (He prays) every night before going to bed. |gɔ̀ɔn nɔɔn túk-kʉʉn (He prays)|||
20|เขาได้รับรางวัลออสการ์|kǎo dâi-ráp raang-wan-ɔ́ɔt-sà-gâa|He won an Oscar.  |He won an Oscar.  |||
1|ฉันรักคุณ|chǎn rák kun|I love you. |I love you. |Super Useful Short Expressions, Part 27  |high-beginner level|
2|ผมก็รักคุณ|pǒm gɔ̂ɔ rák kun|I love you too.  Note: ก็ (gɔ̂ɔ) here means also or too.  |I love you too.  Note: ก็ (gɔ̂|||
3|ฉันรักเขา|chǎn rák kǎo|I love him. / I'm in love with him.  |I love him. / I'm in love with|||
4|ฉันกำลังมีความรัก|chǎn gam-lang mii kwaam-rák|I'm in love.  |I'm in love.  |||
5|ผมตกหลุมรักเธอ|pǒm dtòk-lǔm-rák təə|I fell in love with her.  |I fell in love with her.  |||
6|ไม่มีแฟน|mâi mii fɛɛn|(I) don't have a boyfriend/girlfriend. |(I) don't have a boyfriend/gir|||
7|ไม่มีเจ้าของ|mâi mii jâo-kɔ̌ɔng|(He)'s not taken.  |(He)'s not taken.  |||
8|ฉันยังไม่แต่งงาน|chǎn yang mâi dtɛ̀ng-ngaan|I'm not married (yet).  |I'm not married (yet).  |||
9|ผมหย่าแล้ว|pǒm yàa lɛ́ɛo|I'm divorced.  |I'm divorced.  |||
10|เขาแต่งงานแล้ว|kǎo dtɛ̀ng-ngaan lɛ́ɛo|He's married (already).  |He's married (already).  |||
11|แต่งงานกับผมนะ INFORMAL|dtɛ̀ng-ngaan gàp pǒm ná|Marry me. / Will you marry me?  |Marry me. / Will you marry me?|||
12|เราจะแต่งงานกัน|rao jà dtɛ̀ng-ngaan gan|We're getting married.  |We're getting married.  |||
13|ฉันเลิกกับเขาแล้ว|chǎn lə̂ək gàp kǎo lɛ́ɛo|I broke up with him.  |I broke up with him.  |||
14|เราเลิกกัน(แล้ว) rao lə̂ək gan|lɛ́ɛo|We broke up.  |We broke up.  |||
15|เขาทิ้งฉัน|kǎo tíng chǎn|He left me. / He dumped me.  |He left me. / He dumped me.  |||
16|มันเป็นแค่ความฝัน|man bpen kɛ̂ɛ kwaam-fǎn|It was only/just a dream.  |It was only/just a dream.  |||
17|มันเป็นฝันร้าย|man bpen fǎn-ráai|It was a nightmare.  |It was a nightmare.  |||
18|ทีละเล็ก(ทีละน้อย) tii-lá-lék|tii-lá-nɔ́ɔi|Little by little |Little by little |||
19|ไม่ยากเลย|mâi-yâak ləəi|It's not hard at all. / That wasn't (so) hard. |It's not hard at all. / That w|||
20|ไม่เลวนะ|mâi-leeo ná|Not bad. / Not too bad.  |Not bad. / Not too bad.  |||
1|คุณเคย...|บ้าง|ไหม kun kəəi... (bâang) mǎi Have you ever... ?  |ไหม kun kəəi... (bâang) mǎi Ha|Super Useful Short Expressions, Part 28  |low-intermediate level|
2|มีคนเคยบอกว่า...|mii kon kəəi bɔ̀ɔk wâa...|Someone once told me...  |Someone once told me...  |||
3|เคยทำงานเป็น(แคชเชียร์) kəəi tam-ngaan bpen|kɛ́t-chia|I used to be a (cashier). / I used to work as a (cashier).  |I used to be a (cashier). / I |||
4|ในชีวิตประจำวัน...|nai chii-wít bprà-jam-wan...|In everyday life... / In daily life...  |In everyday life... / In daily|||
5|...ในนาทีสุดท้าย|nai naa-tii sùt-táai|||||
..at the last minute/moment.  |||||||
