Vowel	Assamese	Bengali	Devanagari	Gujarati	Odia	Gurmukhi	Meitei Mayek[b]	Tibetan	Lepcha	Limbu	Tirhuta	Kaithi	Sylheti Nagari	Brahmi	Tamil	Kannada	Telugu	Sinhala	Malayalam	Chakma	Burmese	Khmer[c]	Thai[d]	Lao[d]	Cham	Balinese	Javanese	Sundanese	Lontara	Rejang	Batak (Toba)	Baybayin	Buhid	Hanunuo	Tagbanwa	ISO
kē	কে	কে	के	કે	କେ	ਕੇ	ꯀꯦ	ཀེ	ᰀᰬ	ᤁᤣ	𑒏𑒹	𑂍𑂵	ꠇꠦ	𑀓𑁂	கே	ಕೇ	కే	කේ	കേ	𑄇𑄬	ကေး	កេ	เก	ເກ	ꨆꨯꨮ											kē
ai	ঐ	ঐ	ऐ	ઐ	ଐ	ਐ	ꯑꯩ	ཨཻ		ᤀᤤ	𑒌	𑂊	ꠅꠂ	𑀐	ஐ	ಐ	ఐ	ඓ	ഐ	𑄃𑄰	အိုင်	ឰ	ไอ,ใอ	ໄອ,ໃອ	ꨄ	ᬐ	ꦍ			ꥆꥊ						ai
kai	কৈ	কৈ	कै	કૈ	କୈ	ਕੈ	ꯀꯩ	ཀཻ		ᤁᤤ	𑒏𑒻	𑂍𑂶	ꠇꠂ	𑀓𑁃	கை	ಕೈ	కై	කෛ	കൈ	𑄇𑄰	ကိုင်	កៃ	ไก,ใก	ໄກ,ໃກ	ꨆꨰ	ᬓᬿ	ꦏꦻ			ꤰꥊ						kai
o	অৗ	অ	ऒ							ᤀᤨ					ஒ	ಒ	ఒ	ඔ	ഒ		ဩ		(โอะ)	(ໂອະ)		ᬑ	ꦎ	ᮇ	ᨕᨚ	ꥆꥋ		ᜂ				o
ko	কৗ	ক	कॊ							ᤁᤨ	𑒏𑒽				கொ	ಕೊ	కొ	කො	കൊ		ကော		(โกะ)	(ໂກະ)		ᬓᭀ	ꦏꦺꦴ	ᮊᮧ	ᨀᨚ	ꤰꥋ	ᯂᯬ	ᜃᜓ				ko
ō	ও	ও	ओ	ઓ	ଓ	ਓ	ꯑꯣ	ཨོ	ᰣᰨ	ᤀᤥ	𑒍	𑂋	ꠅ	𑀑	ஓ	ಓ	ఓ	ඕ	ഓ	𑄃𑄮		ឱ	โ	ໂອ	ꨅ											ō
kō	কো	কো	को	કો	କୋ	ਕੋ	ꯀꯣ	ཀོ	ᰀᰨ	ᤁᤥ	𑒏𑒼	𑂍𑂷	ꠇꠧ	𑀓𑁄	கோ	ಕೋ	కో	කෝ	കോ	𑄇𑄮		កោ	โก	ໂກ	ꨆꨯ											kō
au	ঔ	ঔ	औ	ઔ	ଔ	ਔ	ꯑꯧ	ཨཽ	ᰣᰩ	ᤀᤦ	𑒎	𑂌		𑀒	ஔ	ಔ	ఔ	ඖ	ഔ	𑄃𑄯	ဪ	ឳ	เอา	ເອົາ,ອາວ	ꨀꨯꨱ	ᬒ	ꦎꦴ			ꥆꥌ						au
kau	কৌ	কৌ	कौ	કૌ	କୌ	ਕੌ	ꯀꯧ	ཀཽ	ᰀᰩ	ᤁᤦ	𑒏𑒾	𑂍𑂸		𑀓𑁅	கௌ	ಕೌ	కౌ	කෞ	കൗ	𑄇𑄯	ကော်	កៅ	เกา	ເກົາ,ກາວ	ꨆꨯꨱ	ᬓᭁ	ꦏꦻꦴ			ꤰꥌ						kau
r̥	ঋ	ঋ	ऋ	ઋ	ଋ			རྀ			𑒇			𑀋		ಋ	ఋ	සෘ	ഋ		ၒ	ឫ	ฤ		ꨣꨮ	ᬋ	ꦉ	ᮻ								r̥
kr̥	কৃ	কৃ	कृ	કૃ	କୃ			ཀྲྀ			𑒏𑒵			𑀓𑀾		ಕೃ	కృ	කෘ	കൃ		ကၖ	ក្ឫ	กฺฤ		ꨆꨴꨮ	ᬓᬺ	ꦏꦽ	ᮊ᮪ᮻ								kr̥
r̥̄	ৠ	ৠ	ॠ	ૠ	ୠ			རཱྀ			𑒈			𑀌		ೠ	ౠ	සෲ	ൠ		ၓ	ឬ	ฤๅ		ꨣꨮꨩ	ᬌ	ꦉꦴ									r̥̄
kr̥̄	কৄ	কৄ	कॄ	કૄ	କୄ			ཀཷ			𑒏𑒶			𑀓𑀿		ಕೄ	కౄ	කෲ	കൄ		ကၗ	ក្ឬ	กฺฤๅ		ꨆꨴꨮꨩ	ᬓᬻ	ꦏꦽꦴ									kr̥̄
l̥	ঌ	ঌ	ऌ	ઌ	ଌ			ལྀ			𑒉			𑀍		ಌ	ఌ	ඏ	ഌ		ၔ	ឭ	ฦ		ꨤꨮ	ᬍ	ꦊ	ᮼ								l̥
kl̥	কৢ	কৢ	कॢ	કૢ	କୢ			ཀླྀ			𑒏𑒷			𑀓𑁀		ಕೢ	కౢ	කෟ	കൢ		ကၘ	ក្ឭ	กฺฦ		ꨆꨵꨮ	ᬓᬼ	ꦏ꧀ꦭꦼ	ᮊ᮪ᮼ								kl̥
l̥̄	ৡ	ৡ	ॡ	ૡ	ୡ			ལཱྀ			𑒊			𑀎		ೡ	ౡ	ඐ	ൡ		ၕ	ឮ	ฦๅ		ꨤꨮꨩ	ᬎ	ꦋ									l̥̄
kl̥̄	কৣ	কৣ	कॣ	કૣ	କୣ			ཀླཱྀ			𑒏𑒸			𑀓𑁁		ಕೣ	కౣ	කෳ	കൣ		ကၙ	ក្ឮ	กฺฦๅ		ꨆꨵꨮꨩ	ᬓᬽ	ꦏ꧀ꦭꦼꦴ									kl̥̄
ṁ	অং	অং	अं	અં	ଂ	ਅਂ	ꯑꯪ	ཨཾ	ᰣᰴ	ᤀᤲ	𑒁𑓀	𑂃𑂁	ꠀꠋ	𑀅𑀂	அஂ	అం	అం	අං	അം	𑄃𑄧𑄁	အံ	អំ	อํ	ອํ	ꨀꩌ	ᬅᬂ	ꦄꦁ	ᮃᮀ		ꥆꥏ	ᯀᯰ					ṁ
kṁ	কং	কং	कं	કં	କଂ	ਕਂ	ꯀꯪ	ཀཾ	ᰀᰴ	ᤁᤲ	𑒏𑓀	𑂍𑂁	ꠇꠋ	𑀓𑀂	கஂ	ಕಂ	కం	කං	കം	𑄇𑄧𑄁	ကံ	កំ	กํ	ກํ	ꨆꩌ	ᬓᬂ	ꦏꦁ	ᮊᮀ		ꤰꥏ	ᯂᯰ					kṁ
ḥ	অঃ	অঃ	अः	અઃ	ଃ	ਅਃ	ꯑꫵ	ཨཿ			𑒁𑓁	𑂃𑂂		𑀅𑀃	அஃ	అః	అః	අඃ	അഃ	𑄃𑄧𑄂	အး	អះ	อะ (อะฮฺ)	ອະ	ꨀꩍ	ᬅᬄ	ꦄꦃ	ᮃᮂ		ꥆꥒ	ᯀᯱ					ḥ
kḥ	কঃ	কঃ	कः	કઃ	କଃ	ਕਃ	ꯀꫵ	ཀཿ			𑒏𑓁	𑂍𑂂		𑀓𑀃	கஃ	ಕಃ	కః	කඃ	കഃ	𑄇𑄧𑄂	ကး	កះ	กะ (กะฮฺ)	ກະ	ꨆꩍ	ᬓᬄ	ꦏꦃ	ᮊᮂ		ꤰꥒ	ᯂᯱ					kḥ
k	ক্,ক্‍	ক্,ক্‍	क्,क्‍	ક્,ક્‍	କ୍	ਕ੍	ꯛ	ཀ྄		ᤁ᤻	𑒏𑓂	𑂍𑂹	ꠇ꠆	𑀓𑁆	க்	ಕ್	క్	ක්	ക്,ക്‍	𑄇𑄴	က်	ក៑	กฺ (ก/ก์)	ກ	ꩀ	ᬓ᭄	ꦏ꧀	ᮊ᮪		ꤰ꥓	ᯂ᯲	ᜃ᜔		ᜣ᜴		k
