thai,phonetic,register,definition,note
หายไวๆนะ,hǎai wai-wai ná,,Get better soon. / Get well soon.,
ผมอาจจะกลับดึก,pǒm àat-jà glàp dʉ̀k,,I might be late. / I might come home late.,
ให้ผมไปรับไหม,hâi pǒm bpai ráp mǎi,,Do you want me to pick you up?,
อยากให้คุณไปด้วย,yàak hâi kun bpai dûai ,,I want you to go with me. / I’d like you to join me.,
ไม่อยากเป็นภาระ,mâi-yàak bpen paa-rá,,I don’t want to be a burden. / I don’t want to burden you.,
อ่านต่อไป(เถอะ),àan dtɔ̀ɔ-bpai (tə̀) ,,Keep (on) reading.,
ผมไม่สน(ใจ)ว่า,... pǒm mâi-sǒn (jai) wâa...,,I don’t care (if/what/that…), ไม่สน (mâi-sǒn) is more casual.
(…)ทั้งคืนเลย (...),táng-kʉʉn ləəi,,…all night. / All night long.,
อย่าลืมบอกผม,yàa lʉʉm bɔ̀ɔk pǒm,,Don’t forget to tell me.,
ไม่ใช่แบบนั้น(ค่ะ),mâi-châi bɛ̀ɛp-nán (kà) ,,Not like that. / It’s not like that.,
เร็วกว่าที่คิด,reo gwàa tîi kít,,Sooner than you think. / Faster than I thought. / Earlier than expected.,
รัก(เธอ)หมดใจ,rák (təə) mòt-jai ,,I love (her) with all my heart!,
คืนดีแล้ว,kʉʉn-dii lɛ́ɛo,,They’re back together again. / They’ve reconciled.,
ฉันกำลังจะบอกคุณว่า,... chǎn gam-lang jà bɔ̀ɔk kun wâa...,,I’m telling you… / I’m going to tell you…,
จะไปไหนต่อ,jà bpai-nǎi dtɔ̀ɔ,,Where are you going after this? / What are you doing/later? / Where’re we going now?,
ต้องทำความสะอาดบ้าน,dtɔ̂ng tam-kwaam-sà-àat bâan (,,I) have to clean the house.,
ไม่ได้คิดอะไร,mâi-dâi kít à-rai,,(I) wasn’t thinking anything. / (I)’m not thinking about anything.,
จำได้แล้ว,jam-dâi lɛ́ɛo,,I remember now. / Now I remember.,
ทำไมไม่รับโทรศัพท์,tam-mai mâi ráp too-rá-sàp ,,Why didn’t (you) answer (your) phone?,
(ผมก็)แค่อยากรู้เฉยๆ,(pǒm gɔ̂ɔ) kɛ̂ɛ yàak rúu chə̌əi-chə̌əi,,(I) was just wondering. / (I) just wanna know. / (I) was just curious.,
