thai,phonetic,register,definition,note
ฉันมีงานต้องทำ,chǎn mii ngaan dtɔ̂ng tam ,,I’ve got work to do. / I have work I gotta get to.,
ทำไมเงียบไป(เลยคะ),tam-mai ngîap bpai (ləəi ká),,Why are you so quiet? (not saying anything) / Why have you been so quiet?/(haven’t heard from you for a long time),
พนันกับผมไหม,pá-nan gàp pǒm mǎi,,Do you wanna bet?,
ฉันพนันกับเพื่อนว่า,... chǎn pá-nan gàp pʉ̂an wâa...,,I bet my friend (that)…,
เอามาให้ผม,ao maa hâi pǒm ,INFORMAL,Give it to me. / Give me that.,
อยู่นี่เอง,yùu nîi eeng,,"(Oh), there you are! (looking for someone and found them)",
ทำแบบนี้ได้ยังไง,tam bɛ̀ɛp-níi dâi yang-ngai ,,How can you do that?! / How could you (do that)?!,
เขาเจ้าเล่ห์(มาก),kǎo jâo-lêe (mâak) ,,He’s (very) tricky! / He’s a sneaky bugger! / He’s (very) sly!,
ถ้าเป็นเมื่อก่อน,... tâa bpen mʉ̌a-gɔ̀ɔn...,,If it was/were before… / If it had been in the past…,
ยื่นมือออกมา,yʉ̂ʉn mʉʉ ɔ̀ɔk-maa,,Hold out your hand(s).,
(คุณ)จะทำยังไง,(kun) jà tam yang-ngai ,,"What will you do? (if that happens, etc.)",
ไม่มีสมอง,mâi mii sà-mɔ̌ɔng (,STRONG,He)’s got no brain(s)! / (He)’s got nothing upstairs! / (He)’s stupid!,
ผมไม่ได้โง่,pǒm mâi-dâi ngôo,,I’m not stupid! / I’m not a fool!,
ต้องใช้เงินเท่าไหร่(คะ),dtɔ̂ng chái-ngən tâo-rài (ká) ,,How much will it cost? / How much is it going to cost me?,
มีหลายแบบ,mii lǎai bɛ̀ɛp,,We have many kinds. / There are many types.,
ทำไมหน้าแดง,tam-mai nâa dɛɛng,,Why is your face (so) red?,
กำลังจะหนีไป,gam-lang jà nǐi bpai ,,They’re getting away! / She’s trying to escape! / He’s running away!,
อย่าไปฟังเขา,yàa bpai fang kǎo,,Don’t listen to him!,
กินไม่ได้นอนไม่หลับ,gin mâi-dâi nɔɔn-mâi-làp ,,She didn’t eat nor sleep. / I can’t eat or sleep.,
ระวังตัวให้ดี,rá-wang-dtua hâi dii,,Be on your guard! / Be very careful. / Better watch out!,
