thai,phonetic,register,definition,note
ซ้ำแล้วซ้ำอีก,sám-lɛ́ɛo-sám-ìik,,Over and over (again). / Again and again. / Time after time.,
ซ้ำแล้วซ้ำเล่า,sám-lɛ́ɛo-sám-lâo,,Over and over (again). / Again and again. / Time after time.,
ผมจะพูดเป็นครั้งสุดท้าย,pǒm jà pûut bpen kráng-sùt-táai ,STRONG/ANGRY,I’m gonna say it/this for the last time!,
แหวะ,wɛ̀,INFORMAL,Gross! / Yuck! / Puke! (used to express disgust),
ผมให้เกียรติเขา,pǒm hâi-gìat kǎo,,(I) respect him/her.,
ทำอะไรตรงนั้น,tam à-rai dtrong-nán,,What are you doing over there? / What were you doing there?,
ต้องเผชิญหน้ากับความจริง,dtɔ̂ng pà-chəən-nâa-gàp kwaam-jing (,,You) have to face the truth.,
ไม่น่าเกิดขึ้น(เลย),mâi-nâa gə̀ət-kʉ̂n (ləəi) ,,This should never happen. / It never should have happened.,
ไม่ได้เป็นอะไรมาก,mâi-dâi bpen à-rai mâak (,,I)’m not that sick. / (My) condition isn’t so bad.,
หนูไม่ได้เถียง,nǔu mâi-dâi tǐang,,I wasn’t arguing (with you)! / I wasn’t talking back!,
ฉันไม่ได้ฝันไปใช่ไหม,chǎn mâi-dâi fǎn bpai châi-mǎi ,,"I’m not dreaming, am I?",
พูดง่ายนี่,pûut ngâai nîi (,INFORMAL,That’s) easy for you to say! / You say that so easily!,
ผมพอมีเงินเก็บอยู่บ้าง,pǒm pɔɔ mii ngən-gèp yùu bâang ,,I have some money saved up. / I have some savings.,
ผมไม่มีเงินเยอะขนาดนั้น,pǒm mâi-mii ngən yə́ kà-nàat-nán ,,I don’t have that kind of money! / I don’t have that much money!,
ฉันมีวิธีที่ดีกว่านั้น,chǎn mii wí-tii dii-gwàa nán ,,I have a better way.,
ผมคิดอย่างนั้นเหมือนกัน,pǒm kít yàang-nán mʉ̌an-gan ,,I was thinking the same thing. / I think so too.,
ฉันไม่ได้เอากระเป๋าเงินมา,chǎn mâi-dâi ao grà-bpǎo-ngən maa ,,I didn’t bring my purse with me.,
คิดถึงคนอื่นก่อน,kít-tʉ̌ng kon-ʉ̀ʉn gɔ̀ɔn ,,Put others first. / Think about others first.,
ฉันไม่เคยเล่าเรื่องนี้ให้ใครฟัง,chǎn mâi-kəəi lâo rʉ̂ang níi hâi krai fang ,,"I’ve never told anyone (about) this before. (said of story, incident, experience, etc.)",
จะเสียใจไปตลอดชีวิต,jà sǐa-jai bpai dtà-lɔ̀ɔt chii-wít (,,You)’ll regret it for the rest of your life. / (You)’ll be sorry for the rest of your life.,
