thai,phonetic,register,definition,note
ไม่เป็นไร,mâi-bpen-rai,,It’s okay. / It’s fine. / It’s no problem. / It’s all right. / You’re welcome. / Never mind.,
สบายดี,sa-baai-dii,,I’m fine. / I’m good. / Fine. / Good.,
คุณล่ะ(คะ),kun lâ (ká),,And you? / How about you?,
นี่ของคุณ,nîi kɔ̌ɔng kun,,This is yours.,
นี่ของคุณใช่ไหม,(nîi kɔ̌ɔng kun châi mǎi) ,,"Is this yours? / This is yours, right?",
คุณครับ... / คุณคะ,...  (kun kráp…/ kun ká…) ,FORMAL,Excuse me (sir/madam)… / Sir? / Madam? (used to call attention to a stranger).,
ทำไม่ได้(ครับ),tam mâi-dâi (kráp) (,,I) can’t (do it). / It can’t be done.,
คุณจะแนะนำ(คอร์ส)ไหน(คะ),kun jà nɛ́-nam (kɔ́ɔt ) nǎi (ká) ,,Which (course) do you recommend?,
มันไม่เหมือนกัน,man mâi mʉ̌an-gan,,It’s not the same. / It’s different.,
…บ่อยแค่ไหน,...bɔ̀i kɛ̂ɛ-nǎi,,How often…?,
ยินดีต้อนรับค่ะ,yin-dii dtɔɔn-ráp kà,,Welcome.,
หิวไหม,hǐu-mǎi,,Are you hungry?,
นี่สำคัญ(มาก),nîi sǎm-kan (mâak) ,,It’s (very) important. / This is (very) important.,
ผมมีปัญหานิดหน่อย,(pǒm mii bpan-hǎa nít-nɔ̀i) ,,I have a bit of a problem.,
ฉันรู้สึกไม่ดี,(chǎn rúu-sʉ̀k mâi-dii) ,,I have bad feelings (about that). / I feel bad.,
อย่าขยับ,yàa kà-yàp,INFORMAL,Don’t move!,
ไม่ค่อยชอบ,mâi kɔ̀i chɔ̂ɔp,,(I) don’t like it so much. / (I) don’t really like it.,
ฉันชินแล้ว,pǒm chin lɛ́ɛo,,I’m used to it.,
ฝนตกหนัก,fǒn-dtòk nàk,,It’s raining hard.,
ไม่ต้องห่วง,mâi-dtɔ̂ng hùang,,Don’t worry. / No need to worry.,
