thai,phonetic,register,definition,note
ไม่ดีเลย(อ่ะ),mâi-dii ləəi (à) ,,Not good. / That’s not good.," อ่ะ (à) is a shortened, informal form of ล่ะ (là)."
มันอยู่ไหน,man yùu-nǎi,,Where is it?,
ฉันเลี้ยง(แมว)(สอง)ตัว,chǎn líang (mɛɛo) (sɔ̌ɔng) dtua ,,I have (two) (cats).,
ขับรถไม่เป็น,kàp-rót mâi-bpen,,I can’t drive.,
เราอายุเท่ากัน,rao aa-yú tâo-gan,,We’re the same age.,
อายุแค่ (7) ขวบ,aa-yú kɛ̂ɛ (jèt) kùap (,,She)’s only (7) years old.,
มันเสียเวลา,man sǐa-wee-laa ,,It’s a waste of time.,
ขอยืมหน่อย,kɔ̌ɔ yʉʉm nɔ̀i ,INFORMAL,Can I borrow it? / Let me borrow it.,
วันนี้เป็น(วันแห่งความรัก),wan-níi bpen (wan hɛ̀ng kwaam-rák) ,,Today is (Valentine’s Day).,
มีสิ(ครับ),mii sì (kráp) ,,"Yes, (I have one/some). / Sure.",
ผมเข้าใจแล้ว,pǒm kâo-jai lɛ́ɛo,,I understand (now).,
ฉันทำงานทุกวัน(เลย),chǎn tam-ngaan túk-wan (ləəi) ,,I work every day.,
เขาไม่อยู่แล้ว,kǎo mâi-yùu lɛ́ɛo,,He’s not here’s anymore.,
ไม่รู้เธออยู่ไหน,mâi-rúu təə yùu-nǎi,,I don’t know where she is.,
จำง่าย(ดี),jam ngâai (dii) ,,Easy to remember. / That’s easy to remember.,
ไม่เห็นหรือ,mâi hěn rʉ̌ʉ,,Don’t you see it? / Can’t you see it?,
มาหาฉันหน่อยสิ,maa-hǎa chǎn nɔ̀i sì,,Come and see me. / Come and visit me.,
ฉันรู้สึกเหนื่อย,chǎn rúu-sʉ̀k nʉ̀ai,,I feel tired.,
เพลงเพราะ,pleeng prɔ́,,(That) song’s nice. (sounds good) / Nice song.,
มีความหมายดี,mii kwaam-mǎai dii,,It has good meaning.,
