thai,phonetic,register,definition,note
มันสะดวก,man sà-dùak,,It’s convenient.,
จำเป็นไหม,jam-bpen mǎi,,Is it/that necessary?,
มันเป็นของคุณ,man bpen kɔ̌ɔng kun,,It’s yours.,
มันไม่ใช่ของผม,man mâi-châi kɔ̌ɔng pom ,,It’s not mine.,
ขอบคุณสำหรับ(เค้ก)(นะคะ),kɔ̀ɔp-kun sǎm-ràp (kéek) (ná-ká) ,,Thank you for (the cake).,
ไม่มีคนเลย,mâi-mii kon ləəi,,There’s no one (here) at all. / It’s dead.,
มีลูกกี่คนครับ,mii lûuk gìi kon kráp,,How many kids/children do you have?,
เราเป็นเพื่อนบ้าน(กัน),rao bpen pʉ̂an-bâan (gan) ,,We’re neighbors.,
มีแมว(สอง)ตัว,mii mɛɛo (sɔ̌ɔng) dtua (,,I) have (two) cats.,
เลี้ยวขวา,líao kwǎa,,Turn right.,
เลี้ยวซ้าย,líao sáai,,Turn left.,
อยู่(ตรง)หัวมุม,yùu (dtrong) hǔa-mum ,,It’s (right) on the corner.,
(…)อยู่ซ้ายมือ (…),yùu sáai-mʉʉ,,It’s on the left. / It’s to the left.,
(…)อยู่ขวามือ (…),yùu kwǎa-mʉʉ,,It’s on the right. / It’s to the right.,
(กำลัง)ขับรถอยู่,(gam-lang) kàp-rót yùu (,,I)’m driving.,
นั่งรถเมล์มา,nâng rót-mee maa,,(I) came by bus. / (I) took the bus.,
เบื่อไหม(คะ),bʉ̀a mǎi (ká),,Do you get bored? / Are you bored?,
รอฉันก่อน(นะ),rɔɔ chǎn gɔ̀ɔn (ná) ,,Wait for me.,
ไม่ร้อนหรือ(คะ),mâi rɔ́ɔn rʉ̌ʉ (ká) ,,Aren’t you hot?,
ยังไม่เปิด,yang mâi bpə̀ət,,It’s not open yet. / We’re not open yet.,
