thai,phonetic,register,definition,note
ตกใจหมดเลย,dtòk-jai mòt ləəi,,You scared me! / You scared the hell out of me! / I was shocked!,
มันเป็นเรื่องบังเอิญ,man bpen rʉ̂ang-bang-əən ,,It’s a coincidence.,
หน้าเด็กจัง,nâa dèk jang,,(You) look so young! / (You) have such a baby face!,
มีเคล็ดลับอะไร,mii klét-láp à-rai ,,"What’s your secret? (to looking young, etc.)",
ขยันจัง(เลย),kà-yǎn jang (ləəi) (,,You)’re so hardworking! / So diligent! / (You)’re such a hard worker!,
ตอบตกลง,dtɔ̀ɔp dtòk-long,,Say yes. / Said yes. (answered yes and agreed to something),
(พี่)มาหาเพื่อน,(pîi) maa-hǎa pʉ̂an (,,I) came to visit a friend. / (I)’m visiting a friend., The speaker uses พี่ (pîi) here because s/he is older than the listener.
คุณต้องเข้าใจ(นะครับ)(... ),kun dtɔ̂ng kâo-jai (ná-kráp) (…) ,,You have to understand(…),
เป็นเพื่อนกันตลอดไป,bpen pʉ̂ang gan dtà-lɔ̀ɔt-bpai (,,We’ll be) friends forever.,
เกิดอุบัติเหตุขึ้น,gə̀ət ù-bàt-dtì-hèet kʉ̂n ,,There was an accident. / There’s been an accident.,
ดูท่าว่า,... duu tâa-wâa...,,It seems like… / It looks like…,
ขายไม่ออก,kǎai-mâi-ɔ̀ɔk,,(We) can’t sell it. / (We) were unable to sell them.,
เหมือนเทพนิยาย,mʉ̌an têep-ní-yaai,,(It’s) like a fairy tale.,
ใครเล่นเป็น(นางเอก),krai lên bpen (naang-èek) ,,Who (plays) the (lead actress)?,
เขาเสียเลือดมาก,kǎo sǐa lʉ̌at mâak,,"He lost a lot of blood. (in an accident, an operation, etc.)",
ทุกอย่างเรียบร้อยดี,túk-yàang rîap-rɔ́ɔi-dii ,,Everything’s fine. / Everything’s under control. / Everything’s all right.,
คุณต้องสัญญากับผม,kun dtɔ̂ng sǎn-yaa gàp pǒm ,,You have to promise me. / You must promise me.,
ทะเลาะเรื่องอะไร,tá-lɔ́ rʉ̂ang à-rai,,What were (you) arguing about? / What did (you) have a fight about?,
ขอตัวไปนอนก่อน,kɔ̌ɔ-dtua bpai nɔɔn gɔ̀ɔn ,,I’m going to bed. / I’m gonna turn in now.,
มันจั๊กจี้,man ják-gà-jîi,,It tickles!,
