thai,phonetic,register,definition,note
ฉันชื่อ,... chǎn chʉ̂ʉ...,,My name’s...,
ฉันเป็นลูกคนเดียว,chǎn bpen lûuk-kon-diao ,,I’m an only child.,
คุณมีลูกไหม(ครับ),kun mii lûuk mǎi (kráp) ,,Do you have any children/kids?,
(ลูกชาย) อายุ (4) ขวบ,(lûuk-chaai) aa-yú (sìi) kùap (,,My son)’s (4) years old.," For ages over 10, use ปี (bpii) instead of ขวบ (kùap)."
ผมอายุมากกว่าคุณ,pǒm aa-yú mâak-gwàa kun ,,I’m older than you.,
ฉันอายุน้อยกว่าคุณ,pǒm aa-yú nɔ́ɔi-gwàa kun ,,I’m younger than you.,
เกิดปีไหน,gə̀ət bpii nǎi,,What year were (you) born?,
วันนี้(เป็น)วันเกิด(ของ)ฉัน,wan-níi (bpen) wan-gə̀ət (kɔ̌ɔng) chǎn ,,Today’s my birthday.,
ใคร(ครับ),krai (kráp),,Who? Who is/was it?,
ยังเลย,yang ləəi,,Not yet.,
ไปไหนมา,bpai nǎi maa,,Where did you go? / Where have you been?,
ผมรู้ว่า,... pǒm rúu wâa...,,I know…,
ยังไม่ว่าง,yang mâi wâang,,(I)’m busy. / (I) don’t have time. / (I)’m not free.,
ขอยืม(ปากกา)ได้ไหม(คะ/ครับ),kɔ̌ɔ yʉʉm (bpàak-gaa) dâi-mǎi (ká/kráp) ,,Can I borrow (a/your pen)?,
แล้วเจอกัน(นะ),lɛ́ɛo jəə gan (ná) ,,See you (later). / See you (in a bit).,
ในนี้มีอะไร,nai níi mii à-rai,,What’s in it? / What’s in this? / What’s in here?,
ดีมาก,dii mâak,,Great! / Excellent! / Very good.,
กี่โมงแล้ว(ครับ),gìi-moong-lɛ́ɛo (kráp),,What time is it? / Do you have the time?,
หิวมาก,hǐu mâak,,I’m so hungry!,
คุณจะทำอะไร,kun jà tam à-rai,,What are you gonna do?,
