thai,phonetic,register,definition,note
คิดไม่ตก,kít mâi dtòk (,IDIOMATIC,I) can’t figure it out. / (I) can’t figure out what to do.,
(มัน)ไม่ใช่เรื่องใหม่,(man) mâi-châi rʉ̂ang mài ,,It’s nothing new. / That’s not new.,
ไม่เหมือนที่เคยกินมา,mâi mʉ̌an tîi kəəi gin maa (,,It)’s not like anything I’ve eaten before. / (It)’s different from anything I’ve had before.,
(คุณ)รู้ไหมว่ามันยากแค่ไหน,(kun) rúu mǎi wâa man yâak kɛ̂ɛ-nǎi ,,Do you know how hard it was/is?,
ฉันจะทำอะไรกับมันก็ได้,chǎn jà tam à-rai gàp man gɔ̂ɔ-dâi,STRONG,I can do whatever I want with it/her/him!,
เป็นห่วงเสมอ,bpen hùang sà-mə̌ə,,I always worry about you. / She’s always worried about you.,
() มีที่มาจากคำว่า (),(celebrity) mii tîi-maa jàak kam wâa (celebrate).,,(Celebrity) originated from the word (celebrate).,
นับวันรอ,náp wan rɔɔ,,(I’m) counting the days.,
เขาไม่เกี่ยวกับเรื่องนี้,kǎo mâi-gìao gàp rʉ̂ang-níi ,,He’s got nothing to do with this! / He’s not involved!,
สิ่งที่(ฉัน)กลัวที่สุดคือ,... sìng tîi (chǎn) glua tîi-sùt kʉʉ...,,The thing I’m most afraid of is… / My worst fear is…,
คุณลืมไปแล้วหรือว่า,... kun lʉʉm bpai lɛ́ɛo rʉ̌ʉ wâa...,,Have you forgotten… ? / Did you forget… ?,
ถ้าย้อนเวลากลับไปได้,tâa yɔ́ɔn wee-laa glàp bpai dâi ,,If I could turn back time… / If I could go back in time… / If I could turn back the clock…,
ฉันจะไม่ยอมให้ใคร,... chǎn jà mâi yɔɔm-hâi krai...,,I won't let anyone… / I won’t allow anybody to…,
ผมไม่ใช่คนอย่างนั้น,pǒm mâi-châi kon yàang-nán ,,I’m not that kind of person. / I’m not like that.,
เขาเริ่มต้นชีวิตใหม่,kǎo rə̂əm-dtôn chii-wít mài ,,He started a new life. / She started her life over again.,
(เด็ก)ถูกลักพาตัว,(dèk) tùuk lák-paa-dtua (,,A child) was kidnapped/abducted.,
ทำตัวไม่ถูก,tam-dtua mâi-tùuk (,IDIOM,I) don’t know what to do. / (I) don’t know how to act.,
มีอยู่ทางเดียว,mii yùu taang-diao,,There’s only one way.,
ฉันไม่ได้บอกอะไรเลย,chǎn mâi-dâi bɔ̀ɔk à-rai ləəi ,,I didn’t tell (him) anything.,
พอใช้ได้,pɔɔ chái-dâi,,That will work. / It’s usable. / It’s pretty nice. / It’s fairly good.,
