thai,phonetic,register,definition,note
พูดเล่นใช่ไหม,pûut-lên châi-mǎi,,"You’re joking, right?",
ไม่ได้พูดเล่นนะ,mâi-dâi pûut-lên ná,,I’m not joking.,
แกเคยพูดว่า,... (gɛɛ kəəi pûut wâa...),,You said (before) (that)… / You once said (that)…,
เสียใจด้วยจริงๆ(ค่ะ),sǐa-jai dûai jing-jing (kà) ,,I’m so sorry to hear (about) that. (bad news) / My condolences.,
มันเป็นอุบัติเหตุ,man bpen ù-bpà-dtì-hèet,,It was an accident.,
ผมจะทำให้ดีที่สุด,pǒm jà tam hâi dii-tîi-sùt,,I’ll do my best.,
เธอท้องได้ (3) เดือน(แล้ว),təə tɔ́ɔng dâi (sǎam) dʉan (lɛ́ɛo) ,,She’s (three) months pregnant.,
ขนาดนั้นเลยหรอ,kà-nàat nán ləəi rə̌ə,,That much?!,
(นาน)ขนาดนั้นเลยหรอ,(naan)kà-nàat nán ləəi rə̌ə,,That (long)?!,
โธ่เอ๋ย,tôo-ə̌əi,,Oh man! / Oh shit! / Damn!,
อย่าเข้าใจผิดนะ,yàa kâo-jai-pìt ná,,Don’t misunderstand (me).,
ได้โปรดอย่าเข้าใจผิด,dâi-bpròot yàa kâo-jai-pìt,FORMAL,Please don’t misunderstand.,
คุณสัญญากับฉันแล้ว(ว่า),... kun sǎn-yaa gàp chǎn lɛ́ɛo (wâa)...,,You promised me. / You promised (that) you…,
ผมไม่ได้สัญญา(อะไร),pǒm mâi-dâi sǎn-yaa (à-rai),,I didn’t promise (anything).,
เราเหมือนกันมาก,rao mʉ̌an-gan mâak,,We’re very similar. / We’re so much alike.,
หน้าตาเหมือนกันมาก,nâa-dtaa mʉ̌an-gan mâak,,(They) look very similar. / (They) look so much alike.,
ฉันซื้อ(ขนม)มาฝาก,chǎn sʉ́ʉ (kà-nǒm) maa fàak,,I bought some (sweets) for you.,
ครั้งเดียวไม่(เคย)พอ,kráng-diao mâi (kəəi) pɔɔ,,Once is not (never) enough.,
อย่ามาโทษฉัน,yàa maa tôot chǎn,,Don’t blame me!,
อย่าโทษตัวเอง,yàa tôot dtua-eeng,,Don’t blame yourself.,
