thai,phonetic,register,definition,note
เป็นบ้าอะไรของคุณ,bpen bâa à-rai kɔ̌ɔng kun ,,What the hell’s wrong with you?! / What on earth is wrong with you?!,
อยากทำอะไรก็เชิญ,yàak tam à-rai gɔ̂ɔ chəən (,,Go ahead) Do whatever you want.,
อย่าทำให้เป็นเรื่อง(ใหญ่),yàa tam-hâi bpen rʉ̂ang (yài) ,,Don’t make a big deal of it. / Don’t make a scene.,
ในพริบตา,nai-príp-dtaa,,in a blink of an eye / in an instant,
เท่าที่ทราบ/รู้,... tâo-tîi sâap/rúu...,,As far as I know…,
แต่พอคิดอีกที,... dtɛ̀ɛ pɔɔ kít ìik tii...,,But on second thought…,
ฉันต้องสารภาพ(ว่า... ),chǎn dtɔ̂ng sǎa-rá-pâap (wâa...) ,,I must confess (that…),
…ตั้งแต่จำความได้,... ...dtâng-dtɛ̀ɛ jam-kwaam dâi...,,Ever since I can remember... / …for as long as I can remember.,
...ไม่ช้าก็เร็ว,... ...mâi-cháa-gɔ̂ɔ-reo...,,…sooner or later…,
ผมมีสิทธิ์ที่จะ(รู้),pǒm mii-sìt tîi jà (rúu) ,,I have a right to (know).,
กรุณากรอกแบบฟอร์มนี้,gà-rú-naa grɔ̀ɔk bɛ̀ɛp-fɔɔm níi ,FORMAL,Please fill out this form.,
วันเกิดอายุ(ครบ) (60) ปี,wan-gə̀ət aa-yú (króp) (hòk-sìp) bpii (60th) birthday,,,
(ยัง)มีอีกเพียบ,(yang) mii ìik pîap ,,There’s plenty more. / We have plenty more.,
ไม่มีใครได้รับบาดเจ็บ,mâi-mii krai dâi-ráp bàat-jèp ,,No one was injured/hurt.,
ไม่มีอำนาจ,...  mâi-mii am-nâat (,SEMI-FORMAL,He) doesn’t have the authority/power (to)…,
ขอโทษที่ทำให้เดือดร้อน,kɔ̌ɔ-tôot tîi tam-hâi dʉ̀at-rɔ́ɔn ,,I’m sorry for the trouble I’ve caused you.,
มาถึงจนได้,maa-tʉ̌ng jon-dâi,,We made it! / We finally arrived! / It finally arrived.,
ไม่ว่าอะไรจะเกิดขึ้น,... mâi-wâa à-rai jà gə̀ət-kʉ̂n…,,No matter what happens… / Whatever happens…,
ไม่มีที่ติ,mâi-mii tîi-dtì,,It’s flawless. / It’s perfect.,
ยิ่ง(แย่)เข้าไปใหญ่,yîng (yɛ̂ɛ) kâo-bpai yài ,,It’s even (worse). / That makes it all the (worse).,
