thai,phonetic,register,definition,note
ฉันรักคุณ,chǎn rák kun,,I love you.,
ผมก็รักคุณ,pǒm gɔ̂ɔ rák kun,,I love you too., ก็ (gɔ̂ɔ) here means also or too.
ฉันรักเขา,chǎn rák kǎo,,I love him. / I’m in love with him.,
ฉันกำลังมีความรัก,chǎn gam-lang mii kwaam-rák,,I’m in love.,
ผมตกหลุมรักเธอ,pǒm dtòk-lǔm-rák təə,,I fell in love with her.,
ไม่มีแฟน,mâi mii fɛɛn,,(I) don’t have a boyfriend/girlfriend.,
ไม่มีเจ้าของ,mâi mii jâo-kɔ̌ɔng,,(He)’s not taken.,
ฉันยังไม่แต่งงาน,chǎn yang mâi dtɛ̀ng-ngaan,,I’m not married (yet).,
ผมหย่าแล้ว,pǒm yàa lɛ́ɛo,,I’m divorced.,
เขาแต่งงานแล้ว,kǎo dtɛ̀ng-ngaan lɛ́ɛo,,He’s married (already).,
แต่งงานกับผมนะ,dtɛ̀ng-ngaan gàp pǒm ná,INFORMAL,Marry me. / Will you marry me?,
เราจะแต่งงานกัน,rao jà dtɛ̀ng-ngaan gan,,We’re getting married.,
ฉันเลิกกับเขาแล้ว,chǎn lə̂ək gàp kǎo lɛ́ɛo,,I broke up with him.,
เราเลิกกัน(แล้ว),rao lə̂ək gan (lɛ́ɛo),,We broke up.,
เขาทิ้งฉัน,kǎo tíng chǎn,,He left me. / He dumped me.,
มันเป็นแค่ความฝัน,man bpen kɛ̂ɛ kwaam-fǎn,,It was only/just a dream.,
มันเป็นฝันร้าย,man bpen fǎn-ráai,,It was a nightmare.,
ทีละเล็ก(ทีละน้อย),tii-lá-lék (tii-lá-nɔ́ɔi),,Little by little,
ไม่ยากเลย,mâi-yâak ləəi,,It’s not hard at all. / That wasn’t (so) hard.,
ไม่เลวนะ,mâi-leeo ná,,Not bad. / Not too bad.,
