thai,phonetic,register,definition,note
เจ็บทั้งตัว(เลย),jèp táng dtua (ləəi) ,,It hurts all over! / It hurts everywhere!,
ผมจะไม่ยอมแพ้,pǒm jà mâi yɔɔm-pɛ́ɛ,,I won’t give up!,
ห้ามเข้า,hâam kâo,,No entry. / Keep out. / No admittance.,
(เรา)กำลังจะไปเยี่ยม(ญาติ),(rao) gam-lang jà bpai yîam (yâat) (,,We)’re going to visit (relatives).,
ต้องตั้งสมาธิ,dtɔ̂ng dtâng-sà-maa-tí,,You have to concentrate. / Focus.,
อยู่เฉยๆไม่ได้,yùu chə̌əi-chə̌əi mâi-dâi (,,I) can’t just (sit around and) do nothing! / (I) can’t stay still.,
ผมจะไปตามหาเขา,pǒm jà bpai dtaam-hǎa kǎo,,I’ll go look/search for him.,
ยังมีเวลาอีกเยอะ,yang mii wee-laa ìik yə́,,There’s still a lot of time. / We still have plenty of time.,
ผมเจอนี้,pǒm jəə níi,,I found this. (showing the thing he found),
พอเขารู้(ว่า),... pɔɔ kǎo rúu (wâa)...,,When he found out…,
ฉัน(ก็)บอกเขาแล้ว(ว่า... ),chǎn (gɔ̂ɔ) bɔ̀ɔk kǎo lɛ́ɛo (wâa...) ,,I told him already (that…),
ผมจะรอวันที่,... pǒm jà rɔɔ wan tîi...,,I’ll wait for the day (that)… / I look forward to…,
นี้เป็นครั้งสุดท้าย(ที่... ),níi bpen kráng sùt-táai (tîi...) ,,This is the last time (that…),
ฉันมีเหตุผลที่ดีที่,... chǎn mii hèet-pǒn tîi dii tîi...,,I have (a) good reason to…,
ไปไม่ได้จริงๆ,bpai mâi-dâi jing-jing,,I really can’t go.,
ผมเห็นใจคุณ,pǒm hěn-jai kun,,I sympathize with you. / I feel for you.,
ไม่มีวัน,mâi-mii-wan,STRONG,Never! / Ever!,
ไปกินอะไรมา,bpai gin à-rai maa,,What did you eat? / What did you have to eat?,
ฉันหลับไม่ลง,chǎn làp mâi-long,,I can’t sleep. / I can’t fall asleep.,
ผมรู้ทุกอย่าง,pǒm rúu túk-yàang ,,I know everything. / I knew everything.,
