thai,phonetic,register,definition,note
เขาหุ่นดี(นะ),kǎo hùn dii (ná) ,,He’s got a nice body. / She’s got a nice figure.,
ฉันว่าอ้วนไปหน่อย,chǎn wâa ûan bpai-nɔ̀i ,,I think I’m a bit fat/overweight.,
ไม่หรอก(ครับ),mâi rɔ̀ɔk (kráp) ,,"You are not. / No, (not at all). (disagreeing or clarifying)",
มีรอยสักที่แขน,mii rɔɔi-sàk tîi kɛ̌ɛn,,S/he has a tattoo on her arm.,
ตอบ(ฉัน)มา(สิ),dtɔ̀ɔp (chǎn) maa (sì) ,,Answer me!,
ผมทำงานส่วนตัว,pǒm tam-ngaan sùan-dtua ,,I’m self-employed.,
ฉัน(ก็)ใช้บ่อย,chǎn (gɔ̂ɔ) chái bɔ̀i ,,I use (it) a lot. / I often use (it).,
เขาเป็นคนยังไง,kǎo bpen kon yang-ngai,,What’s he like?,
กินอะไรสักหน่อย,gin à-rai sàk-nɔ̀i,,Eat something. / Have something to eat.,
ให้เวลาอีก(ห้านาที),hâi wee-laa ìik (hâa naa-tii) ,,Give it (5 more minutes).,
คนไม่แน่น,kon mâi-nɛ̂n,,It’s not crowded.,
มีตั้งเยอะ,mii dtâng yə́,,There are a lot of them! / There’s plenty.,
ไม่มีมารยาท,mâi-mii maa-rá-yâat,,You have no manners. / You’re being rude., มารยาท (maa-rá-yâat) is also pronounced as man-rá-yâat or man-yâat.
ค่อยๆ(ค่ะ),kɔ̂i-kɔ̂i (kà) ,,Easy! / (Go) slowly! / Gently!,
เขาถูกรถชน,kǎo tùuk rót-chon,,He was hit by a car.,
เราเป็นเพื่อนสนิทตั้งแต่(เรียนมัธยม),rao bpen pʉ̂an sà-nìt dtâng-dtɛ̀ɛ,,(rian mát-tá-yom)/We’ve been close friends since (high school).,
ผมไม่ได้โมโห,pǒm mâi-dâi moo-hǒo,,I’m not angry!,
มีอะไรแปลกๆ,mii à-rai bplɛ̀ɛk-bplɛ̀ɛk ,,There’s something strange (going on). / Something is off.,
ไม่เห็นมีอะไร(เลย),mâi-mii à-rai (ləəi) (,,I) don’t see anything! / There’s nothing there!,
หนูว่าเขาน่ารักดี,nǔu wâa kǎo nâa-rák dii ,,I think s/he’s cute.,
