thai,phonetic,register,definition,note
มันทำให้เสียสมาธิ,man tam-hâi sǐa-sà-maa-tí ,,It’s distracting. / It makes me lose my focus.,
ต้องตัดใจจากเขา,dtɔ̂ng dtàt-jai jàak kǎo ,,You have to let him go! / You have to get over her! / You have to forget him!,
ผมมีข่าวมาแจ้งให้ทราบ,pǒm mii kàao maa jɛ̂ɛng hâi sâap ,FORMAL,I have some news to tell you. / I have some news for you.,
ขอโทษ(นะ)ที่ทำให้(คุณ)เป็นห่วง,kɔ̌ɔ-tôot (ná) tîi tam-hâi (kun) bpen-hùang ,,I’m sorry for making you worry. / I’m sorry for causing you to worry.,
คุณจะว่าอย่างไร,kun jà wâa yàang-rai,,What would you say?,
ถอนคำพูด(นะ),tɔ̌ɔn kam-pûut (ná) ,,Take it back! (what you said),
(ไม่เคยร้องไห้)ต่อหน้าคนอื่น,(mâi-kəəi rɔ́ɔng-hâi) dtɔ̀ɔ-nâa kon-ʉ̀ʉn (,,I’ve never cried) in front of others.,
ผล(ตรวจ)ออกมาแล้ว,pǒn(dtrùat) ɔ̀ɔk-maa lɛ́ɛo ,,The results are out. / The test came back.,
คุณนั้นแหละ(ที่บ้า),kun nán-lɛ̀ (tîi bâa) ,,YOU’RE the one (who’s crazy)! / (It’s YOU) who’s crazy!,
เมื่อไม่กี่วันที่ผ่านมา,...  mʉ̂a mâi-gìi wan tîi pàan maa…,SEMI-FORMAL,A few days ago…,
เมื่อไม่กี่วันก่อน,...  mʉ̂a mâi-gìi wan gɔ̀ɔn…,SEMI-FORMAL,A few days ago…,
ถ้ามีใครรู้,... mâi-mii-krai rúu...,,If anyone finds out… / If anyone knew…,
ขอเพียงแค่,... kɔ̌ɔ piang-kɛ̂ɛ...,,All (I) ask is… / (I) only ask that…,
ไม่มีทางเบื่อแน่นอน,mâi-mii-taang bʉ̀a nɛ̂ɛ-nɔɔn (,,I)’d never get bored! / There’s no way I’d ever get bored!,
ขอโทษนะที่ไม่ได้ติดต่อคุณ,kɔ̌ɔ-tôot ná tîi mâi-dâi dtìt-dtɔ̀ɔ kun (,,I)’m sorry for not having contacted you. / (I)’m sorry that I didn’t contact you.,
ใกล้จะคลอดแล้ว,glâi jà klɔ̂ɔt lɛ́ɛo,,(She)’s about to give birth. / (She)’s going into labor.,
เขาถูกประหารชีวิต,kǎo tùuk bprà-hǎan-chii-wít ,,He was executed. (received the death penalty),
พูดให้มันดีๆหน่อย,pûut hâi man dii-dii nɔ̀i ,STRONG,Watch your language! / Speak nicely!,
เป็นลางร้าย,bpen laang-ráai,,It’s a bad omen. / That’s ominous.,
อย่ามาเสือก,yàa maa sʉ̀ak ,STRONG,Don’t butt in! / Don’t intrude!,
