thai,phonetic,register,definition,note
ขอบคุณพระเจ้า,kɔ̀ɔp-kun prá-jâo,,Thank God!,
เจอกันที่(รถ),jəə gan tîi (rót) ,,Meet you at (the car). / See you at (the car).,
(มัน)ซนมาก,(man) son mâak,,He’s very naughty/mischievous.,
ดื่มเป็นเพื่อนผมหน่อย,dʉ̀ʉm bpen-pʉ̂an pǒm nɔ̀i ,,Have a drink with me. / Join me for a drink.,
เอาใหม่,ao mài,,Again. / Do it again. / Say it again. / Try again.,
เบาหน่อย,bao nɔ̀i,,Easy! / Not so loud!,
ต้องใช้เงินเยอะ,dtɔ̂ng chái-ngən yə́,,It costs a lot. / You have to spend a lot of money.,
ลองกินดู,lɔɔng gin duu,,Have a taste. / Try it. / Give it a try.,
น่ารังเกียจ(จริงๆ),nâa-rang-gìat (jing-jing) ,,That’s (really) disgusting/nasty/odious!,
(เขา)อาจจะมาสาย,(kǎo) àat-jà maa sǎai (,,He) might be late.,
กลับมาแล้ว,glàp maa lɛ́ɛo,,You’re back. / He’s back.,
อย่าเพิ่งไปนะ/อย่าเพิ่งไปสิ,yàa pə̂ng bpai ná / yàa pə̂ng bpai sì ,,Don’t go (yet)! / Don’t leave!,
ใกล้แล้ว,glâi lɛ́ɛo,,(We’re) close. / Almost there. / (She’s) almost here.,
ฉันไม่ได้ต้องการ(เงินมากมาย),chǎn mâi-dâi dtɔ̂ng-gaan (ngən mâak-mǎai),,I don’t need/want (a lot of money).,
เขาไม่มีหัวใจ,kǎo mâi-mii hǔa-jai,,He’s heartless! / He has no heart!,
เขาจมนำ้ตาย,kǎo jom-náam dtaai,,He drowned.,
ปลอดภัย(ดี)(แล้ว),bplɔ̀ɔt-pai (dii) (lɛ́ɛo),,(She)’s safe now. / (She)’s okay now./(She)’s out of danger now.,
ผมรู้มันเป็นยังไง,pǒm rúu man bpen yang-ngai,,I know what it’s like. / I know how it is.,
ผมสงสาร(เขา),pǒm sǒng-sǎan (kǎo) ,,I feel sorry for (him).,
น่าสงสาร,nâa-sǒng-sǎan,,Poor thing! / What a pity.,
