thai,phonetic,register,definition,note
ขอบคุณที่เตือน,kɔ̂ɔp-kun tîi dtʉan,,Thanks for warning me. / Thanks for the heads up. / Thanks for the warning.,
ว่าแต่(ว่า),... wâa-dtɛ̀ɛ (wâa)...,,By the way… / So… (speaking of…),
(คง)ไม่มีอะไรดีขึ้น,(kong) mâi-mii à-rai dii-kʉ̂n ,,Nothing would come of it. / No good would come of it. / It wouldn’t make any difference. / It wouldn’t get any better.,
ผมขอยืนยันว่า,...  pǒm kɔ̌ɔ yʉʉn-yan wâa...,SEMI-FORMAL,I assure you… / I insist… / I am positive…,
โทรไป(ก็)ไม่รับ,too-bpai (gɔ̂ɔ) mâi-ráp (,INFORMAL,I) called you but (you) didn’t answer.,
ต้องจากโลกนี้ไป,dtɔ̂ng jàak lôok níi bpai (,LITERARY,We all) have to leave this world. / (We all) have to die (someday).,
…ต่อไปไม่ได้อีก(แล้ว),...dtɔ̀ɔ-bpai mâi-dâi ìik (lɛ́ɛo) ,,I can’t … anymore. / I can’t … any longer.,
(…)เดี๋ยวใคร(จะ)มาเห็น (...),dtǐao krai (jà) maa hěn,,…or someone will see you! / Someone could see you! (warning given when about to do something embarrassing/wrong/etc.),
ขอแนะนำให้รู้จัก(กับ),...  kɔ̌ɔ nɛ́-nam-hâi-rúu-jàk (gàp)...,FORMAL,(I)’d like to introduce you to… / (I)’d like you to meet…,
(เขา)ยังไม่ได้ติดต่อเรา(มาเลย),(kǎo) yang mâi-dâi dtìt-dtɔ̀ɔ rao (maa ləəi) (,,He/They) haven’t contacted us yet. / (He/They) haven’t called us yet.,
(เขา)(มา)เกี่ยวอะไรด้วย,(kǎo) (maa) gìao à-rai dûai ,,What’s (he) got to do with it? / What does (he) have to do with anything?,
กลับหัวอยู่,glàp-hǔa yùu,,(It’s) upside down.,
เหมือนกันเปี๊ยบ(เลย),mʉ̌an-gan bpíap (ləəi) (,,They)’re exactly the same. / (They) have the exact same… / (They) look exactly the same. / (They)’re identical.,
ไม่ต้องกลัวอะไร(ทั้งนั้น),mâi-dtɔ̂ng glua à-rai (táng-nán) ,,No need to worry about anything. / You’ve got nothing to worry about. / You have nothing to fear.,
คิดจริงๆหรือว่า,... kít jing-jing rʉ̌ʉ waa...,,Do you really think…?,
อยู่กับปัจจุบัน,yùu gàp bpàt-jù-ban live in the present / live in the moment / stay in the present,LITERARY,,
อีบ้า,ii-bâa,VULGAR,Crazy (bastard/guy)! / Crazy (bitch/woman)!,
ไม่สมเหตุสมผล,mâi-sǒm-hèet-sǒm-pǒn,,It/That doesn’t make any sense.,
ไม่เห็นมี(อะไร)เลย,mâi hěn mii (à-rai) ləəi,,(I) don’t see anything. / There’s nothing here. / (I) don’t see any…,
นึกว่าใคร,nʉ́k-wâa krai,,"(Well, well, well…) if it isn’t… / Look who’s here!",
