thai,phonetic,register,definition,note
บรรยากาศดี,ban-yaa-gàat dii,,Nice atmosphere! / The atmosphere is nice.,
ฉันไม่ดื่มเหล้า,chǎn mâi dʉ̀ʉm lâo,,I don’t drink.,
ยังแข็งแรง,yang kɛ̀ng-rɛɛng,,It’s still in good shape. / He’s still strong.,
เหมือนเดิมครับ,mʉ̌an-dəəm kráp,,"I’ll have the same as usual. / Same as before. / My usual. (when ordering your regular coffee order at a cafe, etc.)",
คุณจะรออะไร,kun jà rəə à-rai ,,What are you waiting for?! (suggesting you should go ahead and do it),
ต้องรีบตัดสินใจ,dtɔ̂ng rîip dtàt-sǐn-jai ,,We have to hurry and make a decision. / I have to hurry and decide.,
สถานีนี้ชื่อ(ว่า)อะไร,sà-tǎan-nii níi chʉ̂ʉ (wâa) à-rai ,,What’s the name of this (train) station?,
ขอกอดทีหนึ่ง,kɔ̌ɔ gɔ̀ɔ tii nʉ̀ng,,Give me a hug.,
ยังไม่ได้บอก(เลย),yang mâi-dâi bɔ̀ɔk (ləəi) ,,I haven’t told you yet. / He didn’t tell me yet.,
ใช้เวลาแค่(5 นาที)(เอง),chái-wee-laa kɛ̂ɛ (hâa naa-tii) (eeng) ,,It only takes (5 minutes). / It takes just (5 minutes).,
ขอดูอันนี้ได้ไหมครับ,kɔ̌ɔ duu an-níi dâi-mǎi kráp ,,May I see this one? / Can I see this one? (at a store),
หน้าคุ้นจัง,nâa kún jang,,She sure looks familiar!,
(มัน)กว้างใหญ่มาก,(man) gwâang-yài mâak ,,It’s immense/vast/massive/enormous.,
แค่นั้นเองเหรอ,kɛ̂ɛ-nán eeng rə̌ə,,Is that it? / Is that all?,
จับไว้,jàp wái,,Grab it. / Hold it. / Hold him. / Hold on.,
เกิดวันที่เท่าไหร่,gə̀ət wan-tîi tâo-rài ,,What day were you born on?,
ไม่ค่อยมีนะ,mâi-kɔ̂i mii ná ,,Not so much. / Not so many.,
ผมโกรธตัวเอง,pǒm gròot dtua-eeng,,I’m angry at/with myself.,
ฉันหลงทาง,chǎn lǒng-taang,,I’m lost. / I’ve lost my way.,
น่าทานมาก(ค่ะ),nâa-taan mâak (kà) ,SEMI-FORMAL,It/that looks really delicious!,
