thai,phonetic,register,definition,note
อยากมีเงินเยอะๆ,yàak mii ngən yə́-yə́,,I want to have a lot of money! / I wanna have lots and lots of money!,
อย่าทำหก / อย่าให้หก,yàa tam hòk / yàa hâi hòk ,,Don’t spill it.,
มีหลายรูปแบบ,mii lǎai rûup-bɛ̀ɛp,,There are a lot of styles. / There’s many types.,
อย่าไปไหนนะ,yàa bpai-nǎi,,Don’t go anywhere. / Stick around. / You stay here.,
ผมไม่ไปไหน,pǒm mâi bpai-nǎi,,I’m not going anywhere.,
(สุขภาพ)ไม่ค่อยแข็งแรง,(sùk-kà-pâap) mâi-kɔ̂i kɛ̌ng-rɛɛng (,,Her health) isn’t so strong. / She’s not very strong.,
อยู่มากี่ปี(แล้ว),yùu maa gìi bpii (lɛ́ɛo) ,,How many years have you been here?,
ไม่นานมาก,mâi naan mâak,,Not so long. / Not that long.,
อยู่มานานแล้ว,yùu maa naan lɛ́ɛo (,,It)’s been here for a long time. / (It)’s been around a long time.,
ซ่อมเองได้,sɔ̂m eeng dâi,,(You) can fix/repair it yourself.,
ต้องเข้าคิวรอ,dtɔ̂ng kâo-kiu rɔɔ,,You have to wait in line. / You have to get in line and wait.,
ต้องรอนานแค่ไหน,dtɔ̂ng rɔɔ naan kɛ̂ɛ-nǎi ,,How long do I have to wait? / How long does it take?,
นานแค่ไหนก็รอได้,naan kɛ̂ɛ-nǎi gɔ̂ɔ rɔɔ dâi ,,"No matter how long, (I) can wait. / (I) can wait no matter how long it takes.",
ต้องมีใบอนุญาต,dtɔ̂ng mii bai-à-nú-yâat ,,You need a license/permit.,
ฉันคิดว่าไม่ใช่(...),chǎn kít-wâa mâi-châi(...) ,,I don’t think so. / I don’t think…,
ไม่เป็นห่วง... หรือ,mâi bpen-hùang... rʉ̌ʉ,,Aren’t you worried/concerned about… ?,
ลองเปิดดู,lɔɔng bpə̀ət duu,,Have a look. / Open it (and have a look).,
เขียนว่าอะไร,kǐan wâa à-rai,,What does this say? / What did it say?,
มัน(เป็น)เรื่องเล็ก,man (bpen) rʉ̂ang-lék ,,It’s a small matter. / It’s nothing. / It’s no big deal.,
เลิกฝันได้แล้ว,lə̂ək fǎn dâi lɛ́ɛo,,Stop dreaming!,
