thai,phonetic,register,definition,note
ภาษา(ใต้)เรียกว่าอะไร,paa-sǎa (dtâai) rîak-wâa à-rai ,,What do you call that in (Southern) Dialect? / How do you say that in (Southern) Dialect?,
พูดมาเลย,pûut maa ləəi ,INFORMAL,Say it. / Tell me what what you wanna say.,
หนูทำอย่างนั้นไม่ได้,nǔu tam yàang-nán mâi-dâi ,,I can’t do that!,
ฉันเข้าใจความรู้สึก(ของ)คุณ,chǎn kâo-jai kwaam-rúu-sʉ̀k (kɔ̌ɔng) kun ,,I understand how you feel. / I understand your feelings.,
เขาขี้เหนียว,kǎo kîi-nǐao,,He’s stingy. / He’s cheap.,
กลั้นหายใจ,glân hǎai-jai,,Hold your breath.,
ผมกลัวเข็ม,pǒm glua kěm,,I’m afraid of needles.,
ไม่ยอมไปหาหมอ,mâi-yɔɔm bpai-hǎa mɔ̌ɔ,,(He) won’t go to the doctor. / (He) refuses to go see a doctor.,
(มัน)น่าอาย,(man) nâa-aai,,It’s embarrassing! / It’s shameful! / It’s humiliating!,
นี่เป็นครั้งแรกที่,... nîi bpen kráng-rɛ̂ɛk tîi...,,This is the first time I’ve…,
คิดถึงเหมือนกัน,kít-tʉ̌ng mʉ̌an-gan,,I miss you too. / I miss him too.,
จะให้ฉันทำอะไร,jà hâi chǎn tam à-rai,,What do you want me to do? / What am I supposed to do?,
น่าเกลียด,nâa-glìat,,So ugly! / He’s ugly! / That’s disgusting!,
หนูยุ่งมากเลย,nǔu yûng mâak ləəi,,I’m really busy. / I’ve been really busy.,
(งั้น)ฉันวางไว้ตรงนี้(นะ),(ngán) chǎn waang wái dtrong-níi (ná) (,,Then) I’ll leave it right here. / (Okay then) I’ll set it over here.,
คิดแล้วเศร้า,kít lɛ́ɛo sâo,,"When I think about it, it makes me sad.",
กำลังนิยมกัน,gam-lang ní-yom gan,,It’s popular/fashionable.,
(ความรัก)ไม่มีวันตาย,(kwaam-rák) mâi-mii-wan dtaai (,,Love) never dies. / (Love) is immortal.,
ขอเข้าไปได้ไหมครับ,kɔ̌ɔ kâo-bpai dâi-mǎi kráp ,,May I come in?,
จะออกไปไหน,jà ɔ̀ɔk bpai-nǎi,,Where are you off to? / Where are you going? (said when seeing someone about to go out),
