thai,phonetic,register,definition,note
อย่าทำแบบนี้,yàa tam bɛ̀ɛp-níi,,Don’t do this.,
อย่าทำแบบนั้น,yàa tam bɛ̀ɛp-nán,,Don’t do that.,
อย่าทำแบบนี้กับฉัน,yàa tam bɛ̀ɛp-níi gàp chǎn,,Don’t do this to me.,
อย่าทำแบบนี้อีก,yàa tam bɛ̀ɛp-níi ìik,,Don’t do it again.,
เงียบมาก,ngîap mâak,,It’s so quiet!,
เสียงดังมาก,sǐang-dang mâak,,It’s so loud!,
โชคดีนะ(ค่ะ/ครับ),chôok-dii ná (kà / kráp),,Good luck. / Take care.,
ขอบใจ,kɔ̀ɔp-jai,,Thanks. (use older to younger or between close friends),
ออกไป,ɔ̀ɔk bpai,,Get out of here! / Get out!,
ไม่ต้องพูด,mâi dtɔ̂ng pûut,,Don’t tell me (about it). / No need to mention that.,
ไม่อยากฟัง,mâi yàak fang,,I don’t wanna hear (it).,
เป็นไปไม่ได้,bpen-bpai mâi-dâi,,Impossible!; That’s impossible!,
เขาเป็นเพื่อนฉัน,kǎo bpen pʉ̂an chǎn,,He’s my friend.,
นี่ไง,nîi ngai,,Here it is.,
นี่ครับ/ค่ะ,nîi kráp / nîi kà,,Here you are. (hands something to the listener),
ยินดีเสมอ,yin-dii sà-mə̌ə,,My pleasure. / You’re more than welcome. / It’s always a pleasure.,
มีเงินเก็บ,mii ngən-gèp,,I have some money saved up.,
ปกติแล้ว,... (bpòk-gà-dtì lɛ́ɛo…),,Normally… / Usually… / Generally… / Typically…,
ไม่ต้องทอนนะ,mâi-dtɔ̂ng tɔɔn ná,,Keep the change.,
รับอะไรเพิ่มไหม,ráp à-rai pə̂əm mǎi,,Would you like anything else?,
