thai,phonetic,register,definition,note
ทำอะไรบ้างวันนี้,tam à-rai bâang wan-níi ,,What did you do today? / What did you make today?,
เขางก / เขาเป็นคนขี้งก,kǎo ngók / kǎo bpen kon kîi-ngók ,,He’s stingy. / He’s greedy. / He’s a cheapskate.,
เขาออกไปข้างนอก,kǎo ɔ̀ɔk-bpai kâang-nɔ̂ɔk ,,She went out. / She went outside.,
ฉันดีใจกับแกนะ,chǎn dii-jai-gàp gɛɛ ná ,,I’m happy for you.,
ท้อง(ฉัน)ร้อง,tɔ́ɔng (chǎn) rɔ́ɔng ,,My stomach is growling! (hungry),
จำได้ทุกคำ,jam dâi túk kam,,(I) remember every word.,
เราเป็นแค่เพื่อน,rao bpen kɛ̂ɛ pʉ̂an,,We’re just friends. / We’re only friends.,
ใครบอกว่า,... krai bɔ̀ɔk wâa...,,Who says…? / Who said…?,
ไม่ได้กินนาน,mâi-dâi gin naan,,I haven’t had (that) for a long time. / It’s been awhile since I ate (that).,
ผมไม่มีคนอื่น,pǒm mâi-mii kon-ʉ̀ʉn ,,I don’t have anyone else. / I have no one else. (but you/her),
ถอดรองเท้าด้วย(ครับ),tɔ̀ɔt rɔɔng-táao dûai (kráp) ,,Please take off your shoes.,
มันน่าตื่นเต้น,man nâa-dtʉ̀ʉn-dtên,,It’s exciting.,
ยังไม่อยากมี,yang mâi-yàak mii,,(I) don’t want one yet.,
ขายไม่ค่อยดี,kǎai mai-kɔ̂i dii,,(They’re) not selling very well. / (It’s) not selling so well.,
เล่ามาสิ,lâo maa sì,INFORMAL,Tell me! / Tell me about it!,
เชิญใหม่นะครับ / นะคะ,chəən mài ná-kráp / ná-ká ,,Please come again.,
อยากออกไปเดินเล่น,yàak ɔ̀ɔk-bpai dəən-lên,,(I) wanna go out for a walk. / I want to take a stroll.,
มันบาปนะ,man bpàap ná,,It’s a sin. / That’s a sin.,
ฉันจำเป็นต้องรู้,chǎn jam-bpen-dtɔ̂ng rúu ,,I have to know. / It’s necessary that I know.,
พูดอะไรก็ได้,pûut à-rai gɔ̂ɔ-dâi,,Say whatever you want (to say). / Say anything.,
