thai,phonetic,register,definition,note
ไม่น่าจะใช่นะ,mâi-nâa-jà châi ná,,That’s unlikely. / I don’t think so.,
ไม่น่าเกี่ยวนะ,mâi-nâa gìao ná,,It’s probably not connected. / I doubt if it’s related.,
ขออนุญาตนะคะ,kɔ̌ɔ à-nú-yâat ná-ká,,May I? / Please allow me… / Excuse me…,
ดวงดาวเต็มท้องฟ้า,duang-daao dtem tɔ́ɔng-fáa,,The sky is full of stars.,
ผมจะทำตามที่คุณบอก,pǒm jà tam dtaam-tîi kun bɔ̀ɔk ,,I’ll do as you say. / I’ll do whatever you want.,
มันเป็นอย่างนี้(…),man bpen yàang-níi(...) ,,This is how it is(…) / This is how it happened(…),
…เมื่อวันนั้นมาถึง,... ...mʉ̂a wan nán maa-tʉ̌ng...,,When that day comes… / …when that day comes.,
ฝากดูแลเขาด้วย(นะ),fàak duu-lɛɛ kǎo dûai (ná) ,,Take care of her (for me).,
ฉันเคยผ่านมันมาแล้ว,chǎn kəəi pàan man maa lɛ́ɛo ,,I’ve been through that before. / I’ve experienced that before.,
ไม่ใช่คนที่(ฉัน)เคยรู้จัก,mâi-châi kon tîi (chǎn) kəəi rúu-jàk (,,He)’s not the person I used to know. (=He’s changed and not like he used to be.),
โดยไม่มีเงื่อนไข,dooi mâi-mii-ngʉ̂an-kǎi,,No strings attached. / With no conditions. / Unconditionally.,
มีหลายประเภท,mii lǎai bprà-pêet ,FORMAL/LITERARY,There are many kinds/types.,
ประเภทที่(1),...  bprà-pêet tîi (nʉ̀ng)...,FORMAL/LITERARY,The (first) type/kind is…,
…หรืออะไรแบบนั้น,rʉ̌ʉ à-rai bɛ̀ɛp-nán,,…or something like that.,
…จากทั่วทุกมุมโลก,... ...jàak tûa túk mum lôok...,,…from all over the world… /…from all around the world… /…from every corner of the world…,
คิดถึงใจจะขาด,kít-tʉ̌ng jai jà kàat,,(I) miss (him) so bad my heart’s gonna break! / (I) miss (him) like crazy!,
(หล่อ)ไม่แพ้กัน,(lɔ̀ɔ) mâi-pɛ́ɛ-gan (,,He)’s just as (handsome)! / (He)’s equally (handsome)!,
คุณจะรู้สึกผิดไปตลอดชีวิต,kun jà rúu-sʉ̀k-pìt bpai dtà-lɔ̀ɔt chii-wít ,,You’ll feel guilty for the rest of your life.,
ผมไม่อยากทำให้เธอเสียใจ,pǒm mâi yàak tam-hâi təə sǐa-jai ,,I don’t wanna break her heart. / I don’t want to hurt her.,
กลัวจะเสียเธอไป,glua jà sǐa təə bpai,,(I)’m afraid (I)’ll lose her.,
