thai,phonetic,register,definition,note
ไม่เชื่อหรอก,mâi chʉ̂a rɔ̀ɔk,,I don’t believe it! / I don’t believe you!,
อย่าไปเชื่อ(...),yàa bpai chʉ̂a(…),,Don’t believe it/him! / Don’t believe…,
จะไม่มีใครเชื่อ,jà mâi mii krai chʉ̂a...,,No one’s gonna believe you! / No one would believe you!,
ผมจัดการเอง,pǒm jàt-gaan eeng,,I’ll take care of it myself. / I’ll do it myself.,
แค่อยากให้คุณรู้ว่า,... (kɛ̂ɛ yàak hâi kun rúu wâa...),,I just want you to know…,
มีโอกาส(สูง)มากที่,... mii oo-gàat (sǔung) mâak tîi...,,There’s a good/great chance that… / It’s very likely that…,
อย่ารู้เลย,yàa rúu ləəi,,It’s better if you don’t know. / You don’t wanna know!,
...อะไรประมาณนี้,...à-rai bprà-maan nií,,…(or)something (like that).,
มาพอดีเลย,maa pɔɔ-dii ləəi,,You’re just in time. / Speak of the devil—here she is/comes.,
ตกลง,…  (dtòk-long…),INTERJECTION,So… / Okay... / Alright... (like ‘Tell me…’ when making a decision/conclusion),
ฉันยกโทษให้,chǎn yók-tôot-hâi,,I forgive you.,
คุณก็รู้ว่าผมคิดยังไง,kun gɔ̂ɔ rúu wâa pǒm kít yang-ngai,,You know how I feel (about you).,
ไม่ต้องก็ได้,mâi-dtɔ̂ng gɔ̂ɔ-dâi,,You don’t have to. / No need to. / Don’t bother.,
ไม่รู้จะซื้ออะไรดี,mâi-rúu jà sʉ́ʉ à-rai dii,,I don’t what to buy. / I don’t know what I should buy.,
ทั้งวันทั้งคืน,táng wan táng kʉʉn,,All day and all night / Night and day / Day and night,
อย่าลืมซื้อของฝาก,yàa lʉʉm sʉ́ʉ-kɔ̌ɔng fàak,,Don’t forget to buy me something. / Don’t forget to buy me a souvenir.,
เพราะฉันใช่ไหม,prɔ́ chǎn châi-mǎi,,"Because of me, right? / Because of me?",
เทียบไม่ได้เลย / เทียบไม่ได้กับ,... (tîap mâi-dâi ləəi / tîap mâi-dâi gàp...),,It doesn’t compare at all. / I’m no match for (him). / That’s nothing compared to…,
คุณไม่มีสิทธิ์,... (kun mâi mii sìt...),,You have no right to… / You can’t just…,
ไม่อยากเชื่อเลย,mâi yàak chʉ̂a ləəi,,Unbelievable! / It’s unbelievable.,
