thai,phonetic,register,definition,note
คุณพูดอะไร,kun pûut à-rai,,What are you talking about? / What are you saying?,
จะเอาอะไร,jà ao à-rai,INFORMAL,What do you want?,
รู้ไหมทำไม(...),rúu mǎi tam-mai(…),,Do you know why(…)?,
กินข้าวรึยัง,gin-kâao rʉ́-yang,,Have you eaten yet?,
ทานข้าวรึยัง,taan-kâao rʉ́-yang,SEMI-FORMAL,Have you eaten yet?,
คุณรู้เรื่องนี้ได้ยังไง,kun rúu-rʉ̂ang níi dâi yang-ngai,,How did you find out? / How do you know about it/that?,
แล้วฉันล่ะ,lɛ́ɛo chǎn lâ,,What about me?!, This shows surprise and has the effect of “Hey/Well/Wait…”
เป็นยังไงบ้างลูก,bpen-yang-ngai bâang lûuk,,How are you honey/sweetie?, This is said by a mother or father to their child.
มันทำได้ยาก,man tam-dâi-yâak,,It’s hard to do.,
อาจเป็น... ก็ได้,aat bpen... gɔ̂ɔ-dâi,,It might/could be…,
ไม่มีเงินเลย,mâi mii ngən ləəi,,I don’t have any money (at all).,
อยากจะอ้วก,yàak jà ûak,,I wanna throw up. / I’m gonna throw up.,
ขอบใจที่มา,kɔ̀ɔp-jai tîi maa,INFORMAL,Thanks for coming., Used casually to a person younger than you or to a child.
ทำตัวตามสบายนะ,tam-dtua dtaam-sà-baai ná,,Make yourself at home. / Make yourself comfortable.,
ฉันจะพาคุณไปเที่ยว,chǎn jà paa kun bpai-tîao,,I’ll take you around. / I’ll show you around (=give you a tour). / I’ll take you out.,
เธอคือคนที่ใช่,təə kʉʉ kon-tîi-châi,,She’s the one (for me).,
(ฉัน)ออกเวรแล้ว,(chǎn) ɔ̀ɔk-ween lɛ́ɛo ,,My shift’s over. / I’m off (now).,
เขารอผมอยู่,kǎo rɔɔ pǒm yùu,,He’s waiting for me. / She’s waiting for me.,
หมดเวลา(...)แล้ว,mòt-wee-laa(...)lɛ́ɛo,,Time’s up. / (X) is over.,
ฉันแทบไม่รู้จักเขา,chǎn tɛ̂ɛp mâi-rúu-jàk kǎo,,I barely/hardly know him.,
