thai,phonetic,register,definition,note
โลก(มัน)แคบ,lôok (man) kɛ̂ɛp ,,It’s small world! / Small world!,
ไม่ใช่ความรับผิดชอบของผม,mâi-châi kwaam-ráp-pìt-chɔ̂ɔp kɔ̌ɔng pǒm (,,That)’s not my responsibility.,
ใครๆก็ทำแบบนี้,krai-krai gɔ̂ɔ tam bɛ̀ɛp-níi ,,Everyone does it!,
สภาพพอใช้ได้,sà-pâap pɔɔ-chái-dâi,,"It’s in fairly good condition. (a used item for sale, etc.)",
ขอบคุณล่วงหน้า,kɔ̀ɔp-kun lûang-nâa ,SEMI-FORMAL,Thank you in advance.,
ไม่ได้รีบร้อนอะไร,mâi-dâi rîip-rɔ́ɔn à-rai (,,I)’m not in any big rush. / (I)’m not in a hurry.,
มีชีวิตชีวา,mii-chii-wít-chii-waa,,It’s lively. / It’s full of life.,
ไม่เข้าใจว่าต้องทำยังไง,mâi-kâo-jai wâa dtɔ̂ng tam yang-ngai (,,I) don’t understand what (I’m supposed) to do.,
ฉันดีใจกับคุณนะ,chǎn dii-jai gàp kun ná ,,I’m happy for you.,
เท่าที่ผมเห็น,... tâo-tîi pǒm hěn...,,As far as I can see… / As far as I can tell…,
อีกไม่เกิน (5 วัน),… ìik mâi-gəən (hâa wan)...,,In less than (5 days)… / Within (5 days)…,
ไม่เคยคิดเลยว่า,... mâi-kəəi kít ləəi wâa...,,(I)’ve never thought (that)…,
หลายอย่างร่วมกัน,lǎai yàang rûam-gan,,a lot of things mixed together / many things combined together / a variety of factors,
ผมผิดคนเดียว,pǒm pìt kon-diao ,,It’s all my fault.,
พังหมด(เลย),pang mòt (ləəi) ,,It’s screwed up! / It’s completely destroyed! / It’s ruined!,
คิดแต่จะเอาชนะ,kít dtɛ̀ɛ jà ao chá-ná (,,He) only thinks about winning/trying to win.,
ขอโทษจากใจจริง,kɔ̌ɔ-tôot jàak jai jing ,SEMI-LITERARY,I’m truly sorry. / I’m sincerely sorry.,
ไม่มีวันจบ(สิ้น),mâi-mii-wan jòp(sîn) ,,It’s never-ending/endless.,
ฉันรู้สึกเหมือนเดิม,chǎn rúu-sʉ̀k mʉ̌an-dəəm ,,I feel the same (as I always have). / My feelings are the same as before.,
ขอให้สำเร็จ,kɔ̌ɔ-hâi sǎm-rèt,,I wish you success.,
