thai,phonetic,register,definition,note
ฉันไม่ได้เมา,chǎn mâi-dâi mao,,I’m not drunk!,
พรุ่งนี้ต้องตื่นแต่เช้า,prûng-níi dtɔ̂ng dtʉ̀ʉn dtɛ̀ɛ-cháao (,,I) have to get up very early tomorrow (morning).,
ใครก็ทำได้,krai gɔ̂ɔ tam-dâi,,Anyone can do it! / Anyone can make it.,
ขอเวลาแค่(5 นาที),kɔ̌ɔ wee-laa kɛ̂ɛ (hâa naa-tii) ,,Just give me (5 minutes). / I just need (5 minutes).,
ฉันรู้จักเขาดี,chǎn rúu-jàk kǎo dii,,I know him well.,
ปวดขี้,bpùat kîi,INFORMAL,I’ve gotta take a dump. / I have to shit.,
ไปไม่นาน(หรอก),bpai mâi naan (rɔ̀ɔk) ,,I won’t be long (at all). / He won’t be gone long.,
อิ่มแล้วหรือ,ìm lɛ́ɛo rʉ̌ʉ,,Are you full (already)?,
อย่าเข้ามาใกล้ฉัน,yàa kâo-maa glâi chǎn ,,Don’t come near me!,
อย่าเข้าไปใกล้(... ),yàa kâo-bpai glâi (…) ,,Don’t go near (it)! / Stay away from (him)! / Don’t get too close!,
โชคดีมากที่... / โชคดีจริงๆที่,... chôok-dii mâak tîi… / chôok-dii jing-jing tîi…,,(You)’re really lucky to/that…,
ใส่พอดี(เลย),sài pɔɔ-dii (ləəi) ,,It fits perfectly. / It fits just right.,
ไปก่อนเลย,bpai gɔ̀ɔn (ləəi),,You go (on) ahead. / Go ahead. / You can go first.,
คุณจะทำอะไร,kun jà tam à-rai,,What are you gonna do?,
ไม่รู้สึกอะไร(เลย),mâi rúu-sʉ̀k à-rai (ləəi) (,,I) don’t feel anything. / (I) don’t feel a thing.,
ไอทั้งคืน,ai táng-kʉʉn ,,I was coughing all night. / He coughed all night long.,
แทบไม่ได้นอนเลย,tɛ̂ɛp mâi-dâi nɔɔn ləəi,,(I) barely slept at all.,
ฉันไม่มีอะไรทำ,chǎn mâi-mii à-rai tam ,,I have nothing to do. / I don’t have anything to do.,
อย่าโลภ(มาก),yàa lôop (mâak) ,,Don’t be greedy!,
มันเปลืองเงิน,man bplʉang ngən,,It’s a waste of money. / That’s a waste of money.,
