thai,phonetic,register,definition,note
ของฝากเล็กๆน้อยๆ,kɔ̌ɔng-fàak lék-lék nɔ́ɔi-nɔ́ɔi ,,Here’s a small souvenir. / I have a little something I bought for you.,
ไม่ได้เข้าข้างใคร,mâi-dâi kâo-kâang krai ,,I’m not siding with anyone. / I’m not taking anyone’s side.,
คิดดีทำดี,kít dii tam dii,,"Think good, do good."," This is an expression from Buddhism meaning if you have good intentions and do good, you wil have good karma."
ขอให้เป็นอย่างนั้น,kɔ̌ɔ-hâi bpen yàang-nán ,SEMI-FORMAL/LITERARY,So be it. / I hope so. / I hope it turns out that way.,
เป็นคนละเอียดรอบคอบ,bpen kon lá-ìat rɔ̂ɔp-kɔ̂ɔp ,,He’s meticulous/very thorough/very careful.,
เหมือนตกนรกทั้งเป็น,mʉ̌an dtòk-ná-rók táng-bpen ,,It’s like hell on earth! / It’s like going to hell alive!,
(จะ)สบายไปทั้งชาติ,(jà) sà-baai bpai táng-châat ,,"He’d live comfortably for the rest of his life. / He would have it easy his whole life. (not necessary to work due to having excess money, etc.)",
ทำจิตใจให้สงบ,tam jìt-jai hâi sà-ngòp,,Calm your mind.,
ยังนับว่าโชคดี,yang náp-wâa chôok-dii,,"Consider yourself lucky! / You were lucky! / Still, you were fortunate. (that nothing worse happened to you, etc.)",
พบเห็นได้ทั่วไป,póp-hěn dâi tûa-bpai,,(It)’s found all over. / (It)’s commonly seen. / (It)’s a common sight.,
โชคเข้าข้าง(เราแล้ว),chôok kâo-kâang (rao lɛ́ɛo) ,LITERARY,Luck is on our side. / This is our lucky break.,
ฉันไม่เรียกร้องอะไร,chǎn mâi rîak-rɔ́ɔng à-rai ,SEMI-FORMAL,I don’t ask for anything. / I’m not demanding anything.,
ใครจะว่ายังไงก็ช่างเขา,krai jà wâa yang-ngai gɔ̂ɔ châng kǎo ,INFORMAL,They can say whatever they want! / I don’t care what anyone says!,
สมกันดี(นะ),sǒm-gan dii (ná),,Good match! / How suitable! / (You two) are perfect for each other! //They’re a good fit.,
ฉันแค่พูดตามความเป็นจริง,chǎn kɛ̂ɛ pûut dtaam kwaam-bpen-jing ,,I’m just telling the truth. / I’m just being honest.,
…ว่าไหม,...wâa mǎi,,"… ,huh? / … ,don’t you think? / … ,isn’t it? / … ,don’t they? etc./(This functions similar to a tag question.)",
เงินเดือนไม่พอใช้,ngən-dʉan mâi-pɔɔ chái,,(My) salary isn’t enough (to live on).,
ดูซึมๆ,duu sʉm-sʉm,,(She) looks down/depressed/mopey.,
มองไม่วางตาเลย,mɔɔng mâi waang dtaa ləəi (,,He) kept staring at her. / (He) couldn’t take his eyes off her.,
ขายดิบขายดี,kǎai-dìp-kǎai-dii (,IDIOMATIC,They’re) selling like hotcakes! / (They’re) selling really well!,
