thai,phonetic,register,definition,note
ห้ามใจไม่ได้,hâam-jai mâi-dâi,,(He) couldn’t resist. (He) couldn’t help himself., This is often used for temptations.
รวบรวมสติอน่อย/ไว้,rûap-ruam sà-dtì nɔ̀ì/wái,,Pull yourself together! / Compose yourself! / Try to gather your senses! //Concentrate!,
ชอบยุ่งเรื่องชาวบ้าน,chɔ̂ɔp yûng rʉ̂ang chaao-bâan,,He likes to mess in other people’s business!,
ต้องเป็นฝีมือ (),dtɔ̂ng bpen fǐi-mʉʉ () ,,It had to be () (who did it)! / It must have been ()!, This is often used for mischief or sneaky actions.
เราผ่านอะไรมาเยอะ,rao pàan à-rai maa yə́,,We’ve been through a lot.,
ยากเหลือเกินที่จะ,...  (yâak lʉ̌a-gəən tîi jà...),SEMI-LITERARY/POETIC,It’s so difficult to…,
ตาต่อตาฟันต่อฟัน,dtaa dtɔ̀ɔ dtaa fan dtɔ̀ɔ fan,,"an eye for any eye, a tooth for a tooth / tit for tat",
คุณคนเดียวเท่านั้นที่,... (kun kon-diao tâo-nán tîi...),,You’re the only one who…,
รัก(เขา)สุดหัวใจ,rák (kǎo) sùt hǔa jai ,SEMI-LITERARY/POETIC,I love her with all my heart.,
คุณพิสูจน์ตัวเองแล้ว(ว่า),... kun pí-sùut dtua-eeng lɛ́ɛo (wâa)...,,You’ve proven yourself (that)…,
แก้ไขไม่ได้แล้ว,(gɛ̂ɛ-kǎi mâi-dâi lɛ́ɛo) ,,It’s irreparable. / It can’t be fixed.,
ยิ่งไปกว่านั้น,...  (yîng bpai gwàa nán...),SEMI-FORMAL,Moreover… / In addition… / Besides… / More than that… / What’s more… //On top of that…,
(มัน)ไม่ใช่อย่างที่คุณคิด(นะ),man mâi-châi yàang-tîi kun kít (ná) ,,It’s not like you think. / It’s not what you think. / It’s not what it looks like.,
ทุกคนมีสิทธิ์ที่จะเลือก,túk kon mii-sìt tîi jà lʉ̂ak,,Everyone has the right to choose.,
ถ้าขาดเหลืออะไรบอกฉันได้เลยนะคะ,tâa kàat-lʉ̌a à-rai bɔ̀ɔk chǎn dâi leei ná-ká,,"If you need anything else, just let me know.",
ขอแสดงความเสียใจ(ด้วย)(นะ),kɔ̌ɔ sà-dɛɛng kwaam-sǐa-jai (dûai) (ná),FORMAL,My (deepest) condolences. / I’m so sorry to hear about your loss.,
มากกว่าสิ่งใด,mâak-gwàa sìng-dai,LITERARY,More than anything.,
เราเคยรู้จักกันมาก่อนหรือเปล่า,rao kəəi rúu-jàk-gan maa-gɔ̀ɔn rʉ̌ʉ-bplàao,,Have we met before?,
คงไม่(ครับ/ค่ะ),kong mâi (kráp/kà),,I don’t think so. / Probably not.,
ว่ากันว่า,... (wâa-gan-wâa...),,They say (that)… / It’s said that…,
