thai,phonetic,register,definition,note
จะพูดว่าอย่างไรดี,(jà pûut wâa yàang-rai dii) ,,What should I say? / How should I say it?,
ไม่รู้จะพูดว่าอย่างไร,(mâi-rúu jà pûut wâa yàang-rai) (,,I) don’t know what to say. / I didn’t know what to say.,
ยากที่จะอธิบาย / อธิบายยาก,(yâak tîi jà à-tí-baai / à-tí-baai yâak) ,,It’s difficult to explain.,
(...)อะไรอย่างนี้,(à-rai yàang-níi) ,INFORMAL,Something like that. / …something like that.,
(ก็)ไม่เชิง,(gɔ̂ɔ) mâi-chəəng,,Not really. / Not exactly.,
ไม่ได้หมายความว่า,... (mâi-dâi mǎai-kwaam wâa…) ,,That/it doesn’t mean (that)…,
ไม่ใช่(ค่ะ),mâi-châi (kà),,No (it’s not.) / Wrong. / Incorrect. / I don’t think so.,
ผม(ก็)ไม่เข้าใจอยู่ดี,pǒm (gɔ̂ɔ) mâi-kâo-jai yùu-dii ,,I still don’t get it. / I still don’t understand., อยู่ดี (yùu-dii) means still or anyway.
ฟังไม่รู้เรื่อง,(fang mâi-rúu-rʉ̂ang) (,,I) can’t understand at all (what s/he’s saying).,
(มัน)ย่อมาจาก,... (man) yɔ̂ɔ-maa-jàak...,,It’s short for… / It stands for… (example: UN=United Nations),
(มัน)ขึ้นอยู่กับ(ว่า),... (man) kʉ̂n-yùu-gàp (wâa)...,,It depends on...,
ใช้เวลานานเท่าไหร่,(chái-wee-laa naan tâo-rai) ,,How long does it take?,
ต้องใช้เวลา,dtɔ̂ng chái-wee-laa,,It takes time.,
ใช้เวลานาน,chái-wee-laa naan,,It takes a long time.,
จะใช้เวลาอีกประมาณ (5 นาที),jà chái-wee-laa ìik bprà-maan (hâa naa-tii) ,,It’ll take about (5) more (minutes).,
(มัน)ได้ผลจริงๆ,(man) dâi-pǒn jing-jing ,,It really works. / It really worked. / It was really effective.,
(…)เปลี่ยนอะไรไม่ได้ (...),bplìan à-rai mâi-dâi (,,You) can’t change anything. / (You) can’t make a difference. / …isn’t gonna change anything.,
ไม่ใช่เรื่องยาก,(mâi-châi rʉ̂ang yâak) ,,It’s not (that) hard. / It’s a piece of cake.,
ทำอย่างนั้นทำไม,(tam yàang-nán tam-mai) ,,Why did you do that? / Why would you do that?,
ฟังดูประหลาด,fang-duu bprà-làat,,It sounds strange/weird/peculiar.,
