thai,phonetic,register,definition,note
ทำไมต้องเป็นอย่างนี้,tam-mai dtɔ̂ng bpen yàang-níi ,,Why does it have to be like this?! / Why does this have to happen?!,
คงไม่มีอะไรหรอก,kong mâi-mii-à-rai rɔ̀ɔk ,,It’s probably nothing. (nothing will happen),
เราอาจจะคิดมากไปเอง,rao àat-jà kít mâak bpai eeng ,,I might be (just) overthinking it. / I might be thinking too much.,
ไม่น่าพูดเลย,mâi-nâa pûut ləəi,,(I) shouldn’t have said that. / (I) shouldn’t have said anything.,
ถ้าได้ข่าวอะไร(จะโทรบอกแล้วกัน),tâa dâi-kàao à-rai (jà too bɔ̀ɔk lɛ́ɛo-gan) ,,"If I hear anything, (I’ll call and let you know.) / If I receive any news, (I’ll call and let you know.)",
เราต้องรีบออกไปจากที่นี่,rao dtɔ̂ng rîip ɔ̀ɔk bpai jàak tîi-nîi ,,We have to get out of here! / We have to hurry and leave this place!,
ทำไม(ถึง)ต้องทำอย่างนี้,tam-mai (tʉ̌ng) dtɔ̂ng tam yàang-níi ,,What do you have to do this?! / Why are you doing this?!,
(ผู้หญิง)มีตั้งมากมาย,(pûu-yǐng) mii dtâng mâak-maai,EMPHASIS or SURPRISE,There are a lot of (women)!,
ช่วยไว้ไม่ทัน,chûai wái mâi-tan,,He couldn’t rescue her in time. / They didn’t save him in time.,
…ถ้าคิดอย่างนั้น,... ...tâa kít yàang-nán...,,…if that's what you think… / …if that's how you think…,
ตามปกติแล้ว,... dtaam-bpòk-gà-dtì lɛ́ɛo…,,Normally… / Usually… / Generally… / Typically…, ปกติ (bpàk-gà-dtì) is an alternative pronunciation for this word.
(…)ก็เรื่องของคุณ (…),gɔ̂ɔ rʉ̂ang kɔ̌ɔng kun (…),,That’s your problem! / That’s your business!,
ฉันต้องรู้ให้ได้ว่า,...  chǎn dtɔ̂ng rúu hâi-dâi wâa...,STRONG/URGENT,I have to know… / I need to know…,
…ส่วนอีกคนหนึ่งเป็น(หมอ),...sùan ìik kon nʉ̀ng bpen (mɔ̌ɔ),,"…the other is (a doctor). / …as for the other, she’s (a doctor).",
(กลัว)ว่าจะมีเรื่องร้ายเกิดขึ้น,(glua) wâa jà mii rʉ̂ang-ráai gə̀ət-kʉ̂n (,,I’m afraid) something terrible will happen.,
อีกไม่ไกลแล้ว,ìik mâi glai lɛ́ɛo,,It’s not much further. / It’s not far from here.,
เจ็บตรงไหนไหม,jèp dtrong-nǎi mǎi,,Did you hurt yourself? / Are you hurt?,
ไม่ใช่ไม่เชื่อนะ,mâi-châi mâi-chʉ̂a ná ,,It’s not that I don’t believe you.,
ผมไม่อยากเสี่ยง,pǒm mâi yàak sìang,,I don’t want to take the risk. / I don’t wanna risk it.,
ไม่ได้ง่ายอย่างที่คิด,mâi-dâi ngâai yàang tîi kít ,,It wasn’t as easy as we thought it would be. / It’s not as easy as you think.,
