thai,phonetic,register,definition,note
กลับบ้านไม่ถูก,glàp-bâan mâi-tùuk,,(I) couldn’t find my way back home.,
ห่วงแทบแย่,hùang tɛ̂ɛp yɛ̂ɛ,,(I)’ve been worried sick. / (I)’ve been really worried about (you).,
ต้องค่อยเป็นค่อยไป,dtɔ̂ng kɔ̂i bpen kɔ̂i bpai (,,We) have to take it slow/proceed gradually.,
ยังไม่ถึงขั้นนั้น,yang mâi-tʉ̌ng kân nán (,,We)’re not to that point yet. / (We)’re not there yet. / (We)’re not to that stage yet.,
เอามาทำอะไร(ได้บ้าง),ao maa tam à-rai (dâi bâang) ,,"What can you do with it? / What can you use it for? (an old cell phone, etc.)",
(ไป)โดนตัวไหนมา,(bpai) doon dtua nǎi maa ,SLANG,What are you on?!,
ทำอย่างไรถึงจะ(มั่นใจในตนเอง),tam yàang-rai tʉ̌ng jà (mân-jai nai dton-eeng),,What can I do to (be self-confident)? / What can I do so that I will (have self-confidence)?,
ทุกอย่างเข้าที่เข้าทาง,túk-yàang kâo-tîi kâo-taang ,,Everything’s in order. / Everything’s in place.,
(ผม)ไม่มีส่วนเกี่ยวข้องกับ,...  (pǒm) mâi-mii sùan-gìao-kɔ̂ng gàp...,SEMI-FORMAL,(I) have nothing to do with… / (I)’m not involved with…,
นับจากนี้ไป,...  náp jàak níi bpai…,FORMAL/LITERARY,From here on out… / From now on… / From this day on…,
ไม่เอาดีกว่า,mâi-ao dii-gwàa,,I’d better not. / I’ll pass.,
ยิ่งใหญ่กว่าเดิม,yîng-yài gwàa-dəəm,,Bigger than before! / Better than ever! / More powerful than ever!,
มาไกลขนาดนี้แล้ว(... ),maa glai kà-nàat-níi lɛ́ɛo (...) (,,I)’ve come this far(…),
ยังมีหน้า(มาขอเงินเธอ),yang mii-nâa (maa kɔ̌ɔ ngən təə) ,,You have the nerve to (ask her for money)! / You have the gall to (ask her for money).,
จะอธิบายเรื่องนี้(ได้)ยังไง,jà à-tí-baai rʉ̂ang níi (dâi) yang-ngai ,,How do you explain this?,
อย่ามาอ้าง(... ),yàa maa âang (…) ,,Don’t make excuses! / Don’t use … as an excuse!,
เรื่องบ้าอะไรกัน,rʉ̂ang bâa à-rai gan,,What the hell is this? / What is this bullshit?,
ไม่ต้องมาทำเป็นไม่รู้เรื่อง,mâi-dtɔ̂ng maa tam-bpen mâi-rúu-rʉ̂ang ,STRONG,Don’t pretend you don’t know what’s going on! / Don’t act like you know nothing!,
มันไม่ใช่ภาพหลอน,man mâi-châi pâap-lɔ̌ɔn ,,It wasn’t an illusion. / You weren’t hallucinating.,
มันเสียแรง(เปล่าๆ),man sǐa-rɛɛng (bplàao-bplàao) ,,It’s a waste of effort. / It was a waste of energy. / We did it for nothing.,
