thai,phonetic,register,definition,note
กลับมาตั้งแต่เมื่อไหร่,glàp maa dtâng-dtɛ̀ɛ mʉ̂a-rài ,,When did you get back?,
(คุณ)บ้าหรือเปล่า,(kun) bâa rʉ̌ʉ-bplàao ,,Are you crazy?!,
ใครส่งข้อความมา,krai sòng kɔ̂ɔ-kwaam maa ,,Who texted you? / Who sent you a message?,
ผู้ชายคนนั้น,... pûu-chaai kon-nán,,That guy… / That man…,
ผู้หญิงคนนั้น,... pûu-yǐng kon-nán,,That lady… / That woman…,
อยู่ตรงนี้ไง,yùu dtrong-níi ngai,,(It)’s right here.,
ท้อง(ฉัน)ร้อง,tɔ́ɔng (chǎn) rɔ́ɔng ,,My stomach is growling. (I’m hungry.),
(นั่ง)กินเป็นเพื่อนหน่อย,(nâng) gin bpen-pʉ̂an nɔ̀i (,,Sit down and) have something to eat with me.,
คุณทำผมตกใจ,kun tam pǒm dtòk-jai,,You scared me. / You startled me.,
มันผิดกฎหมาย,man pìt-gòt-mǎai,,It’s illegal. / It’s against the law.,
เป็นเรื่องธรรมชาติ,bpen rʉ̂ang tam-má-châat,,It’s (perfectly/completely) natural.,
ผมไม่ได้ตั้งใจ,pǒm mâi-dâi dtâng-jai,,I didn’t mean to. / That wasn’t my intention.,
(…)คงไม่เป็นไร (...),kong mâi-bpen-rai ,,It will be okay. / He will be all right.,
เขาไม่เคยบอกผม,kǎo mâi-kəəi bɔ̀ɔk pǒm ,,He never told me. / She’s never told me.,
ยอดไปเลย,yɔ̂ɔt bpai ləəi,,That’s great/fantastic/awesome/wonderful!,
ไม่ใช่อย่างนั่น,mâi-châi yàang-nân,,It’s not like that! / That’s not it! / That’s not why!,
ไม่ใช่เรื่องใหญ่,mâi-châi rʉ̂ang-yài,,It’s no big deal. / No biggie.,
อดทนไว้,òt-ton wái,,Hang on! / Be patient. / Hang in there.,
ไม่ใช่สเปคผม,mâi-châi sà-bpék pǒm,,(She)’s not my type.,
ฉันลืมถามว่า,... chǎn lʉʉm tǎam wâa...,,I forgot to ask…,
