thai,phonetic,register,definition,note
ทำไมต้องโกรธขนาดนั้น,tam-mai dtɔ̂ng gròot kà-nàat nán ,,Why do you have to get so angry?,
เป็นโอกาสทอง,bpen oo-gàat tɔɔng,,It’s the perfect chance. / It’s a golden opportunity.,
ต้องมีวิธีที่ดีกว่า,dtɔ̂ng mii wí-tii dii gwàa ,,There must be a better way.,
กลับเองได้,glàp eeng dâi,,I can go back by myself. / I can go back alone.,
มีคนมาถามหาคุณ,mii kon maa tǎam-hǎa kun ,,There was (a guy) here asking about you. / A (guy) came here asking about you.,
ได้ทำในสิ่งที่อยากทำ,dâi tam nai sìng tîi yàak tam (,,I) got to do what I wanted (to do). / I was able to do things which I had wanted to do.,
(พอจะ)รู้จักคนชื่อ... ไหม(ครับ),(pɔɔ jà) rúu-jàk kon chʉ̂ʉ... mǎi (kráp) ,,Do you know someone named… ?,
ผมตั้งใจจะพูดว่า,... pǒm dtâng-jai jà pûut wâa...,,I meant to say… / I intended to say…,
หน้าด้าน,nâa-dâan,STRONG,How dare you! / You have no shame! / You’re shameless!,
กินยาก็ไม่หาย,gin yaa gɔ̂ɔ mâi hǎai,,(I) took (the) medicine but it/I didn’t get (any) better.,
ไม่แข่งกับใคร,mâi kèng gàp krai,,(I)’m not competing with anyone.,
ใกล้แค่นี้เอง,glâi kɛ̂ɛ-níi eeng,,It’s right here. / It’s very close. / It’s just around the corner.,
ได้พักผ่อนเต็มที่,dâi pák-pɔ̀n dtem-tîi (,,I) got a really good rest. / (I) was able to get a really good break.,
แม้แต่คำเดียว,mɛ́ɛ-dtɛ̀ɛ kam diao,,Not a single word. / Not a single bite.,
ฉันยังไม่แก่ขนาดนั้น,chǎn yang mâi gɛ̀ɛ kà-nàat-nán ,,I’m not that old!,
ความรักอย่างเดียว(มัน)ไม่พอ,kwaam-rák yàang-diao (man) mâi-pɔɔ,,Love alone isn’t enough.,
ผมเป็นคนเสนอเอง,pǒm bpen kon sà-nə̌ə eeng,,I was the one who suggested it.,
มีรอยขีดข่วน,mii rɔɔi-kìit-kùan,,It’s scratched. / It’s got a scratch.,
ทำไมขี้ลืมขนาดนี้,tam-mai kîi-lʉʉm kà-nàat-níi ,,Why am (I) so forgetful?!,
ปฏิเสธได้ยังไง,bpà-dtì-sèet dâi yang-ngai ,,How could (he) refuse?,
