thai,phonetic,register,definition,note
เตรียมตัวเอาไว้,dtriam-dtua ao-wái,,Get ready! / Prepare yourself!,
อยากจะถามว่า,... yàak jà tǎam-wâa...,,I wanted to ask you… / I was going to ask you…,
มีอะไรผิดปกติ,mii à-rai pìt-bpòk-gà-dtì ,,Something’s off/wrong/out of place., ปกติ (bpàk-gà-dtì) is an alternative pronunciation for this word.
ต้องทำใจยอมรับ,dtɔ̂ng tam-jai yɔɔm-ráp (,,You) have to accept it. / (You) have to come to terms with it.,
รู้สึกเป็นเกียรติมาก(…),rúu-sʉ̀k bpen-gìat mâak (...) ,FORMAL,I’m so/very honored (…),
ฉัน(จะ)ยอมทำทุกอย่างเพื่อ,... chǎn (jà) yɔɔm tam túk-yàang pʉ̂a...,,I would do anything for…,
ผมจะไม่ยอมแพ้ง่ายๆ,pǒm jà mâi yɔɔm-pɛ́ɛ ngâai-ngâai ,,I’m not gonna give up easily. / I’m no quitter.,
วันหลังนะ,wan-lǎng ná ,INFORMAL,"Later, (okay)? / Some other time, (all right)?",
เอาไว้วันหลัง(แล้วกัน),ao-wái wan-lǎng (lɛ́ɛo-gan) ,,Some other time. / Maybe another time. / Perhaps another time.,
ดูเหมือนจริงมาก,duu mʉ̌an jing mâak,,(It) looks so real!,
(มัน)เป็นความฝันหรือความจริง,(man) bpen kwaam-fǎn rʉ̌ʉ kwaam-jing ,,Was it real or was it a dream?,
อยู่ให้ห่าง(จาก),... yùu-hâi-hàang (jàak)...,,Stay away from… / Keep your distance.,
ทั้ง(3)อย่าง,táng (sǎam) yàang ,,"All (three). (types, kinds)",
ถ้ายังไง,... tâa-yang-ngai...,,In any case… / Anyway…,
ไม่มีทางสู้ / ไม่มีทางสู้...ได้,mâi-mii-taang sûu / mâi-mii-taang sûu… dâi (,,I)’m no match for… / (I) can’t compete with…,
กำลังจะเปิดตัว,gam-lang jà bpə̀ət-dtua (,,We’re) rolling out a new product. / (It’s) making its debut. / (It’s) going to launch soon.,
(เรา)หาจนทั่ว(แล้ว),(rao) hǎa-jon-tûa (lɛ́ɛo) (,,We)’ve searched everywhere! / (We)’ve looked all over!,
ถือซะว่า(เป็นคำชม),tʉ̌ʉ-sá-wâa (bpen kam-chom) ,,Consider it (a compliment). / Call it (a compliment).,
ไม่ว่าคุณจะไปที่ไหน,mâi-wâa kun jà bpai tîi-nǎi ,,No matter where you go.,
ไปทำอะไรไว้,bpai tam à-rai wái ,INFORMAL,What did you do?! / What the hell did you do?!, This usually implies the person did something negative.
