thai,phonetic,register,definition,note
เพ้อเจ้อไปเรื่อย,pə́ə-jə̂ə bpai rʉ̂ai,,(You)’re always talking nonsense/making stuff up/imagining things!,
ชีวิตบัดซบ,chii-wít bàt-sóp ,IDIOM,Life is shit! / Life is all fucked up!,
(ถ้าไม่มา)คงเสียใจแย่,(tâa mâi maa) kong sǐa-jai yɛ̂ɛ,,"(If you don’t come,) you’ll really regret it/be sorry.",
การติดคุกตลอดชีวิต,gaan-dtìt-kúk dtà-lɔ̀ɔt chii-wít imprisoned for life / life imprisonment / life sentence,,,
เขาถูกตัดสินประหารชีวิต,kǎo tùuk dtàt-sǐn bprà-hǎan-chii-wít ,,He was sentenced to death. / He was given the death penalty.,
พยานให้การเท็จ,pá-yaan hâi-gaan-tét,,The witness gave false testimony/committed perjury.,
(ผู้ต้องหา)หลบหนีไป(ได้),(pûu-dtɔ̂ng-hǎa) lòp-nǐi bpai (dâi) (,,The suspect) escaped.,
(เขาถูก)ฆ่าหั่นศพ,(kǎo tùuk) kâa hàn sòp (,,He was) killed and dismembered.,
(ไม่ว่า)เป็นหรือว่าตาย,(mâi-wâa) bpen rʉ̌ʉ wâa dtaai (,,Whether) dead or alive.,
ถูกตั้งข้อหา(ก่อการร้าย),tùuk dtâng-kɔ̂ɔ-hǎa (gɔ̀ɔ-gaan-ráai) (,,He) was charged for (terrorism). / (He) was accused of (terrorism).,
ผมหาทางออกไม่เจอ,pǒm hǎa-taang-ɔ̀ɔk mâi-jəə,,I can’t find a way out. / I can’t find a solution.,
ความดีย่อมชนะความชั่ว(เสมอ),kwaam-dii yɔ̂m chá-ná kwaam-chûa (sà-mə̌ə),,Good will (always) overcome evil. / The good will (always) win over evil.,
เป็นอัมพาตตั้งแต่คอลงไป,bpen am-má-pâat dtâng-dtɛ̀ɛ kɔɔ long-bpai (,,He)’s paralyzed from the neck down.,
หาไม่ได้อีกแล้ว,hǎa-mâi-dâi ìik-lɛ́ɛo (,,You) can’t find (this kind) any more! / (This) is rare. / (This) is hard to find nowadays.,
ชีวิตไม่ได้โรยด้วยกลีบกุหลาบ,chii-wít mâi-dâi rooi dûai glìip gù-làap ,,Life is not a bed of roses. / Life is not all roses.,
…ในหลายแง่มุม,...nai lǎai ngɛ̂ɛ-mum,,…in many ways. / …in many aspects. / …from various angles.,
เขาเป็นตัวเก็งที่จะได้รับ(รางวัลออสการ์),kǎo bpen dtua-gèng tîi-jà dâi-ráp (raang-wan ɔ́ɔt-sà-gâa),,He’s the favorite to win (the Oscar). / He’s favored to win (the Oscar).,
คิดเท่าไหร่ก็คิดไม่ออก,kít tâo-rài gɔ̂ɔ kít-mâi-ɔ̀ɔk ,,"No matter how much/hard I think, I can’t figure it out.",
ฉันจำได้ขึ้นใจ,chǎn jam-dâi-kʉ̂n-jai,,I know it by heart.,
กินเพื่ออยู่ไม่ใช่อยู่เพื่อกิน,gin pʉ̂a yùu mâi-châi yùu pʉ̂a gin ,,"Eat to live, not live to eat.",
