thai,phonetic,register,definition,note
อะไรก็เกิดขึ้นได้,à-rai gɔ̂ɔ gə̀ət-kʉ̂n dâi ,,Anything can happen. / Anything could happen.,
ไม่มีเหตุผล,mâi-mii hèet-pǒn,,There’s no reason. / It’s illogical. / He’s got to reason (to...),
ทำอะไรไม่ได้แล้ว,tam à-rai mâi-dâi lɛ́ɛo ,,Nothing more can be done. / There’s nothing more we can do.,
นี่แหละคือ(ความสุข),nîi lɛ̀ kʉʉ (kwaam-sùk)  is (happiness). / ,THIS,This is what (happiness) is! (shows emphasis),
รู้หมดทุกเรื่องเลย,rúu mòt túk rʉ̂ang ləəi (,,You) know (about) everything!,
หนีไม่ทัน,nǐi mâi-tan,,(She) couldn’t escape/get away (in time).,
(มัน)ต้องมีสาเหตุ,(man) dtɔ̂ng mii sǎa-hèet ,,There must be a reason. / He’s gotta have a reason.,
เปิดเผยไม่ได้,bpə̀ət-pə̌əi mâi-dâi,,(I) can’t disclose that. / (I) can’t reveal that. / (I) can’t tell you that.,
เขาปฏิเสธ(ทุก)ข้อกล่าวหา,kǎo bpà-dtì-sèet (túk) kɔ̂ɔ-glàao-hǎa ,,He denied (all) charges/allegations.,
ผมต้องบอกก่อนว่า,... pǒm dtɔ̂ng bɔ̀ɔk gɔ̀ɔn wâa...,,"First of all, I have to tell you/say… / I should first 7 that…",
ผมคิดมาตลอด(ว่า),... pǒm kít maa dtà-lɔ̀ɔt (wâa...) ,,I always thought (that…),
วันหนึ่งข้างหน้า,... wan-nʉ̀ng kâang-nâa…,,One/some day in the future…,
ยังสรุปไม่ได้(ว่า... ),yang sà-rùp mâi-dâi (wâa...) ,,We can’t reach a conclusion yet (…) / I don’t know yet. (it’s inconclusive),
ดีพอสมควร,dii pɔɔ-sǒm-kuan,,Pretty good. / A fair amount. / Reasonably good.,
เกิดขึ้นตลอด 24 ชั่วโมง,gə̀ət-kʉ̂n dtà-lɔ̀ɔt yîi-sìp-sìi chûa-moong (,,It) happens 24 hours a day. / (It)’s going on round the clock.,
เอาคืนมา,ao kʉʉn maa,,Give it back! / Give that back to me!,
สาเหตุเพราะอะไร,sǎa-hèet prɔ́ à-rai ,FORMAL,What was the reason? / Why?,
ลองดูก็แล้วกัน,lɔɔng duu gɔ̂ɔ-lɛ́ɛo-gan ,,Give it a try. / Have a look.,
ฉันสัญญากับตัวเองว่าจะไม่ทำอีก,chǎn sǎn-yaa gàp dtua-eeng wâa jà mâi tam ìik,,I promised myself that I would never do it/that again.,
จงเชื่อในตัวเอง,jong chʉ̂a nai dtua-eeng ,,Believe in yourself.,
