thai,phonetic,register,definition,note
มีของมาฝากด้วย(ค่ะ),mii kɔ̌ɔng maa fàak dûai (kà) ,,I have something for you. / I brought you something.,
ฉันอยากใช้ชีวิตที่เรียบง่าย,chǎn yàak mii chii-wít rîap-ngâai,,I wanna live a simple life.,
ถ้าไม่อยากบอกก็ไม่เป็นไร,tâa mâi yàak bɔ̀ɔk gɔ̂ɔ mâi-bpen-rai ,,"If you don’t want to tell me, no problem. / If you don’t wanna say, it’s okay.",
ต้องแต่งตัวยังไง(ดี),dtɔ̂ng dtɛ̀ng-dtua yang-ngai (dii) ,,How should I dress? / What should I wear? (going to party or ceremony),
ต้องแต่งตัวให้เรียบร้อย,dtɔ̂ng dtɛ̀ng-dtua hâi rîap-rɔ́ɔi (,,You) have to dress up/wear proper attire/dress nicely.,
ฉันคงตาฝาดไป,chǎn kong dtaa-fàat bpai,,I must have been seeing things.,
ผมไม่รู้จะอธิบายยังไงดี,pǒm mâi-rúu jà à-tí-baai yang-ngai dii ,,I don’t know how to explain (it).,
ไม่ใช่อย่างนั้น(ค่ะ),mâi-châi yàang-nán (kà) ,,It’s not that. / That’s not it. (that’s not what I meant or how it is),
ถือสายรอ(สักครู่)(ครับ),tʉ̌ʉ-sǎai rɔɔ (sàk-krûu) (kráp) (,,Please) hold on a moment/second. (on the phone),
เพิ่งมาใหม่,pə̂ng maa mài,,(This) just came in. (a product at store) / (I)’m new (here).,
ออกไปจากบ้านฉัน,ɔ̀ɔk-bpai jàak bâan chǎn ,ANGRY,Get out of my house!,
(ยัง)ไม่ได้ยินข่าวอะไรเลย,(yang) mâi-dâi-yin kàao à-rai ləəi ,,We haven’t heard anything yet. / I haven’t heard any news yet.,
คงอึดอัดแย่,kong ʉ̀t-àt yɛ̂ɛ,,I’d feel very/really uncomfortable.,
มีคนวิ่งตัดหน้ารถ(ผม),mii kon wîng dtàt-nâa rót (pǒm),,Someone cut in front of (me). / Someone cut (me) off. / Someone ran right in front of me.,
ทุกอย่างเหมือนเดิม,túk-yàang mʉ̌an-dəəm ,,Everything’s the same (as before/usual).,
คิดเงินด้วย(ครับ),kít-ngən dûai (kráp) ,,Ring me up. / Check please.,
ไม่เห็นได้ยินเลย,mâi-hěn dâi-yin ləəi ,URGING,I didn’t hear it (at all).,
ไม่รู้จะติดต่อใคร,mâi-rúu jà dtìt-dtɔ̀ɔ krai (,,I) don’t know who to contact. / (I) don’t know who I should contact.,
ขออนุญาตถาม(หน่อย)นะคะ,kɔ̌ɔ à-nú-yâat tǎam (nɔ̀i) ná-ká,POLITE/FORMAL,If I may (ask)… / May I ask you…?,
เขาป่วยเป็นอะไรคะ,kǎo bpùai bpen à-rai ká ,,What’s wrong with him? / What kind of illness did she have?,
