thai,phonetic,register,definition,note
ฉัน(จะ)ไปเป็นเพื่อน,chǎn (jà) bpai bpen-pʉ̂an ,,I’ll go with you. / I’ll go with you and keep you company. / I’ll accompany you.,
กำลังแต่งตัวอยู่,gam-lang dtɛ̀ng-dtua yùu ,,She’s getting dressed.,
ยังไม่เสร็จหรือ,yang mâi sèt rʉ̌ʉ,,Aren’t you finished yet? / Isn’t it done yet?,
อยู่ด้วยกันไม่ได้,yùu dûai-gan mâi-dâi ,,We can’t live together. / We can’t be together.,
จะไปทำอะไรที่นั่น,jà bpai tam à-rai tîi nân ,,What are (you) gonna do there?,
ผม(จะ)ไม่ยอมแพ้,pǒm (jà) mâi yɔɔm-pɛ́ɛ,,I won’t give up! / I’m not giving up!,
เธอไม่ยอมช่วย,təə mâi yɔɔm chûai,,She wouldn’t help me. / She won’t help me.,
ผมเป็นญาติ(ของ)เขา,pǒm bpen yâat (kɔ̌ɔng) kǎo ,,I’m his relative. / I’m related to her.,
ห้ามเข้าใกล้,hâam kâo glâi,,Don’t come near. / Keep away.,
ผมมีแผนที่จะ,... pǒm mii pɛ̌ɛn tîi-jà...,,I have a plan to… / I had a plan to…,
ฟังดูเหมือน,... fang duu mʉ̌an...,,It sounds like… / You sound like…,
(ขอ)ถามได้ไหม(คะ),... (kɔ̌ɔ) tǎam dâi-mǎi (ká)...,,May I ask…? / Can I ask…?,
ถ้าใครโทรมา,... tâa krai too-maa...,,If anyone calls…,
อย่า(มา)ดูถูกฉัน,yàa (maa) duu-tùuk chǎn ,,Don’t look down on me! / Don’t belittle me! / Don’t insult me!,
(แฟน)ไม่เคยบอกรัก,(fɛɛn) mâi-kəəi bɔ̀ɔk rák (,,My boyfriend) has never told me he loves me.,
นั่นยังไม่ดีพอ,nân yang mâi dii-pɔɔ,,That’s (still) not good enough.,
ไม่มีเหตุผลที่ดี,mâi-mii hèet-pǒn tîi dii,,There’s no good reason. / There isn’t a good reason.,
คุณไม่ควรทำ,kun mâi-kuan tam,,You shouldn’t (do it).,
มันสายไปแล้ว,man sǎai bpai lɛ́ɛo,,It’s too late.,
ผมเป็นกำลังใจให้,pǒm bpen-gam-lang-jai-hâi,,I’m rooting for you! / I'm behind you all the way. / You have my full support. //You have my backing.,
