thai,phonetic,register,definition,note
สะใจเลย,sà-jai ləəi,,(I) feel so (damn) satisfied! / (I) enjoyed that! / That was satisfying!,
ประสาท,bprà-sàat,SLANG/ROUGH,Crazy guy! / Idiot! / You’re wacko!,
ไม่เลยสักนิด,mâi ləəi sàk-nít,,Not in the least bit. / Not at all. / Not a bit.,
ฉันคิดถึงแต่เรื่อง(กิน),chǎn kít-tʉ̌ng dtɛ̀ɛ rʉ̂ang (gin),,All I think about is (eating/food). / I think about (eating/food) all the time. //My mind is filled with thoughts of (eating/food).,
ไม่ทราบว่าใครโทรมาครับ,mâi-sâap wâa krai too-maa kráp ,FORMAL,Who’s calling please?,
ไม่ทราบว่าเป็นใคร,mâi-sâap wâa bpen krai ,FORMAL,I don’t know who it is/was.,
ตั้งแต่(ผม)เกิดมา,... dtâng-dtɛ̀ɛ (pǒm) gə̀ət maa…,,Since I was born… / For the first time in my life… / This is the first time I…,
ดูท่าแล้ว,... duu tâa lɛ́ɛo...,,It looks like… / It seems like… / Apparently…,
…จะได้ประหยัดเงิน,...jà dâi bprà-yàt ngən,,…so (you) can save money. / …(you) will save money (economize),
เขาเล่นตัวอยู่,kǎo lên-dtua yùu,,She’s playing hard to get.,
(…)ก่อนจะสายเกินไป (...),gɔ̀ɔn jà sǎai gəən-bpai (…)before it,,’s too late.,
จัดไป,jàt bpai,INFORMAL,Bring it on! / Hell yeah! (Let’s do it!),
(มือ)เย็นเฉียบ(เลย),(mʉʉ) yen chìap (ləəi) (,,Your hands) are as cold as ice/freezing cold/ice cold.,
จำทางไม่ได้,jam taang mâi-dâi,,(I)’ve lost my way. / (I) can’t remember the way.,
ทำให้อยู่ท้อง,tam-hâi yùu-tɔ́ɔng,,(It) fills you up. / (It)’s filling.,
ฉันทำอะไรลงไป,chǎn tam à-rai long bpai,DRAMATIC,What did I do?! (assumes something bad was done),
อาการแย่มาก,aa-gaan yɛ̂ɛ mâak,,(He)’s in really bad shape. / (He)’s hurt really bad. (of an accident or sickness),
เธอสติไม่ดี,təə sà-dtì mâi-dii,,She’s not all there. / She’s nuts. / She’s crazy.,
เลิกพูดกันได้แล้ว,lə̂ək pûut gan dâi lɛ́ɛo ,,Stop talking about it/that!,
ติดต่อไม่ได้เลย,dtìt-dtɔ̀ɔ mâi-dâi ləəi (,,I) can’t get through to her. / (I)’ve been unable to contact her.,
