thai,phonetic,register,definition,note
ดื่มหนักไป(หน่อย),dʉ̀ʉm nàk bpai (nɔ̀i) ,,I had (a bit) too much to drink.,
ไหวไหม,wǎi mǎi,,"Can you make it? / Can you handle it? / Can you walk, stand up, etc.?/(situation— feeling weak, sick, drunk, etc.)",
เอามาซิ,ao maa sì,STRONG,Give me it/that.,
คิดว่า(คุณ)เป็นคนอื่น,kít wâa (kun) bpen kon ʉ̀ʉn,,I thought (you) were someone else.,
ไร้สาระ,rái-sǎa-rá,,(That’s/It’s) ridiculous!,
ไม่ได้ยินอะไรเลย,mâi dâi-yin à-rai ləəi (,,I) didn’t hear anything. / (I) didn’t hear a thing. / (I) can’t hear anything.,
ผมเชื่อมาตลอดว่า,... pǒm chʉ̂a maa dtà-lɔ̀ɔt wâa...,,I’ve always believed (that)…,
ผมเริ่มไม่แน่ใจแล้ว(... ),pǒm rə̂əm mâi nɛ̂ɛ-jai lɛ́ɛo (...) ,,I’m starting to wonder(…) / I’m not so sure anymore.,
ฉันมีความฝันอยากเป็น(แอร์โฮสเตส),chǎn mii kwaam-fǎn yàak bpen (ɛɛ-hôot-dtèt),,I dreamed of being (a flight attendant). / I want to be (a flight attendant).,
เสียเงินเปล่า(ๆ),sǐa-ngən bplàao(bplàao) (,,It)’s a waste of money. / (That) was a waste of money.,
ไม่คิดเงิน,mâi-kít-ngən,,Free of charge / For free.,
ฉันเกรงใจ,chǎn greeng-jai,,I don’t want to impose. / I don’t wanna bother you. / I don’t want to inconvenience you.,
ไม่ต้องเกรงใจ,mâi-dtɔ̂ng greeng-jai,,Feel free to… (don’t worry about me—do what you want.),
ไม่เกี่ยวกันหรอก/เลย,mâi-gìao-gàn rɔ̀ɔk/ləəi ,,That has nothing to do with it. / It’s not related at all.,
ทำได้ยังไง,tam dâi yang-ngai,,How did (you) do that? / How do (you) do it? / How can (you) do that?,
คุณพอจะมีเวลาไหม,kun pɔɔ jà mii wee-laa mǎi ,POLITE,Do you have a minute?,
ต้องทำยังไง,dtɔ̂ng tam yang-ngai,,What do I need to do? / What should I do? / What do I have to do?,
น่ารักที่สุดเลย,nâa-rák tîi-sùt ləəi,,You’re the sweetest! / You’re the cutest! / How sweet!,
เรื่องเล็ก,rʉ̂ang-lék,,No problem. / It’s no big deal. / It was nothing. (what I did was a small matter),
คุณมีพรสวรรค์,kun mii pɔɔn-sà-wǎn,,You are gifted. / You’re very talented.,
