thai,phonetic,register,definition,note
ผมจำได้ดี,pǒm jam dâi dii,,I remember it well.,
(มัน)ไม่ใช่ความผิดของคุณ,(man) mâi-châi kwaam-pìt kɔ̌ɔng-kun ,,It’s not your fault.,
หมายถึงใคร,mǎai-tʉ̌ng krai,,Who do you mean? / Who are you talking about?,
ลงมาเดี๋ยวนี้(เลย),long maa dǐao-níi (ləəi) ,,"Come down right now! (situation: boy climbed up a tree, etc.)",
ไม่ใช่ของผม,mâi-châi kɔ̌ɔng pǒm,,It’s not mine. / That’s not mine.,
ถูกขโมยไป(แล้ว),tùuk kà-mooi bpai (lɛ́ɛo) ,,It was stolen.,
เมื่อคืน(ผม)ฝันร้าย,mʉ̂a-kʉʉn (pǒm) fǎn-ráai ,,Last night I had a nightmare. / I had a bad dream last night.,
แต่งตัวเสร็จหรือยัง,dtɛ̀ng-dtua sèt-rʉ̌ʉ-yang ,,Are you done getting dressed yet? / Are you dressed yet?,
ไม่เจอเลย,mâi jəə ləəi,,I haven’t seen her. / I haven’t found it.,
ไปเจอที่ไหน,bpai jəə tîi-nǎi,,Where did you find her/it?,
ผมแค่ไม่เข้าใจว่า,... pǒm kɛ̂ɛ mâi-kâo-jai wâa...,,I just don’t understand…,
มีสิทธิ์อะไร(... ),mii sìt à-rai (...) ,,What right do (you) have (…)?,
ฉันไม่ดีพอ(... ),chǎn mâi dii pɔɔ (...) ,,I’m not good enough (...),
ชอบใครมากกว่ากัน,chɔ̂ɔp krai mâak-gwàa gan ,,Who do you like better? / Who do you prefer?,
พวกเขาทำอะไรกัน,pûak-kǎo tam à-rai gan ,,What are they doing?,
ฉันรู้ว่ามันยาก,chǎn rúu-wâa man yâak ,,I know it’s hard.,
ฉันจะเล่าให้ฟัง,chǎn jà lâo-hâi-fang,,I’ll tell you (about it).,
ทำไมต้องโกรธด้วย,tam-mai dtɔ̂ng gròot dûai ,,Why are you angry? / Why are you angry at me?,
เขาไม่สงสัยอะไร(เลย),kǎo mâi sǒng-sǎi à-rai (ləəi) ,,She didn’t suspect anything (at all). / He doesn’t suspect anything.,
ขอกอดหน่อย,kɔ̌ɔ gɔ̀ɔt nɔ̀i,,May/Can I have a hug?,
