thai,phonetic,register,definition,note
เดี๋ยวตบปาก,dǐao dtòp bpàak ,ANGRY,I’m gonna smack you!,
อย่าอยู่ห่าง(จาก)(ฉัน),yàa yùu hàang (jàak) chǎn ,,Stay close to (me).,
(ผม)อยู่ในเหตุการณ์,(pǒm) yùu nai hèet-gaan (,SEMI-FORMAL,I) was at the scene. / (I) was there when it happened. / (I) was there when the incident took place.,
ต้องคิดทบทวนให้ดี,dtɔ̂ng kít-tóp-tuan hâi-dii (,SEMI-FORMAL,You) have to think it over carefully.,
ทำให้เกิดความขัดแย้ง,tam-hâi gə̀ət kwaam-kàt-yɛ́ɛng (,,It) causes/creates a conflict.,
จะได้ไม่ต้อง(รอ),jà-dâi-mâi-dtɔ̂ng (rɔɔ) ,,So you won’t/wouldn’t have to (wait).,
ผมไม่ได้มีเจตนาที่จะ(แหกคุกหนี),pǒm mâi-dâi mii jèet-dtà-naa tîi-jà (hɛ̀ɛk-kúk nǐi),FORMAL/LITERARY,I had no intention (of escaping from prison). / I wasn’t trying to (escape).,
แกจะต้องชดใช้,gɛɛ jà dtɔ̂ng chót-chái ,STRONG/ANGRY,You’ll pay for this!,
จะต้องไม่ตาย,jà dtɔ̂ng mâi dtaai,,You’re not gonna die! / You can’t die!,
คิดไม่ถึงเลยว่า,... kít-mâi-tʉ̌ng ləəi wâa...,,I had no idea that… / I didn’t think that… / I couldn’t imagine that… (used when something unexpected happens),
แต่ต่างกันตรงที่,... dtɛ̀ɛ dtàang-gan dtrong-tîi...,,(It)’s different in that… / The difference is…,
มีพระราชโองการ(... ),mii prá-râat-chá-oong-gaan (...) ,ROYAL,By the King’s royal order (…) / By His Majesty’s order…,
มีบุญจริงๆที่,...  mii bun jing-jing tîi...,SEMI-LITERARY,(You)’re really blessed/lucky to…,
(…)ไม่ได้ประโยชน์อะไร (...),mâi-dâi bprà-yòot à-rai ,,We get no benefit whatsoever. / You get nothing for it.,
เวลาอยู่ต่อหน้าคนอื่น(ก็กลัวคนมอง),wee-laa yùu dtɔ̀ɔ-nâa kon-ʉ̀ʉn (gɔ̂ɔ,,glua mɔɔng)/When I’m around others (I’m afraid they will look at me). / When I’m in front of others (I’m afraid they will look at me).,
เขามีท่าทีแปลกๆ,kǎo mii tâa-tii bplɛ̀ɛk-bplɛ̀ɛk ,,She was acting strangely. / He was acting weird.,
เราแยกย้ายกันไป,rao yɛ̂ɛk-yáai gan bpai,,We went our separate ways.,
ตัดใจซะเถอะ,dtàt-jai sá tə̀,,Try to stop thinking about her. / Get over it. / Get over him.,
มันเป็นเรื่องใกล้ตัว,man bpen rʉ̂ang glâi-dtua ,,It’s close to home. / It’s something you’re familiar with.,
ไม่รู้จักพอ,mâi-rúu-jàk pɔɔ,,He can’t get enough! / Insatiable!,
