thai,phonetic,register,definition,note
ทำไม่เป็น,tam mâi-bpen,,I don’t know how (to do it).,
มีอะไรหรือเปล่า,mii à-rai rʉ̌ʉ-bplàao,INFORMAL,What’s the matter? / What’s up? / What is it?,
เป็นอะไรของคุณ,bpen-à-rai kɔ̌ɔng kun,INFORMAL,What’s wrong with you?! / What happened to you?! / What’s your problem?!,
จะให้ผมทำยังไง,jà hâi pǒm tam yang-ngai,,What do you want me to do?,
เขารับไม่ได้,kǎo ráp mâi-dâi,,She can’t accept it. / She can’t handle it. / She can’t live with it.,
ไม่รู้ได้ยังไง,mâi rúu dâi yang-ngai,INFORMAL,How could you not know?,
ก็ยังดีกว่า,... (gɔ̂ɔ yang dii gwàa...),,"Well, that’s (still) better than… / It beats…",
(แล้ว)จะเอายังไงต่อ,(lɛ́ɛo) jà ao yang-ngai dtɔ̀ɔ,,(So) what now? / (So) what do we do now? / Now what?,
ไม่ต้องไปสนใจ(มัน),mâi-dtɔ̂ng bpai sǒn-jai (man),INFORMAL,Don’t let her bother you. / Don’t pay any attention (to what she says). / Just ignore her.," The pronoun มัน (man) is used in a derogatory way here, but it can also be casual."
จะเอาเงินที่ไหน,... (jà ao ngən tîi-nǎi…),,Where are we gonna get the money to…? / How are we gonna afford…?,
ไม่ค่อยได้ใช้,mâi-kɔ̂i dâi chái,,I hardly ever use it. / I haven’t used it very much. / I barely ever use it.,
เชื่อกันว่า,... (chʉ̂a gan wâa...),,It’s believed that…,
ไม่ต้องสงสัย(ว่า...),mai-dtɔ̂ng sǒng-sǎi (wâa...),,Obviously… / Without a doubt… / It’s obvious (that…),
แม่ขา,mɛ̂ɛ kǎa,,Mommy… / Mom… (this is a cute way of a child addressing his/her mother),
ไม่อยากอยู่แล้ว,mâi yàak yùu lɛ́ɛo,,I want to die.,
มันผ่านไปแล้ว,man pàan bpai lɛ́ɛo,,It’s over. / It’s in the past (now).,
เกิดอะไรขึ้น,gə̀ət à-rai kʉ̂n,,What happened?,
นี่มันอะไรกัน,nîi man à-rai gan,STRONG,What on earth is this?! / What the hell is this?!,
เขาเรียกตัวเองว่า,... (kǎo rîak dtua-eeng wâa...),,He calls himself “….”.,
พวกเขาเรียกตัวเองว่า,... (pûak-kǎo rîak dtua-eeng wâa...),,They call themselves “….”.,
